seed_n,cohort_role,n,bin_index,bin_start,bin_stop,n_mod_6,eligible,exclusion_reason
1258,complete,1258,0,1000,1777,4,True,
1258,local_mod6_control,1252,0,1000,1777,4,True,
1258,band_mod6_control,1336,0,1000,1777,4,True,
1258,band_ordinary_control,1333,0,1000,1777,1,True,
1262,complete,1262,0,1000,1777,2,True,
1262,local_mod6_control,1256,0,1000,1777,2,True,
1262,band_mod6_control,1334,0,1000,1777,2,True,
1262,band_ordinary_control,1333,0,1000,1777,1,True,
1329,complete,1329,0,1000,1777,3,True,
1329,local_mod6_control,1323,0,1000,1777,3,True,
1329,band_mod6_control,1335,0,1000,1777,3,True,
1329,band_ordinary_control,1333,0,1000,1777,1,True,
2312,complete,2312,1,1778,3161,2,True,
2312,local_mod6_control,2306,1,1778,3161,2,True,
2312,band_mod6_control,2372,1,1778,3161,2,True,
2312,band_ordinary_control,2371,1,1778,3161,1,True,
2342,complete,2342,1,1778,3161,2,True,
2342,local_mod6_control,2336,1,1778,3161,2,True,
2342,band_mod6_control,2372,1,1778,3161,2,True,
2342,band_ordinary_control,2371,1,1778,3161,1,True,
2428,complete,2428,1,1778,3161,4,True,
2428,local_mod6_control,2422,1,1778,3161,4,True,
2428,band_mod6_control,2368,1,1778,3161,4,True,
2428,band_ordinary_control,2371,1,1778,3161,1,True,
4172,complete,4172,2,3162,5622,2,True,
4172,local_mod6_control,4166,2,3162,5622,2,True,
4172,band_mod6_control,4214,2,3162,5622,2,True,
4172,band_ordinary_control,4216,2,3162,5622,4,True,
4198,complete,4198,2,3162,5622,4,True,
4198,local_mod6_control,4192,2,3162,5622,4,True,
4198,band_mod6_control,4216,2,3162,5622,4,True,
4198,band_ordinary_control,4217,2,3162,5622,5,True,
4202,complete,4202,2,3162,5622,2,True,
4202,local_mod6_control,4196,2,3162,5622,2,True,
4202,band_mod6_control,4214,2,3162,5622,2,True,
4202,band_ordinary_control,4216,2,3162,5622,4,True,
7472,complete,7472,3,5623,9999,2,True,
7472,local_mod6_control,7466,3,5623,9999,2,True,
7472,band_mod6_control,7496,3,5623,9999,2,True,
7472,band_ordinary_control,7498,3,5623,9999,4,True,
7558,complete,7558,3,5623,9999,4,True,
7558,local_mod6_control,7552,3,5623,9999,4,True,
7558,band_mod6_control,7498,3,5623,9999,4,True,
7558,band_ordinary_control,7499,3,5623,9999,5,True,
7562,complete,7562,3,5623,9999,2,True,
7562,local_mod6_control,7556,3,5623,9999,2,True,
7562,band_mod6_control,7496,3,5623,9999,2,True,
7562,band_ordinary_control,7498,3,5623,9999,4,True,
13318,complete,13318,4,10000,17782,4,True,
13318,local_mod6_control,13312,4,10000,17782,4,True,
13318,band_mod6_control,13336,4,10000,17782,4,True,
13318,band_ordinary_control,13335,4,10000,17782,3,True,
13341,complete,13341,4,10000,17782,3,True,
13341,local_mod6_control,13335,4,10000,17782,3,True,
13341,band_mod6_control,13329,4,10000,17782,3,True,
13341,band_ordinary_control,13334,4,10000,17782,2,True,
13412,complete,13412,4,10000,17782,2,True,
13412,local_mod6_control,13406,4,10000,17782,2,True,
13412,band_mod6_control,13334,4,10000,17782,2,True,
13412,band_ordinary_control,13335,4,10000,17782,3,True,
23728,complete,23728,5,17783,31622,4,True,
23728,local_mod6_control,23722,5,17783,31622,4,True,
23728,band_mod6_control,23716,5,17783,31622,4,True,
23728,band_ordinary_control,23714,5,17783,31622,2,True,
23732,complete,23732,5,17783,31622,2,True,
23732,local_mod6_control,23726,5,17783,31622,2,True,
23732,band_mod6_control,23714,5,17783,31622,2,True,
23732,band_ordinary_control,23713,5,17783,31622,1,True,
23734,complete,23734,5,17783,31622,4,True,
23734,local_mod6_control,23740,5,17783,31622,4,True,
23734,band_mod6_control,23716,5,17783,31622,4,True,
23734,band_ordinary_control,23714,5,17783,31622,2,True,
42122,complete,42122,6,31623,56233,2,True,
42122,local_mod6_control,42116,6,31623,56233,2,True,
42122,band_mod6_control,42170,6,31623,56233,2,True,
42122,band_ordinary_control,42169,6,31623,56233,1,True,
42208,complete,42208,6,31623,56233,4,True,
42208,local_mod6_control,42202,6,31623,56233,4,True,
42208,band_mod6_control,42172,6,31623,56233,4,True,
42208,band_ordinary_control,42169,6,31623,56233,1,True,
42212,complete,42212,6,31623,56233,2,True,
42212,local_mod6_control,42206,6,31623,56233,2,True,
42212,band_mod6_control,42170,6,31623,56233,2,True,
42212,band_ordinary_control,42169,6,31623,56233,1,True,
74968,complete,74968,7,56234,99999,4,True,
