seed_n,cohort_role,n,bin_index,max_branch,full_uncovered_measure,exact_complete,k50,k90,k99,k50_censored,k90_censored,k99_censored,a_branch1,a_last,residual_last,cumulative_arc_width_last
1258,complete,1258,0,1000,0,True,54,629,629,False,False,False,0.89992725051422,0,0.0,2.230294723579214
1258,local_mod6_control,1252,0,1000,0.09162142651600447,False,43,626,626,False,False,False,0.8999272505142201,0.09162142651600447,0.0,2.230294723579214
1258,band_mod6_control,1336,0,1000,0.10509270956123229,False,32,445,668,False,False,False,0.9007046163491116,0.10509270956123229,0.0,2.2403247147632257
1258,band_ordinary_control,1333,0,1000,0.13210301437372363,False,31,444,666,False,False,False,0.9007046163491114,0.13210301437372363,0.0,2.2403247147632257
1262,complete,1262,0,1000,0,True,54,631,631,False,False,False,0.9007177553925665,0,0.0,2.2310890047547502
1262,local_mod6_control,1256,0,1000,0.026350288866269223,False,66,628,628,False,False,False,0.8999272505142201,0.026350288866269223,0.0,2.230294723579214
1262,band_mod6_control,1334,0,1000,0.06740766879463772,False,36,667,667,False,False,False,0.9007046163491115,0.06740766879463772,0.0,2.2403247147632257
1262,band_ordinary_control,1333,0,1000,0.13210301437372363,False,31,444,666,False,False,False,0.9007046163491114,0.13210301437372363,0.0,2.2403247147632257
1329,complete,1329,0,1000,0,True,78,664,664,False,False,False,0.9007046163491116,0,0.0,2.2403247147632257
1329,local_mod6_control,1323,0,1000,0.04264680543929367,False,57,661,661,False,False,False,0.9014581958517489,0.04264680543929367,0.0,2.2395711352605883
1329,band_mod6_control,1335,0,1000,0.04109303375049786,False,46,667,667,False,False,False,0.9007046163491115,0.04109303375049786,0.0,2.2403247147632257
1329,band_ordinary_control,1333,0,1000,0.13210301437372363,False,31,444,666,False,False,False,0.9007046163491114,0.13210301437372363,0.0,2.2403247147632257
2312,complete,2312,1,1000,0,True,74,,,False,True,True,0.9080532427841901,0.10576273218802179,0.11647195032720961,1.8114687803657077
2312,local_mod6_control,2306,1,1000,0.010844955435894699,False,74,,,False,True,True,0.9089190438122444,0.14519800517272707,0.14960129846272768,1.8106029793376532
2312,band_mod6_control,2372,1,1000,0.025950799102634203,False,64,,,False,True,True,0.9076330074925599,0.15201179545873797,0.14297781576687213,1.8144495719009885
2312,band_ordinary_control,2371,1,1000,0.12089043346777535,False,44,474,,False,False,True,0.90763300749256,0.1475144495275888,0.033840822829266023,1.8144495719009885
2342,complete,2342,1,1000,0,True,57,,,False,True,True,0.908483725304434,0.09710591088525594,0.10688789262869364,1.81275211403831
2342,local_mod6_control,2336,1,1000,0.035802149897495805,False,75,778,,False,False,True,0.9084844553502402,0.11008139079637934,0.08511601579952711,1.8118974130275165
2342,band_mod6_control,2372,1,1000,0.025950799102634203,False,64,,,False,True,True,0.9076330074925599,0.15201179545873797,0.14297781576687213,1.8144495719009885
2342,band_ordinary_control,2371,1,1000,0.12089043346777535,False,44,474,,False,False,True,0.90763300749256,0.1475144495275888,0.033840822829266023,1.8144495719009885
2428,complete,2428,1,1000,0,True,65,,,False,True,True,0.90721587890858,0.1256162916349955,0.1384635063774648,1.8182044252108653
2428,local_mod6_control,2422,1,1000,0.09332819387079438,False,56,,,False,True,True,0.9068041881149049,0.23631569023203133,0.1757734676535873,1.8177917136962138
2428,band_mod6_control,2368,1,1000,0.02243760478604473,False,64,,,False,True,True,0.9080547704617712,0.1716474049704354,0.1684811518649184,1.8140278089317772
2428,band_ordinary_control,2371,1,1000,0.12089043346777535,False,44,474,,False,False,True,0.90763300749256,0.1475144495275888,0.033840822829266023,1.8144495719009885
4172,complete,4172,2,1000,0,True,101,,,False,True,True,0.9136090194332843,0.22585007429025925,0.24720648492541705,1.550890834538166
4172,local_mod6_control,4166,2,1000,0.052462737592059605,False,78,,,False,True,True,0.9136090194332844,0.21909649720471566,0.19350226915730842,1.550890834538166
4172,band_mod6_control,4214,2,1000,0.08373882802520294,False,71,,,False,True,True,0.9143283732817631,0.2002661765160442,0.14029474504744363,1.5516057526571128
4172,band_ordinary_control,4216,2,1000,0.1215821048210356,False,59,,,False,True,True,0.9143283732817631,0.2278264833466193,0.1340206605221593,1.5516057526571128
4198,complete,4198,2,1000,0,True,97,,,False,True,True,0.9148038851282659,0.2222692798973519,0.24296932218011646,1.5511302408106102
4198,local_mod6_control,4192,2,1000,0.05987634491562688,False,97,,,False,True,True,0.9143274677866746,0.1563502237858168,0.11290742827515671,1.5511302408106105
4198,band_mod6_control,4216,2,1000,0.1215821048210356,False,59,,,False,True,True,0.9143283732817631,0.2278264833466193,0.1340206605221593,1.5516057526571128
4198,band_ordinary_control,4217,2,1000,0.12986718165368094,False,57,,,False,True,True,0.9140912378774473,0.31045036372174817,0.23026988350449246,1.5518428880614288
4202,complete,4202,2,1000,0,True,89,,,False,True,True,0.9145658465660188,0.2030357423774359,0.22200232289428662,1.5513682793728574
4202,local_mod6_control,4196,2,1000,0.015024148440442198,False,97,,,False,True,True,0.9143274677866747,0.22608254527134636,0.2346910016793194,1.5511302408106102
4202,band_mod6_control,4214,2,1000,0.08373882802520294,False,71,,,False,True,True,0.9143283732817631,0.2002661765160442,0.14029474504744363,1.5516057526571128
4202,band_ordinary_control,4216,2,1000,0.1215821048210356,False,59,,,False,True,True,0.9143283732817631,0.2278264833466193,0.1340206605221593,1.5516057526571128
7472,complete,7472,3,1000,0,True,140,,,False,True,True,0.9208276109085374,0.3115117048173213,0.338295356402234,1.27405564112645
7472,local_mod6_control,7466,3,1000,0.048258002269439604,False,94,,,False,True,True,0.9208276109085374,0.2306822965057117,0.20906560626239318,1.27405564112645
7472,band_mod6_control,7496,3,1000,0.043835211395793716,False,141,,,False,True,True,0.920560552627844,0.2728145213147134,0.2611756489177536,1.2745901505973012
7472,band_ordinary_control,7498,3,1000,0.009772966315829024,False,127,,,False,True,True,0.9205605526278441,0.2744265872068833,0.2905766666876704,1.2745901505973012
7558,complete,7558,3,1000,0,True,112,,,False,True,True,0.9204262498090068,0.2892552234334774,0.3142622491410902,1.2757857460183204
7558,local_mod6_control,7552,3,1000,0.0425700401909902,False,112,,,False,True,True,0.9201616295390941,0.21109184290349847,0.19202759547603496,1.2757857460183204
