seed_n,cohort_role,n,model,iterations,observed_residual_gap_count,null_gap_count_mean,null_gap_count_p05,null_gap_count_p50,null_gap_count_p95,observed_percentile,observed_less_than_null_rate
2312,complete,2312,branch_uniform,1000,41,50.184,29,50,76,0.3,0.7
2312,local_mod6_control,2306,branch_uniform,1000,48,49.582,28,48,75,0.501,0.499
2312,band_mod6_control,2372,branch_uniform,1000,68,50.512,27,50,77,0.885,0.115
2312,band_ordinary_control,2371,branch_uniform,1000,53,50.713,29,50,73,0.594,0.406
2342,complete,2342,branch_uniform,1000,41,51.062,29,50,75,0.255,0.745
2342,local_mod6_control,2336,branch_uniform,1000,50,50.058,27,49,77,0.544,0.456
2342,band_mod6_control,2372,branch_uniform,1000,68,50.982,28,50,76,0.891,0.109
2342,band_ordinary_control,2371,branch_uniform,1000,53,50.235,27,50,76,0.602,0.398
2428,complete,2428,branch_uniform,1000,54,51.925,28,51,78,0.592,0.408
2428,local_mod6_control,2422,branch_uniform,1000,68,52.211,28,51,80,0.839,0.161
2428,band_mod6_control,2368,branch_uniform,1000,56,50.653,29,50,76,0.674,0.326
2428,band_ordinary_control,2371,branch_uniform,1000,53,50.629,29,50,75,0.582,0.418
4172,complete,4172,branch_uniform,1000,130,114.998,85,114,146,0.781,0.219
4172,local_mod6_control,4166,branch_uniform,1000,111,115.808,86,115,146,0.418,0.582
4172,band_mod6_control,4214,branch_uniform,1000,111,115.464,84,115,148,0.43,0.57
4172,band_ordinary_control,4216,branch_uniform,1000,134,116.305,87,116,149,0.825,0.175
4198,complete,4198,branch_uniform,1000,149,115.79,87,115,149,0.955,0.045
4198,local_mod6_control,4192,branch_uniform,1000,84,115.861,87,115,149,0.038,0.962
4198,band_mod6_control,4216,branch_uniform,1000,134,115.666,84,114,151,0.843,0.157
4198,band_ordinary_control,4217,branch_uniform,1000,190,116.587,87,116,149,1.0,0.0
4202,complete,4202,branch_uniform,1000,114,115.181,86,115,147,0.49,0.51
4202,local_mod6_control,4196,branch_uniform,1000,125,115.45,85,115,147,0.694,0.306
4202,band_mod6_control,4214,branch_uniform,1000,111,116.96,86,117,149,0.404,0.596
4202,band_ordinary_control,4216,branch_uniform,1000,134,116.616,86,115,150,0.803,0.197
7472,complete,7472,branch_uniform,1000,311,259.477,223,260,298,0.987,0.013
7472,local_mod6_control,7466,branch_uniform,1000,267,258.257,223,257,294,0.67,0.33
7472,band_mod6_control,7496,branch_uniform,1000,301,261.497,222,260,304,0.938,0.062
7472,band_ordinary_control,7498,branch_uniform,1000,291,260.947,226,260,299,0.905,0.095
7558,complete,7558,branch_uniform,1000,291,262.226,225,262,300,0.912,0.088
7558,local_mod6_control,7552,branch_uniform,1000,234,261.549,225,261,299,0.12,0.88
7558,band_mod6_control,7498,branch_uniform,1000,291,260.454,225,259,297,0.912,0.088
7558,band_ordinary_control,7499,branch_uniform,1000,262,260.387,225,260,301,0.548,0.452
7562,complete,7562,branch_uniform,1000,294,263.086,227,263,299,0.921,0.079
7562,local_mod6_control,7556,branch_uniform,1000,268,262.421,227,262,299,0.624,0.376
7562,band_mod6_control,7496,branch_uniform,1000,301,259.426,225,258,294,0.975,0.025
7562,band_ordinary_control,7498,branch_uniform,1000,291,260.743,226,260,295,0.927,0.073
13318,complete,13318,branch_uniform,1000,484,486.009,442,486,535,0.488,0.512
13318,local_mod6_control,13312,branch_uniform,1000,537,486.439,441,485,536,0.956,0.044
13318,band_mod6_control,13336,branch_uniform,1000,534,485.71,438,486,535,0.949,0.051
13318,band_ordinary_control,13335,branch_uniform,1000,532,486.058,441,486,534,0.947,0.053
13341,complete,13341,branch_uniform,1000,533,484.34,442,483,533,0.951,0.049
13341,local_mod6_control,13335,branch_uniform,1000,532,483.966,438,483,533,0.949,0.051
13341,band_mod6_control,13329,branch_uniform,1000,520,486.489,441,487,533,0.892,0.108
13341,band_ordinary_control,13334,branch_uniform,1000,535,485.068,439,484,533,0.959,0.041
13412,complete,13412,branch_uniform,1000,493,487.508,443,487,534,0.591,0.409
13412,local_mod6_control,13406,branch_uniform,1000,527,485.688,439,484,533,0.931,0.069
13412,band_mod6_control,13334,branch_uniform,1000,535,486.361,443,487,534,0.957,0.043
13412,band_ordinary_control,13335,branch_uniform,1000,532,487.429,442,487,536,0.935,0.065
23728,complete,23728,branch_uniform,1000,879,895.277,837,893,954,0.327,0.673
23728,local_mod6_control,23722,branch_uniform,1000,855,893.217,833,893,955,0.154,0.846
23728,band_mod6_control,23716,branch_uniform,1000,990,891.808,832,892,951,0.997,0.003
23728,band_ordinary_control,23714,branch_uniform,1000,943,896.278,840,896,956,0.907,0.093
23732,complete,23732,branch_uniform,1000,868,894.354,837,893,959,0.257,0.743
23732,local_mod6_control,23726,branch_uniform,1000,966,895.842,838,896,958,0.971,0.029
23732,band_mod6_control,23714,branch_uniform,1000,943,895.284,835,895,959,0.899,0.101
23732,band_ordinary_control,23713,branch_uniform,1000,964,894.795,837,893,955,0.962,0.038
23734,complete,23734,branch_uniform,1000,942,897.308,841,896,958,0.892,0.108
23734,local_mod6_control,23740,branch_uniform,1000,966,895.019,837,894,956,0.968,0.032
23734,band_mod6_control,23716,branch_uniform,1000,990,893.134,836,892,952,0.998,0.002
23734,band_ordinary_control,23714,branch_uniform,1000,943,894.552,834,894,951,0.925,0.075
42122,complete,42122,branch_uniform,1000,1592,1595.467,1518,1596,1675,0.475,0.525
42122,local_mod6_control,42116,branch_uniform,1000,1657,1594.123,1520,1593,1673,0.908,0.092
42122,band_mod6_control,42170,branch_uniform,1000,1566,1595.393,1525,1596,1669,0.269,0.731
42122,band_ordinary_control,42169,branch_uniform,1000,1620,1596.512,1521,1597,1676,0.696,0.304
42208,complete,42208,branch_uniform,1000,1669,1598.331,1521,1596,1679,0.929,0.071
42208,local_mod6_control,42202,branch_uniform,1000,1579,1596.802,1520,1596,1676,0.357,0.643
42208,band_mod6_control,42172,branch_uniform,1000,1689,1597.133,1520,1597,1673,0.97,0.03
42208,band_ordinary_control,42169,branch_uniform,1000,1620,1597.31,1524,1598,1668,0.693,0.307
42212,complete,42212,branch_uniform,1000,1566,1597.765,1520,1598,1674,0.261,0.739
42212,local_mod6_control,42206,branch_uniform,1000,1644,1596.066,1524,1593,1674,0.841,0.159
42212,band_mod6_control,42170,branch_uniform,1000,1566,1596.388,1520,1595,1674,0.265,0.735
42212,band_ordinary_control,42169,branch_uniform,1000,1620,1595.071,1523,1594,1675,0.716,0.284
74968,complete,74968,branch_uniform,1000,3009,2925.224,2830,2923,3024,0.907,0.093
74968,local_mod6_control,74962,branch_uniform,1000,3072,2927.837,2829,2928,3023,0.991,0.009
74968,band_mod6_control,74986,branch_uniform,1000,3051,2923.593,2826,2924,3020,0.987,0.013
74968,band_ordinary_control,74989,branch_uniform,1000,3044,2926.269,2833,2927,3018,0.987,0.013
74972,complete,74972,branch_uniform,1000,3037,2928.284,2840,2927,3023,0.969,0.031
74972,local_mod6_control,74966,branch_uniform,1000,2984,2924.078,2833,2925,3012,0.859,0.141
74972,band_mod6_control,74990,branch_uniform,1000,3015,2923.98,2830,2923,3026,0.921,0.079
74972,band_ordinary_control,74989,branch_uniform,1000,3044,2924.931,2823,2925,3018,0.979,0.021
75028,complete,75028,branch_uniform,1000,2993,2927.864,2833,2927,3027,0.867,0.133
75028,local_mod6_control,75022,branch_uniform,1000,3133,2921.436,2826,2922,3022,1.0,0.0
75028,band_mod6_control,74986,branch_uniform,1000,3051,2921.78,2825,2921,3016,0.985,0.015
75028,band_ordinary_control,74989,branch_uniform,1000,3044,2925.314,2828,2924,3026,0.973,0.027
133292,complete,133292,branch_uniform,1000,5345,5224.191,5109,5221,5348,0.942,0.058
133292,local_mod6_control,133286,branch_uniform,1000,5374,5222.509,5105,5221,5341,0.982,0.018
133292,band_mod6_control,133346,branch_uniform,1000,5354,5228.418,5109,5225,5355,0.948,0.052
133292,band_ordinary_control,133351,branch_uniform,1000,5553,5223.986,5105,5226,5337,1.0,0.0
133348,complete,133348,branch_uniform,1000,5382,5223.664,5108,5223,5341,0.991,0.009
133348,local_mod6_control,133342,branch_uniform,1000,5393,5221.826,5094,5223,5344,0.987,0.013
133348,band_mod6_control,133354,branch_uniform,1000,5338,5224.201,5106,5224,5349,0.933,0.067
133348,band_ordinary_control,133351,branch_uniform,1000,5553,5226.238,5109,5227,5340,1.0,0.0
133352,complete,133352,branch_uniform,1000,5512,5226.839,5109,5226,5350,1.0,0.0
133352,local_mod6_control,133346,branch_uniform,1000,5354,5224.506,5094,5224,5355,0.949,0.051
133352,band_mod6_control,133358,branch_uniform,1000,5475,5225.247,5111,5224,5344,1.0,0.0
133352,band_ordinary_control,133351,branch_uniform,1000,5553,5225.193,5106,5223,5343,1.0,0.0
237088,complete,237088,branch_uniform,1000,9687,9352.231,9199,9351,9507,1.0,0.0
237088,local_mod6_control,237082,branch_uniform,1000,9689,9341.825,9193,9341,9491,1.0,0.0
237088,band_mod6_control,237136,branch_uniform,1000,9740,9344.31,9187,9344,9500,1.0,0.0
237088,band_ordinary_control,237137,branch_uniform,1000,9673,9347.358,9195,9339,9520,1.0,0.0
237092,complete,237092,branch_uniform,1000,9502,9354.759,9195,9357,9516,0.934,0.066
237092,local_mod6_control,237086,branch_uniform,1000,9537,9345.409,9194,9344,9497,0.977,0.023
237092,band_mod6_control,237140,branch_uniform,1000,9626,9350.922,9195,9354,9500,0.999,0.001
237092,band_ordinary_control,237137,branch_uniform,1000,9673,9351.192,9195,9352,9501,1.0,0.0
