start,stop,length
3748,3748,1
3771,3771,1
3778,3778,1
3782,3782,1
3842,3842,1
3866,3866,1
3891,3891,1
3928,3928,1
3986,3986,1
3988,3988,1
3992,3992,1
4078,4078,1
4172,4172,1
4198,4198,1
4202,4202,1
5638,5638,1
5668,5668,1
5672,5672,1
5728,5728,1
5758,5758,1
5822,5822,1
5878,5878,1
5882,5882,1
6058,6058,1
6081,6081,1
6088,6088,1
6092,6092,1
6130,6130,1
11338,11338,1
11342,11342,1
11361,11361,1
11378,11378,1
11432,11432,1
11492,11492,1
11548,11548,1
11552,11552,1
11576,11576,1
11608,11608,1
11649,11649,1
11668,11668,1
12178,12178,1
12182,12182,1
12184,12184,1
12268,12268,1
12328,12328,1
12388,12388,1
12392,12392,1
12399,12399,1
12422,12422,1
12434,12434,1
12598,12598,1
12602,12602,1
12658,12658,1
17848,17848,1
17852,17852,1
17854,17854,1
17938,17938,1
18009,18009,1
18032,18032,1
18051,18051,1
18058,18058,1
18062,18062,1
18118,18118,1
18171,18171,1
18268,18268,1
18272,18272,1
18274,18274,1
19659,19659,1
19682,19682,1
19696,19696,1
19738,19738,1
19742,19742,1
19888,19888,1
19918,19918,1
19941,19941,1
19948,19948,1
19952,19952,1
20012,20012,1
20049,20049,1
20121,20121,1
51448,51448,1
51452,51452,1
51454,51454,1
51549,51549,1
51561,51561,1
51598,51598,1
51639,51639,1
51658,51658,1
51662,51662,1
51669,51669,1
51692,51692,1
51711,51711,1
51868,51868,1
51872,51872,1
51902,51902,1
51914,51914,1
51928,51928,1
58322,58322,1
58341,58341,1
58378,58378,1
58382,58382,1
58528,58528,1
58551,58551,1
58588,58588,1
58592,58592,1
58599,58599,1
58622,58622,1
58766,58766,1
58772,58772,1
58798,58798,1
423740,423740,1
423771,423771,1
423778,423778,1
423782,423782,1
423838,423838,1
423891,423891,1
423932,423932,1
423986,423986,1
423988,423988,1
423992,423992,1
424089,424089,1
566679,566679,1
566691,566691,1
566704,566704,1
566728,566728,1
566758,566758,1
566788,566788,1
566792,566792,1
566799,566799,1
566822,566822,1
566901,566901,1
566972,566972,1
566998,566998,1
567002,567002,1
567058,567058,1
567088,567088,1
650841,650841,1
650878,650878,1
650945,650945,1
650972,650972,1
650998,650998,1
651002,651002,1
651069,651069,1
651155,651155,1
651208,651208,1
651212,651212,1
651214,651214,1
651302,651302,1
986038,986038,1
986080,986080,1
986132,986132,1
986158,986158,1
986162,986162,1
986164,986164,1
986252,986252,1
986259,986259,1
986368,986368,1
986372,986372,1
986398,986398,1
986469,986469,1
986488,986488,1
