n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
1000,168,0.114647282149409,0.7919553684885345,0.11101609067106057,0.015877683034401624,False,False,False,0.8986294256635812,0.061736816249209236,0.06173681624920902,0.25718337936814156,0.04585913321480761,19,0.004102387488224779,0.011876133473946358,0.01519821748609133
1014,170,0.15338389486889098,1.0616708912362356,0.11079669049610376,0.02000200094118354,False,False,False,0.8986392501254606,0.0626274549997703,0.0626274549997704,0.31938070836914745,0.042625454058586754,28,0.004200245674181313,0.011947301803133914,0.01862531136180025
1028,172,0.08011971290554026,0.5556598890282993,0.11057965472446267,0.01142498331470626,False,False,False,0.8986431004693283,0.06351809375033135,0.06351809375033135,0.1798697448260034,0.05209311043562509,16,0.003850639949205259,0.010171029258320752,0.011322973350414841
1042,175,0.07912771814850872,0.5498503808501629,0.11025938862268057,0.016207122319383482,False,False,False,0.8976620360424815,0.06440873250089241,0.06440873250089252,0.25162926966710497,0.048201610181508925,11,0.006163389998195101,0.012050407555510345,0.01579145084299617
1057,177,0.08337882214506218,0.5805825793941526,0.11004957043955668,0.01333299964336876,False,False,False,0.8976693182991443,0.05051961779205083,0.05051961779205079,0.26391727067790055,0.03718661814868207,13,0.007146715419453997,0.01248952030076489,0.013238584000705203
1072,180,0.12498726428379392,0.8720713070287864,0.10973981108024321,0.015836735350868936,False,False,False,0.8948506237629568,0.03337282845223999,0.03337282845223985,0.47453980035084414,0.017536093101371053,18,0.006157671755657679,0.0141318802389661,0.015723974688319542
1087,181,0.10586137242313445,0.7400955801235481,0.10963890091624862,0.011423016571110445,False,False,False,0.8957790893969746,0.03386514987905309,0.033865149879053175,0.33730890345700265,0.022442133307942647,32,0.0028959846517329427,0.006133677145542501,0.01074151613879425
1102,184,0.09155554163106217,0.6413357646298332,0.10933856470804909,0.026879639728388915,False,False,False,0.8948641625662151,0.03225641275099911,0.03225641275099901,0.8333115010613307,0.005376773022610193,17,0.003789762788023121,0.009803041866372288,0.024700351140752048
1117,187,0.10758199483343264,0.7550536660864171,0.10904335765564098,0.016372339024593452,False,False,False,0.8939559079860685,0.03271725522224134,0.03271725522224124,0.5004190881349809,0.016344916197647885,31,0.002983066709560436,0.005580836266849909,0.014049663983635677
1133,189,0.03561100440754069,0.2504388135560459,0.10884984549526182,0.010859873339582604,False,False,False,0.8939558953776556,0.033208820524899485,0.0332088205248995,0.32701773709307236,0.02234894718531688,9,0.0026075619295958252,0.007187648649107743,0.010492650870535117
1148,189,0.02923003656254819,0.20594830695373373,0.10884984549526182,0.008613208224308833,False,False,False,0.8974646781070581,0.033669662996141714,0.03366966299614173,0.25581510053414674,0.02505645477183288,9,0.002569939638146168,0.006924202113002209,0.00844430761317817
1164,192,0.07710126570389197,0.5443054545267736,0.10856764235863128,0.010159519459016386,False,False,False,0.8966018227129245,0.034161228298800084,0.03416122829879999,0.29739912658155915,0.024001708839783698,21,0.0021879188953052298,0.00914871499480252,0.010134304530423832
1181,194,0.08108779008529636,0.5736244994306767,0.10838315709584015,0.014654597508293676,False,False,False,0.8966046892099099,0.034683516432874484,0.034683516432874276,0.4225234063753535,0.020028918924580807,19,0.0030266358971194063,0.008741508134247632,0.013742464647829428
1197,196,0.051488296393384175,0.3649270956617251,0.1082011523605622,0.011633919338159243,False,False,False,0.8966103469002592,0.03517508173553274,0.03517508173553276,0.3307432069562764,0.0235411623973735,15,0.001810938065918255,0.008574208083604927,0.01140309244701299
1214,198,0.039890430021763346,0.28328890838312365,0.1080220069976167,0.008917513004706445,False,False,False,0.8999340941754302,0.03569736986960714,0.03569736986960727,0.249808684429125,0.026779856864900697,9,0.0029686866474346596,0.007644788236289091,0.00879024052786471
1231,202,0.09602635601708304,0.6832834225177811,0.10766985028766672,0.021944750862534335,False,False,False,0.8983000440357297,0.036219658003681654,0.03621965800368156,0.605879571262205,0.01427490714114732,22,0.0038077646644975316,0.008123090285021175,0.02010290777387975
1248,203,0.021541841418073915,0.15357819722129962,0.10758284435277676,0.007988175326863134,False,False,False,0.9007278910266299,0.03216568169709999,0.032165681697099886,0.24834466130973795,0.024177506370236856,6,0.0030050106653016495,0.006708921515599819,0.007860249945736803
1265,205,0.08489776289334532,0.6064100670919093,0.10741139490163565,0.011940298507462699,False,False,False,0.9007177553925665,0.03262426014885822,0.032624260148858227,0.3659944609619165,0.02068396164139552,20,0.0036002037443339657,0.008463297592025174,0.011849468191502285
1283,208,0.19437561609058507,1.3911378027055983,0.10715987785257435,0.016551852477263984,False,False,False,0.8999334483831739,0.03310981380366096,0.033109813803660966,0.49990774866374643,0.016557961326396975,41,0.002926638121400371,0.013575552809124345,0.01564313428570985
1301,212,0.04517091085519323,0.32391556421542056,0.10682926082420037,0.006914758688074896,False,False,False,0.8999442153308455,0.03359536745846381,0.033595367458463705,0.20582476725769028,0.026680608770388914,14,0.0026852092666707125,0.005981485962643513,0.006861743727966571
1319,215,0.16555483879364527,1.1894501211702393,0.10658482489243568,0.015673897074854337,False,False,False,0.900702338818671,0.03408092111326655,0.03408092111326667,0.4599023900428859,0.018407024038412212,46,0.003061599486769766,0.006621182480860993,0.012529892525810212
1337,217,0.06997332572474713,0.5036808440670797,0.10642394134307756,0.007425742574257432,False,False,False,0.9007046163491115,0.03212269844091237,0.03212269844091238,0.23116808159552993,0.024696955866654935,20,0.0033938624910875986,0.007066605935273775,0.007365662416052762
1356,217,0.1313001738497379,0.9469755175695979,0.10642394134307756,0.021742865622217722,False,False,False,0.9036676053245977,0.035386239836882605,0.035386239836882626,0.6144440811582197,0.013643374214664883,22,0.003725073566955006,0.014517210781015338,0.02050790454997308
1375,220,0.04047507131921303,0.2924813250513645,0.10619063787790385,0.00802763946753382,False,False,False,0.9029371192956401,0.03306737401321791,0.03306737401321787,0.24276616172560178,0.02503973454568409,14,0.002670934151735499,0.005273029765354532,0.007678373614808134
1394,221,0.09338989300286882,0.6761365300514014,0.10611377169387227,0.011739594450373536,False,False,False,0.9036601843369125,0.03353971179937065,0.03353971179937072,0.35002073126322514,0.021800117348997117,24,0.0032108129406073216,0.007881059508225562,0.011239241246080812
1414,223,0.04384392093628564,0.3180515999577944,0.10596271817271637,0.011546373509699337,False,False,False,0.9036621983694421,0.03403690946900528,0.03403690946900535,0.33923096103110373,0.022490535959305946,10,0.0026703956449884436,0.007065411460058511,0.011098277304735255
1433,227,0.1772371048854816,1.2880751665098864,0.10566631726762556,0.018448770656684377,False,False,False,0.9022714972991748,0.03450924725515814,0.03450924725515821,0.5346036823195793,0.01606047659847376,42,0.0035653782107325,0.008279257772527287,0.014839675290226216
1453,231,0.12574430565407776,0.9155927844652014,0.10537471960891971,0.019493076078015315,False,False,False,0.9008988947255562,0.03500644492479266,0.035006444924792615,0.5568424934292516,0.015513368846777342,27,0.003787284081551573,0.009343147161503466,0.0178925319047236
1473,233,0.04676462983158289,0.3411506129163885,0.10523095907741269,0.0051183621241203126,False,False,False,0.9022734564113482,0.035503642594427065,0.035503642594427245,0.14416442229856527,0.030385280470306752,16,0.0030615164535824774,0.004637468999842867,0.005075712542853228
1494,238,0.120677451088742,0.8820571177581166,0.10487761905064488,0.020812487492495646,False,False,False,0.9016091241317893,0.03602570014754336,0.03602570014754343,0.5777122278611669,0.015213212655047714,33,0.0022017873332469406,0.008241663436746706,0.017441824753336627
1515,240,0.06827941895421372,0.5000218415236922,0.10473833715229686,0.010722722836004506,False,False,False,0.9029327612413358,0.036547757700659544,0.036547757700659614,0.2933893489123959,0.02582503486465504,13,0.004052436678478988,0.009696366916050114,0.010604865331254425
1536,242,0.05820254758819343,0.42702841987164064,0.10460124416744956,0.0065393875497034015,False,False,False,0.9029370550058533,0.03706981525377584,0.0370698152537758,0.1764073412542113,0.030530427704072438,16,0.00419507016449297,0.00617954760214362,0.006518473096301869
1557,245,0.0413027662001528,0.3035966508957018,0.10439876701222209,0.010076377678250814,False,False,False,0.9035935252483601,0.037591872806892135,0.03759187280689198,0.2680467059997979,0.02751549512864132,12,0.0029776420121812586,0.006452331670018775,0.00970499455910387
1579,249,0.07641615133727411,0.5627703391718294,0.10413294673713687,0.010876768936883496,False,False,False,0.902314724906856,0.038138790243489984,0.038138790243490164,0.28518914384653515,0.027262021306606488,26,0.002486822794768251,0.005996334375468537,0.00980018226939023
1601,252,0.11662249121189085,0.8604854897269179,0.10393710131638298,0.010568493989606464,False,False,False,0.9016869344164101,0.038685707680088055,0.038685707680088124,0.2731885914302708,0.02811721369048159,35,0.0029765583667495654,0.006546356705859947,0.010038474278442833
1623,257,0.04978934789446304,0.36804443136183695,0.10361557002968942,0.01661845309191473,False,False,False,0.901057761232795,0.039232625116686015,0.039232625116686085,0.42358758921912526,0.022614172024771284,14,0.002181738716173179,0.006876445806424049,0.015394055048682182
1646,259,0.12238459412158659,0.9063929563352021,0.10348866674853606,0.01141140648456046,False,False,False,0.9022653531589155,0.03980440243676575,0.03980440243676582,0.28668704429588915,0.02839299595220529,26,0.004119068855093777,0.009118124704696473,0.011302636662063964
1669,263,0.10990950948096959,0.8155263537683144,0.10324019279414855,0.015613353342808,False,False,False,0.9022769512088284,0.04037617975684549,0.040376179756845335,0.3866971426428938,0.024762826414037487,43,0.0020315799360608455,0.00424822333718864,0.011564426050345054
1692,263,0.04546768300428988,0.3379915938078717,0.10324019279414855,0.012217632064691952,False,False,False,0.9034688463220586,0.04094795707692511,0.04094795707692529,0.2983697585141995,0.02873032501223316,15,0.0016674724620064918,0.005789968049757221,0.01136620994017708
1716,267,0.1655262946900375,1.232798673159314,0.10299748604623016,0.014786528441313118,False,False,False,0.9034543787365457,0.04154459428048651,0.04154459428048658,0.35591943301895107,0.026758065839173395,43,0.0028887990151418297,0.008395583169712234,0.013430501652463893
1740,270,0.11238698655792595,0.8385912784592224,0.1028185830847429,0.012801288297381919,False,False,False,0.9040387970194913,0.042141231484048025,0.04214123148404787,0.30377110128420587,0.029339943186666106,29,0.003569870010945664,0.009015864243168269,0.012477288794535479
1764,274,0.1783357842627949,1.3331204853835714,0.10258383411788288,0.0152627598360906,False,False,False,0.9040283737819453,0.042737868687609315,0.042737868687609384,0.35712496445840836,0.027475108851518715,35,0.004079691187501178,0.01197589329008373,0.014458174241473028
1789,278,0.11484936051664268,0.8601541884365929,0.10235408166955091,0.019872304688369313,False,False,False,0.9040461050492931,0.032934912546572714,0.03293491254657275,0.6033811281650806,0.013062607858203401,34,0.002284651881246269,0.006747568606223336,0.016957159799641176
