start,stop,length
38636,38636,1
38638,38638,1
38642,38642,1
38728,38728,1
38768,38768,1
38822,38822,1
38848,38848,1
38852,38852,1
38859,38859,1
39058,39058,1
39062,39062,1
39069,39069,1
39129,39129,1
39152,39152,1
39159,39159,1
39268,39268,1
39272,39272,1
39388,39388,1
39471,39471,1
39478,39478,1
39482,39482,1
372272,372272,1
372309,372309,1
372328,372328,1
372332,372332,1
372358,372358,1
372381,372381,1
372452,372452,1
372538,372538,1
372542,372542,1
372609,372609,1
372688,372688,1
372746,372746,1
372748,372748,1
372752,372752,1
372759,372759,1
372782,372782,1
372842,372842,1
372958,372958,1
372962,372962,1
373018,373018,1
373042,373042,1
373071,373071,1
373112,373112,1
373168,373168,1
373172,373172,1
373219,373219,1
