center,seed_uncovered_measure,seed_baseline_ratio,radius,window_start,window_stop,window_size,float_zero_count,exact_complete_count,float_positive_exact_count,d_r,min_uncovered_measure,median_uncovered_measure,median_baseline_ratio,max_uncovered_measure,certified_values
1839,0.0043426558209985755,0.04252130794137904,250,1589,2089,501,10,10,0,0.01996007984031936,0,0.06872083779894854,0.6737258243012298,0.25934386975219065,1678 1682 1765 1768 1772 1791 1862 1888 1892 1959
3524,0.00219943541536205,0.023359206230197757,250,3274,3774,501,14,14,0,0.027944111776447105,0,0.06474022335878246,0.6865461906613112,0.1982896339705063,3298 3358 3362 3418 3422 3489 3512 3561 3568 3572 3628 3669 3748 3771
3992,0,0.0,250,3742,4242,501,15,15,0,0.029940119760479042,0,0.06208942706696152,0.672316509456621,0.20319207383868593,3748 3771 3778 3782 3842 3866 3891 3928 3986 3988 3992 4078 4172 4198 4202
5882,0,0.0,250,5632,6132,501,13,13,0,0.02594810379241517,0,0.059774885925135135,0.6738452708009337,0.2045536554512516,5638 5668 5672 5728 5758 5822 5878 5882 6058 6081 6088 6092 6130
7341,0.002901195519504185,0.03358297587489364,250,7091,7591,501,9,9,0,0.017964071856287425,0,0.06112170245350129,0.706353300670223,0.1819779976035636,7138 7142 7251 7348 7352 7378 7472 7558 7562
11432,0,0.0,250,11182,11682,501,12,12,0,0.023952095808383235,0,0.05586082802279718,0.6783107128098438,0.1809286092814235,11338 11342 11361 11378 11432 11492 11548 11552 11576 11608 11649 11668
12422,0,0.0,250,12172,12672,501,13,13,0,0.02594810379241517,0,0.054295503482623186,0.6648144166883863,0.16428910119093515,12178 12182 12184 12268 12328 12388 12392 12399 12422 12434 12598 12602 12658
18051,0,0.0,250,17801,18301,501,14,14,0,0.027944111776447105,0,0.053887019422097185,0.6865471184890848,0.1544737310388833,17848 17852 17854 17938 18009 18032 18051 18058 18062 18118 18171 18268 18272 18274
19888,0,0.0,250,19638,20138,501,13,13,0,0.02594810379241517,0,0.055231993966193216,0.7110737582912149,0.17100723463300554,19659 19682 19696 19738 19742 19888 19918 19941 19948 19952 20012 20049 20121
23482,0.0023958451479757503,0.03133744248037804,250,23232,23732,501,11,11,0,0.021956087824351298,0,0.05293943078708563,0.6918800188862767,0.2039370432654486,23241 23308 23312 23432 23518 23522 23548 23631 23642 23728 23732
51692,0,0.0,250,51442,51942,501,17,17,0,0.033932135728542916,0,0.047835289830034156,0.6746523053964121,0.14261602450310001,51448 51452 51454 51549 51561 51598 51639 51658 51662 51669 51692 51711 51868 51872 51902 51914 51928
58551,0,0.0,250,58301,58801,501,13,13,0,0.02594810379241517,0,0.04954204773523169,0.7066957160150289,0.14245402945594082,58322 58341 58378 58382 58528 58551 58588 58592 58599 58622 58766 58772 58798
97719,0.0027611711169503173,0.04122004138884169,250,97469,97969,501,12,12,0,0.023952095808383235,0,0.04482245150643002,0.6691097693350575,0.14015724589431344,97491 97562 97648 97652 97654 97772 97798 97856 97858 97862 97869 97892
112228,0.0027633180717115957,0.04174513339666157,250,111978,112478,501,12,12,0,0.023952095808383235,0,0.04669827903415516,0.7053460829258554,0.13468219049948393,111988 112059 112082 112138 112142 112186 112318 112341 112348 112352 112412 112461
192561,0.0025564407302481884,0.04041179496778818,250,192311,192811,501,10,10,0,0.01996007984031936,0,0.04346981200582922,0.6871458008574259,0.14238880572418217,192358 192362 192508 192568 192572 192579 192602 192688 192778 192782
299884,0.002814512028515348,0.0461045865934374,250,299634,300134,501,11,11,0,0.021956087824351298,0,0.04277562066615265,0.7006920717991116,0.12779136731764673,299666 299668 299672 299679 299758 299852 299878 299882 300010 300088 300092
423891,0,0.0,250,423641,424141,501,11,11,0,0.021956087824351298,0,0.040062611161941764,0.6743326639483095,0.13880423401707498,423740 423771 423778 423782 423838 423891 423932 423986 423988 423992 424089
566901,0,0.0,250,566651,567151,501,15,15,0,0.029940119760479042,0,0.041317794247166306,0.7110254578162302,0.1200985568891072,566679 566691 566704 566728 566758 566788 566792 566799 566822 566901 566972 566998 567002 567058 567088
651069,0,0.0,250,650819,651319,501,12,12,0,0.023952095808383235,0,0.040403740536998745,0.7025429925217566,0.11461737361493685,650841 650878 650945 650972 650998 651002 651069 651155 651208 651212 651214 651302
688138,0.0023174457166674767,0.04046378150107794,250,687888,688388,501,12,12,0,0.023952095808383235,0,0.039318730085073306,0.6865260332234139,0.12928813363979885,687909 687932 687958 687962 688052 688071 688168 688172 688191 688262 688378 688382
986252,0,0.0,250,986002,986502,501,13,13,0,0.02594810379241517,0,0.039361695222598636,0.7056571085664208,0.11858075474751673,986038 986080 986132 986158 986162 986164 986252 986259 986368 986372 986398 986469 986488
