start,stop,length
118,118,1
178,178,1
201,201,1
208,208,1
212,212,1
290,290,1
387,387,1
418,418,1
422,422,1
448,448,1
502,502,1
542,542,1
602,602,1
628,628,1
632,632,1
729,729,1
778,778,1
836,836,1
838,838,1
842,842,1
844,844,1
849,849,1
868,868,1
872,872,1
939,939,1
1048,1048,1
1052,1052,1
1108,1108,1
1202,1202,1
1245,1245,1
1258,1258,1
1262,1262,1
1329,1329,1
1438,1438,1
1461,1461,1
1468,1468,1
1472,1472,1
1532,1532,1
1558,1558,1
1678,1678,1
1682,1682,1
1765,1765,1
1768,1768,1
1772,1772,1
1791,1791,1
1862,1862,1
1888,1888,1
1892,1892,1
1959,1959,1
2098,2098,1
2102,2102,1
2121,2121,1
2140,2140,1
2181,2181,1
2192,2192,1
2308,2308,1
2312,2312,1
2342,2342,1
2428,2428,1
2499,2499,1
2518,2518,1
2522,2522,1
2552,2552,1
2582,2582,1
2631,2631,1
2698,2698,1
2728,2728,1
2732,2732,1
2758,2758,1
2788,2788,1
2852,2852,1
2912,2912,1
2938,2938,1
2942,2942,1
3088,3088,1
3148,3148,1
3152,3152,1
3159,3159,1
3182,3182,1
3208,3208,1
3298,3298,1
3358,3358,1
3362,3362,1
3418,3418,1
3422,3422,1
3489,3489,1
3512,3512,1
3561,3561,1
3568,3568,1
3572,3572,1
3628,3628,1
3669,3669,1
3748,3748,1
3771,3771,1
3778,3778,1
3782,3782,1
3842,3842,1
3866,3866,1
3891,3891,1
3928,3928,1
3986,3986,1
3988,3988,1
3992,3992,1
4078,4078,1
4172,4172,1
4198,4198,1
4202,4202,1
4408,4408,1
4412,4412,1
4498,4498,1
4502,4502,1
4509,4509,1
4521,4521,1
4618,4618,1
4622,4622,1
4738,4738,1
4773,4773,1
4828,4828,1
4832,4832,1
4885,4885,1
5038,5038,1
5042,5042,1
5068,5068,1
5162,5162,1
5223,5223,1
5248,5248,1
5252,5252,1
5301,5301,1
5342,5342,1
5372,5372,1
5398,5398,1
5402,5402,1
5458,5458,1
5462,5462,1
5469,5469,1
5492,5492,1
5559,5559,1
5638,5638,1
5668,5668,1
5672,5672,1
5728,5728,1
5758,5758,1
5822,5822,1
5878,5878,1
5882,5882,1
6058,6058,1
6081,6081,1
6088,6088,1
6092,6092,1
6130,6130,1
6152,6152,1
6201,6201,1
6296,6296,1
6298,6298,1
6302,6302,1
6332,6332,1
6388,6388,1
6399,6399,1
6482,6482,1
6508,6508,1
6512,6512,1
6638,6638,1
6718,6718,1
6722,6722,1
6778,6778,1
6789,6789,1
6812,6812,1
6928,6928,1
6932,6932,1
6939,6939,1
7048,7048,1
7138,7138,1
7142,7142,1
7251,7251,1
7348,7348,1
7352,7352,1
7378,7378,1
7472,7472,1
7558,7558,1
7562,7562,1
7708,7708,1
7731,7731,1
7768,7768,1
7772,7772,1
7779,7779,1
7802,7802,1
7881,7881,1
7959,7959,1
7978,7978,1
7982,7982,1
8038,8038,1
8079,8079,1
8132,8132,1
8146,8146,1
8188,8188,1
8192,8192,1
8368,8368,1
8391,8391,1
8398,8398,1
8402,8402,1
8462,8462,1
8608,8608,1
8612,8612,1
8698,8698,1
8792,8792,1
8811,8811,1
8818,8818,1
8822,8822,1
9028,9028,1
9032,9032,1
9051,9051,1
9099,9099,1
9122,9122,1
9129,9129,1
9148,9148,1
9182,9182,1
9238,9238,1
9242,9242,1
9358,9358,1
9448,9448,1
9452,9452,1
9501,9501,1
9658,9658,1
9662,9662,1
9688,9688,1
9752,9752,1
9771,9771,1
9782,9782,1
9838,9838,1
9868,9868,1
9872,9872,1
9874,9874,1
9981,9981,1
10018,10018,1
10052,10052,1
10078,10078,1
10082,10082,1
10089,10089,1
10112,10112,1
10281,10281,1
10288,10288,1
10292,10292,1
10348,10348,1
10371,10371,1
10442,10442,1
10498,10498,1
10502,10502,1
10678,10678,1
10701,10701,1
10708,10708,1
10712,10712,1
10772,10772,1
10892,10892,1
10918,10918,1
10922,10922,1
10929,10929,1
11008,11008,1
11079,11079,1
11102,11102,1
11128,11128,1
11132,11132,1
11151,11151,1
11338,11338,1
11342,11342,1
11361,11361,1
11378,11378,1
11432,11432,1
11492,11492,1
11548,11548,1
11552,11552,1
11576,11576,1
11608,11608,1
11649,11649,1
11668,11668,1
11758,11758,1
11762,11762,1
11859,11859,1
11912,11912,1
11931,11931,1
11968,11968,1
11972,11972,1
11998,11998,1
12021,12021,1
12092,12092,1
12178,12178,1
12182,12182,1
12184,12184,1
12268,12268,1
12328,12328,1
12388,12388,1
12392,12392,1
12399,12399,1
12422,12422,1
12434,12434,1
12598,12598,1
12602,12602,1
12658,12658,1
12711,12711,1
12752,12752,1
12808,12808,1
12812,12812,1
12988,12988,1
13011,13011,1
13018,13018,1
13022,13022,1
13048,13048,1
13075,13075,1
13082,13082,1
13228,13228,1
13232,13232,1
13318,13318,1
13341,13341,1
13412,13412,1
13436,13436,1
13438,13438,1
13442,13442,1
13556,13556,1
13622,13622,1
13646,13646,1
13648,13648,1
13652,13652,1
13742,13742,1
13851,13851,1
13858,13858,1
13862,13862,1
13978,13978,1
14068,14068,1
14072,14072,1
14152,14152,1
14278,14278,1
14282,14282,1
14308,14308,1
14402,14402,1
14488,14488,1
14492,14492,1
14589,14589,1
14608,14608,1
14638,14638,1
14661,14661,1
14698,14698,1
14702,14702,1
14709,14709,1
14732,14732,1
14864,14864,1
14908,14908,1
14912,14912,1
14968,14968,1
14991,14991,1
