start,stop,length
1678,1678,1
1682,1682,1
1765,1765,1
1768,1768,1
1772,1772,1
1791,1791,1
1862,1862,1
1888,1888,1
1892,1892,1
1959,1959,1
3298,3298,1
3358,3358,1
3362,3362,1
3418,3418,1
3422,3422,1
3489,3489,1
3512,3512,1
3561,3561,1
3568,3568,1
3572,3572,1
3628,3628,1
3669,3669,1
3748,3748,1
3771,3771,1
3778,3778,1
3782,3782,1
3842,3842,1
3866,3866,1
3891,3891,1
3928,3928,1
3986,3986,1
3988,3988,1
3992,3992,1
4078,4078,1
4172,4172,1
4198,4198,1
4202,4202,1
5638,5638,1
5668,5668,1
5672,5672,1
5728,5728,1
5758,5758,1
5822,5822,1
5878,5878,1
5882,5882,1
6058,6058,1
6081,6081,1
6088,6088,1
6092,6092,1
6130,6130,1
7138,7138,1
7142,7142,1
7251,7251,1
7348,7348,1
7352,7352,1
7378,7378,1
7472,7472,1
7558,7558,1
7562,7562,1
11338,11338,1
11342,11342,1
11361,11361,1
11378,11378,1
11432,11432,1
11492,11492,1
11548,11548,1
11552,11552,1
11576,11576,1
11608,11608,1
11649,11649,1
11668,11668,1
12178,12178,1
12182,12182,1
12184,12184,1
12268,12268,1
12328,12328,1
12388,12388,1
12392,12392,1
12399,12399,1
12422,12422,1
12434,12434,1
12598,12598,1
12602,12602,1
12658,12658,1
17848,17848,1
17852,17852,1
17854,17854,1
17938,17938,1
18009,18009,1
18032,18032,1
18051,18051,1
18058,18058,1
18062,18062,1
18118,18118,1
18171,18171,1
18268,18268,1
18272,18272,1
18274,18274,1
19659,19659,1
19682,19682,1
19696,19696,1
19738,19738,1
19742,19742,1
19888,19888,1
19918,19918,1
19941,19941,1
19948,19948,1
19952,19952,1
20012,20012,1
20049,20049,1
20121,20121,1
23241,23241,1
23308,23308,1
23312,23312,1
23432,23432,1
23518,23518,1
23522,23522,1
23548,23548,1
23631,23631,1
23642,23642,1
23728,23728,1
23732,23732,1
51448,51448,1
51452,51452,1
51454,51454,1
51549,51549,1
51561,51561,1
51598,51598,1
51639,51639,1
51658,51658,1
51662,51662,1
51669,51669,1
51692,51692,1
51711,51711,1
51868,51868,1
51872,51872,1
51902,51902,1
51914,51914,1
51928,51928,1
58322,58322,1
58341,58341,1
58378,58378,1
58382,58382,1
58528,58528,1
58551,58551,1
58588,58588,1
58592,58592,1
58599,58599,1
58622,58622,1
58766,58766,1
58772,58772,1
58798,58798,1
97491,97491,1
97562,97562,1
97648,97648,1
97652,97652,1
97654,97654,1
97772,97772,1
97798,97798,1
97856,97856,1
97858,97858,1
97862,97862,1
97869,97869,1
97892,97892,1
111988,111988,1
112059,112059,1
112082,112082,1
112138,112138,1
112142,112142,1
112186,112186,1
112318,112318,1
112341,112341,1
112348,112348,1
112352,112352,1
112412,112412,1
112461,112461,1
192358,192358,1
192362,192362,1
192508,192508,1
192568,192568,1
192572,192572,1
192579,192579,1
192602,192602,1
192688,192688,1
192778,192778,1
192782,192782,1
299666,299666,1
299668,299668,1
299672,299672,1
299679,299679,1
299758,299758,1
299852,299852,1
299878,299878,1
299882,299882,1
300010,300010,1
300088,300088,1
300092,300092,1
423740,423740,1
423771,423771,1
423778,423778,1
423782,423782,1
423838,423838,1
423891,423891,1
423932,423932,1
423986,423986,1
423988,423988,1
423992,423992,1
424089,424089,1
566679,566679,1
566691,566691,1
566704,566704,1
566728,566728,1
566758,566758,1
566788,566788,1
566792,566792,1
566799,566799,1
566822,566822,1
566901,566901,1
566972,566972,1
566998,566998,1
567002,567002,1
567058,567058,1
567088,567088,1
650841,650841,1
650878,650878,1
650945,650945,1
650972,650972,1
650998,650998,1
651002,651002,1
651069,651069,1
651155,651155,1
651208,651208,1
651212,651212,1
651214,651214,1
651302,651302,1
687909,687909,1
687932,687932,1
687958,687958,1
687962,687962,1
688052,688052,1
688071,688071,1
688168,688168,1
688172,688172,1
688191,688191,1
688262,688262,1
688378,688378,1
688382,688382,1
986038,986038,1
986080,986080,1
986132,986132,1
986158,986158,1
986162,986162,1
986164,986164,1
986252,986252,1
986259,986259,1
986368,986368,1
986372,986372,1
986398,986398,1
986469,986469,1
986488,986488,1
