control_role,control_n,reuse_count,reused,seed_ns,cluster_ids
local_mod6_control,2306,1,False,2312,bin1_cluster1
local_mod6_control,2336,1,False,2342,bin1_cluster1
local_mod6_control,2422,1,False,2428,bin1_cluster1
local_mod6_control,4166,1,False,4172,bin2_cluster1
local_mod6_control,4192,1,False,4198,bin2_cluster1
local_mod6_control,4196,1,False,4202,bin2_cluster1
local_mod6_control,7466,1,False,7472,bin3_cluster1
local_mod6_control,7552,1,False,7558,bin3_cluster1
local_mod6_control,7556,1,False,7562,bin3_cluster1
local_mod6_control,13312,1,False,13318,bin4_cluster1
local_mod6_control,13335,1,False,13341,bin4_cluster1
local_mod6_control,13406,1,False,13412,bin4_cluster1
local_mod6_control,23722,1,False,23728,bin5_cluster1
local_mod6_control,23726,1,False,23732,bin5_cluster1
local_mod6_control,23740,1,False,23734,bin5_cluster1
local_mod6_control,42116,1,False,42122,bin6_cluster1
local_mod6_control,42202,1,False,42208,bin6_cluster1
local_mod6_control,42206,1,False,42212,bin6_cluster1
local_mod6_control,74962,1,False,74968,bin7_cluster1
local_mod6_control,74966,1,False,74972,bin7_cluster1
local_mod6_control,75022,1,False,75028,bin7_cluster1
local_mod6_control,133286,1,False,133292,bin8_cluster1
local_mod6_control,133342,1,False,133348,bin8_cluster1
local_mod6_control,133346,1,False,133352,bin8_cluster1
local_mod6_control,237082,1,False,237088,bin9_cluster1
local_mod6_control,237086,1,False,237092,bin9_cluster1
local_mod6_control,237146,1,False,237152,bin9_cluster1
local_mod6_control,421659,1,False,421665,bin10_cluster1
local_mod6_control,421672,1,False,421678,bin10_cluster1
local_mod6_control,421676,1,False,421682,bin10_cluster1
local_mod6_control,749872,1,False,749878,bin11_cluster1
local_mod6_control,749895,1,False,749901,bin11_cluster1
local_mod6_control,749902,1,False,749908,bin11_cluster1
band_mod6_control,2368,1,False,2428,bin1_cluster1
band_mod6_control,2372,2,True,2312;2342,bin1_cluster1
band_mod6_control,4214,2,True,4172;4202,bin2_cluster1
band_mod6_control,4216,1,False,4198,bin2_cluster1
band_mod6_control,7496,2,True,7472;7562,bin3_cluster1
band_mod6_control,7498,1,False,7558,bin3_cluster1
band_mod6_control,13329,1,False,13341,bin4_cluster1
band_mod6_control,13334,1,False,13412,bin4_cluster1
band_mod6_control,13336,1,False,13318,bin4_cluster1
band_mod6_control,23714,1,False,23732,bin5_cluster1
band_mod6_control,23716,2,True,23728;23734,bin5_cluster1
band_mod6_control,42170,2,True,42122;42212,bin6_cluster1
band_mod6_control,42172,1,False,42208,bin6_cluster1
band_mod6_control,74986,2,True,74968;75028,bin7_cluster1
band_mod6_control,74990,1,False,74972,bin7_cluster1
band_mod6_control,133346,1,False,133292,bin8_cluster1
band_mod6_control,133354,1,False,133348,bin8_cluster1
band_mod6_control,133358,1,False,133352,bin8_cluster1
band_mod6_control,237136,1,False,237088,bin9_cluster1
band_mod6_control,237140,2,True,237092;237152,bin9_cluster1
band_mod6_control,421694,1,False,421682,bin10_cluster1
band_mod6_control,421695,1,False,421665,bin10_cluster1
band_mod6_control,421696,1,False,421678,bin10_cluster1
band_mod6_control,749889,1,False,749901,bin11_cluster1
band_mod6_control,749896,2,True,749878;749908,bin11_cluster1
band_ordinary_control,2371,3,True,2312;2342;2428,bin1_cluster1
band_ordinary_control,4216,2,True,4172;4202,bin2_cluster1
band_ordinary_control,4217,1,False,4198,bin2_cluster1
band_ordinary_control,7498,2,True,7472;7562,bin3_cluster1
band_ordinary_control,7499,1,False,7558,bin3_cluster1
band_ordinary_control,13334,1,False,13341,bin4_cluster1
band_ordinary_control,13335,2,True,13318;13412,bin4_cluster1
band_ordinary_control,23713,1,False,23732,bin5_cluster1
band_ordinary_control,23714,2,True,23728;23734,bin5_cluster1
band_ordinary_control,42169,3,True,42122;42208;42212,bin6_cluster1
band_ordinary_control,74989,3,True,74968;74972;75028,bin7_cluster1
band_ordinary_control,133351,3,True,133292;133348;133352,bin8_cluster1
band_ordinary_control,237137,3,True,237088;237092;237152,bin9_cluster1
band_ordinary_control,421696,2,True,421665;421682,bin10_cluster1
band_ordinary_control,421697,1,False,421678,bin10_cluster1
band_ordinary_control,749894,3,True,749878;749901;749908,bin11_cluster1
