start,stop,length
1000018,1000018,1
1000022,1000022,1
1000041,1000041,1
1000112,1000112,1
1000119,1000119,1
1000172,1000172,1
1000228,1000228,1
1000232,1000232,1
1000348,1000348,1
1000412,1000412,1
1000438,1000438,1
1000442,1000442,1
1000539,1000539,1
1000648,1000648,1
1000652,1000652,1
1000678,1000678,1
1000701,1000701,1
1000772,1000772,1
1000821,1000821,1
1000858,1000858,1
1000862,1000862,1
1000971,1000971,1
1000982,1000982,1
1001008,1001008,1
1001031,1001031,1
1001068,1001068,1
1001072,1001072,1
1001079,1001079,1
1001102,1001102,1
1001278,1001278,1
1001282,1001282,1
1001338,1001338,1
1001361,1001361,1
1001391,1001391,1
1001432,1001432,1
1001488,1001488,1
1001492,1001492,1
1001552,1001552,1
1001668,1001668,1
1001691,1001691,1
1001698,1001698,1
1001702,1001702,1
1001709,1001709,1
1001762,1001762,1
1001788,1001788,1
1001908,1001908,1
1001912,1001912,1
1001954,1001954,1
1001998,1001998,1
1002002,1002002,1
1002069,1002069,1
1002092,1002092,1
1002118,1002118,1
1002122,1002122,1
1002231,1002231,1
1002328,1002328,1
1002332,1002332,1
1002422,1002422,1
1002459,1002459,1
1002538,1002538,1
1002542,1002542,1
1002658,1002658,1
1002692,1002692,1
1002748,1002748,1
1002752,1002752,1
1002808,1002808,1
1002849,1002849,1
1002928,1002928,1
1002958,1002958,1
1002962,1002962,1
1002988,1002988,1
1003059,1003059,1
1003082,1003082,1
1003138,1003138,1
1003168,1003168,1
1003172,1003172,1
1003262,1003262,1
1003292,1003292,1
1003311,1003311,1
1003318,1003318,1
1003378,1003378,1
1003382,1003382,1
1003389,1003389,1
1003412,1003412,1
1003588,1003588,1
1003592,1003592,1
1003648,1003648,1
1003701,1003701,1
1003742,1003742,1
1003798,1003798,1
1003802,1003802,1
1003804,1003804,1
1003978,1003978,1
1004001,1004001,1
1004008,1004008,1
1004012,1004012,1
1004072,1004072,1
1004109,1004109,1
1004218,1004218,1
1004222,1004222,1
1004308,1004308,1
1004338,1004338,1
1004402,1004402,1
1004428,1004428,1
1004432,1004432,1
1004451,1004451,1
1004462,1004462,1
1004552,1004552,1
1004638,1004638,1
1004642,1004642,1
1004732,1004732,1
1004818,1004818,1
1004848,1004848,1
1004852,1004852,1
1004901,1004901,1
1004968,1004968,1
1005009,1005009,1
1005058,1005058,1
1005062,1005062,1
1005105,1005105,1
1005142,1005142,1
1005268,1005268,1
1005272,1005272,1
1005298,1005298,1
1005392,1005392,1
1005476,1005476,1
1005478,1005478,1
1005482,1005482,1
1005484,1005484,1
1005519,1005519,1
1005542,1005542,1
1005579,1005579,1
1005628,1005628,1
1005651,1005651,1
1005688,1005688,1
1005692,1005692,1
1005699,1005699,1
1005722,1005722,1
1005801,1005801,1
1005814,1005814,1
1005898,1005898,1
1005902,1005902,1
1005958,1005958,1
1005988,1005988,1
1006052,1006052,1
1006082,1006082,1
1006108,1006108,1
1006112,1006112,1
1006288,1006288,1
1006311,1006311,1
1006318,1006318,1
1006322,1006322,1
1006359,1006359,1
1006382,1006382,1
1006431,1006431,1
1006528,1006528,1
1006532,1006532,1
1006618,1006618,1
1006641,1006641,1
1006712,1006712,1
1006738,1006738,1
1006742,1006742,1
1006821,1006821,1
1006868,1006868,1
1006888,1006888,1
1006948,1006948,1
1006952,1006952,1
1007042,1007042,1
1007128,1007128,1
1007158,1007158,1
1007162,1007162,1
1007278,1007278,1
1007368,1007368,1
1007372,1007372,1
1007578,1007578,1
1007582,1007582,1
1007608,1007608,1
1007679,1007679,1
1007702,1007702,1
1007788,1007788,1
1007792,1007792,1
1007912,1007912,1
1007938,1007938,1
1007998,1007998,1
1008002,1008002,1
1008009,1008009,1
1008032,1008032,1
1008208,1008208,1
1008212,1008212,1
1008268,1008268,1
1008309,1008309,1
1008362,1008362,1
1008418,1008418,1
1008422,1008422,1
1008466,1008466,1
1008586,1008586,1
1008598,1008598,1
1008621,1008621,1
1008628,1008628,1
1008632,1008632,1
1008692,1008692,1
1008836,1008836,1
1008838,1008838,1
1008842,1008842,1
1008928,1008928,1
1008999,1008999,1
1009022,1009022,1
1009048,1009048,1
1009052,1009052,1
1009089,1009089,1
1009149,1009149,1
1009161,1009161,1
1009258,1009258,1
1009262,1009262,1
1009352,1009352,1
1009371,1009371,1
1009408,1009408,1
1009468,1009468,1
1009472,1009472,1
1009532,1009532,1
1009588,1009588,1
1009640,1009640,1
1009642,1009642,1
1009678,1009678,1
1009682,1009682,1
1009760,1009760,1
1009844,1009844,1
1009881,1009881,1
1009888,1009888,1
1009892,1009892,1
1009918,1009918,1
1009941,1009941,1
1009978,1009978,1
1010012,1010012,1
1010098,1010098,1
1010102,1010102,1
1010188,1010188,1
1010248,1010248,1
1010308,1010308,1
1010312,1010312,1
1010319,1010319,1
1010342,1010342,1
1010349,1010349,1
1010511,1010511,1
1010518,1010518,1
1010522,1010522,1
1010578,1010578,1
1010649,1010649,1
1010672,1010672,1
1010728,1010728,1
1010732,1010732,1
1010908,1010908,1
1010931,1010931,1
1010938,1010938,1
1010942,1010942,1
1010968,1010968,1
1011002,1011002,1
1011039,1011039,1
1011051,1011051,1
1011118,1011118,1
1011148,1011148,1
1011152,1011152,1
1011182,1011182,1
1011238,1011238,1
1011249,1011249,1
1011332,1011332,1
1011358,1011358,1
1011362,1011362,1
1011364,1011364,1
1011424,1011424,1
1011429,1011429,1
1011478,1011478,1
1011568,1011568,1
1011572,1011572,1
1011639,1011639,1
1011651,1011651,1
1011662,1011662,1
1011778,1011778,1
1011782,1011782,1
1011891,1011891,1
1011898,1011898,1
1011921,1011921,1
1011988,1011988,1
1011992,1011992,1
1012041,1012041,1
1012162,1012162,1
1012198,1012198,1
1012202,1012202,1
1012228,1012228,1
1012322,1012322,1
1012408,1012408,1
1012412,1012412,1
1012558,1012558,1
1012571,1012571,1
1012618,1012618,1
1012622,1012622,1
1012629,1012629,1
1012652,1012652,1
1012661,1012661,1
1012731,1012731,1
1012828,1012828,1
1012832,1012832,1
1012862,1012862,1
1012874,1012874,1
1012888,1012888,1
1012941,1012941,1
1012952,1012952,1
1012982,1012982,1
1013038,1013038,1
1013042,1013042,1
1013061,1013061,1
1013098,1013098,1
1013218,1013218,1
1013241,1013241,1
1013248,1013248,1
1013252,1013252,1
1013289,1013289,1
1013312,1013312,1
1013361,1013361,1
1013398,1013398,1
1013432,1013432,1
1013456,1013456,1
1013458,1013458,1
1013462,1013462,1
1013469,1013469,1
1013522,1013522,1
1013548,1013548,1
1013642,1013642,1
1013666,1013666,1
1013668,1013668,1
1013672,1013672,1
1013769,1013769,1
1013788,1013788,1
1013834,1013834,1
1013878,1013878,1
1013882,1013882,1
1013972,1013972,1
1014010,1014010,1
1014088,1014088,1
1014092,1014092,1
1014170,1014170,1
1014208,1014208,1
1014231,1014231,1
1014298,1014298,1
1014302,1014302,1
1014508,1014508,1
1014512,1014512,1
1014538,1014538,1
1014592,1014592,1
1014621,1014621,1
1014632,1014632,1
1014662,1014662,1
1014718,1014718,1
1014722,1014722,1
1014724,1014724,1
1014752,1014752,1
1014819,1014819,1
1014868,1014868,1
1014928,1014928,1
1014932,1014932,1
1014939,1014939,1
1014962,1014962,1
1015108,1015108,1
1015138,1015138,1
1015142,1015142,1
1015198,1015198,1
1015270,1015270,1
1015292,1015292,1
1015348,1015348,1
1015352,1015352,1
1015382,1015382,1
1015436,1015436,1
1015472,1015472,1
1015528,1015528,1
1015551,1015551,1
1015558,1015558,1
1015562,1015562,1
1015622,1015622,1
1015719,1015719,1
1015738,1015738,1
1015768,1015768,1
1015772,1015772,1
1015791,1015791,1
1015797,1015797,1
1015802,1015802,1
1015858,1015858,1
1015952,1015952,1
1015978,1015978,1
1015982,1015982,1
1016152,1016152,1
1016188,1016188,1
1016192,1016192,1
1016211,1016211,1
1016248,1016248,1
1016282,1016282,1
1016362,1016362,1
1016372,1016372,1
1016398,1016398,1
1016402,1016402,1
1016499,1016499,1
1016511,1016511,1
1016518,1016518,1
1016608,1016608,1
1016612,1016612,1
1016638,1016638,1
1016818,1016818,1
1016822,1016822,1
1016848,1016848,1
1016861,1016861,1
1016882,1016882,1
1016942,1016942,1
1016979,1016979,1
1017028,1017028,1
1017032,1017032,1
1017034,1017034,1
1017154,1017154,1
1017178,1017178,1
1017238,1017238,1
1017242,1017242,1
1017249,1017249,1
1017272,1017272,1
1017351,1017351,1
1017448,1017448,1
1017452,1017452,1
1017508,1017508,1
1017531,1017531,1
1017598,1017598,1
1017602,1017602,1
1017658,1017658,1
1017662,1017662,1
1017812,1017812,1
1017838,1017838,1
1017861,1017861,1
1017868,1017868,1
1017872,1017872,1
1017932,1017932,1
1018078,1018078,1
1018082,1018082,1
