block_start,block_stop,checked_count,numeric_candidate_count,exact_complete_count,run_count,longest_run_length,prefilter_tolerance,engine,scan_seconds,resumed
1000001,1010000,10000,233,233,233,1,1e-12,numpy,11.425803458999999,False
1010001,1020000,10000,247,247,247,1,1e-12,numpy,11.5571295,False
1020001,1030000,10000,231,231,231,1,1e-12,numpy,11.51150625,False
1030001,1040000,10000,244,244,243,2,1e-12,numpy,11.791463792000002,False
1040001,1050000,10000,244,244,243,2,1e-12,numpy,11.859997457999995,False
1050001,1060000,10000,247,247,247,1,1e-12,numpy,11.90432808300001,False
1060001,1070000,10000,232,232,232,1,1e-12,numpy,11.886887375,False
1070001,1080000,10000,233,233,233,1,1e-12,numpy,11.969703666000001,False
1080001,1090000,10000,242,242,242,1,1e-12,numpy,12.39756370900001,False
1090001,1100000,10000,227,227,227,1,1e-12,numpy,12.159969207999993,False
