run_start,run_stop,n,offset,is_complete,uncovered_measure,max_uncovered_gap,component_count,gap_fill_ratio
92229,92230,92228,-1,False,0.008716535799213998,0.0003956228647110649,88,0.19769482849633999
92229,92230,92229,0,True,0,0.0,0,0.0
92229,92230,92230,1,True,0,0.0,0,0.0
92229,92230,92231,2,False,0.039695649094708574,0.0007888491516111484,434,0.39417912100076247
119342,119343,119341,-1,False,0.07868229735886834,0.0009637271874276543,764,0.5984859502280346
119342,119343,119342,0,True,0,0.0,0,0.0
119342,119343,119343,1,True,0,0.0,0,0.0
119342,119343,119344,2,False,0.06613402415464442,0.0005446857890218926,652,0.33824770929205766
123477,123478,123476,-1,False,0.015581562211241073,0.00042449817304662796,210,0.3338419191459729
123477,123478,123477,0,True,0,0.0,0,0.0
123477,123478,123478,1,True,0,0.0,0,0.0
123477,123478,123479,2,False,0.09248540904926292,0.0006216739663739146,1338,0.48889663991306836
257672,257673,257671,-1,False,0.08130104929407492,0.0003164442785521526,1930,0.32947205159432946
257672,257673,257672,0,True,0,0.0,0,0.0
257672,257673,257673,1,True,0,0.0,0,0.0
257672,257673,257674,2,False,0.019527953904017847,0.0003451506423379769,363,0.3593560185255354
392492,392493,392491,-1,False,0.035708489126909104,0.000269341541726309,943,0.4089931421959846
392492,392493,392492,0,True,0,0.0,0,0.0
392492,392493,392493,1,True,0,0.0,0,0.0
392492,392493,392494,2,False,0.017865289098768056,0.00020847147209124284,453,0.31655995326446323
431967,431968,431966,-1,False,0.015842909321377552,0.0001953191818349631,688,0.3101268410843164
431967,431968,431967,0,True,0,0.0,0,0.0
431967,431968,431968,1,True,0,0.0,0,0.0
431967,431968,431969,2,False,0.0580082647438796,0.00015310822336922492,2885,0.24310278717458103
537027,537028,537026,-1,False,0.05196406913834467,0.00019422182901868146,2436,0.3698285785440871
537027,537028,537027,0,True,0,0.0,0,0.0
537027,537028,537028,1,True,0,0.0,0,0.0
537027,537028,537029,2,False,0.047880974297547195,0.0001421538439684289,2627,0.27068151217969455
700047,700048,700046,-1,False,0.059141202369299706,0.00013524060655401016,3572,0.23766535733444824
700047,700048,700047,0,True,0,0.0,0,0.0
700047,700048,700048,1,True,0,0.0,0,0.0
700047,700048,700049,2,False,0.03950421085041887,0.00013791366751897405,3162,0.2423618229501498
754922,754923,754921,-1,False,0.0650460697789895,0.00015965758696379062,4363,0.33472088625481283
754922,754923,754922,0,True,0,0.0,0,0.0
754922,754923,754923,1,True,0,0.0,0,0.0
754922,754923,754924,2,False,0.05482070247039916,0.00012833371226772528,2972,0.2690495523476623
824462,824463,824461,-1,False,0.05062528781588305,0.00013518350445185234,2469,0.35023468699967486
824462,824463,824462,0,True,0,0.0,0,0.0
824462,824463,824463,1,True,0,0.0,0,0.0
824462,824463,824464,2,False,0.020152375820939317,0.00016030968574443083,1169,0.4153303131317029
