start,stop,length
700047,700048,2
700100,700100,1
700138,700138,1
700142,700142,1
700348,700348,1
700352,700352,1
700378,700378,1
700401,700401,1
700472,700472,1
700539,700539,1
700558,700558,1
700562,700562,1
700592,700592,1
700659,700659,1
700671,700671,1
700708,700708,1
700768,700768,1
700772,700772,1
700779,700779,1
700802,700802,1
700918,700918,1
700978,700978,1
700982,700982,1
701038,701038,1
701042,701042,1
701061,701061,1
701132,701132,1
701162,701162,1
701188,701188,1
701192,701192,1
701199,701199,1
701289,701289,1
701368,701368,1
701391,701391,1
701398,701398,1
701402,701402,1
701451,701451,1
701462,701462,1
701606,701606,1
701608,701608,1
701612,701612,1
701642,701642,1
701698,701698,1
701769,701769,1
701792,701792,1
701818,701818,1
701822,701822,1
701841,701841,1
701908,701908,1
702028,702028,1
702032,702032,1
702122,702122,1
702141,702141,1
702178,702178,1
702238,702238,1
702242,702242,1
702280,702280,1
702302,702302,1
702351,702351,1
702358,702358,1
702446,702446,1
702448,702448,1
702452,702452,1
702530,702530,1
702549,702549,1
702658,702658,1
702662,702662,1
702688,702688,1
702782,702782,1
702868,702868,1
702872,702872,1
703018,703018,1
703078,703078,1
703082,703082,1
703089,703089,1
703112,703112,1
703124,703124,1
703288,703288,1
703292,703292,1
703318,703318,1
703336,703336,1
703348,703348,1
703371,703371,1
703401,703401,1
703442,703442,1
703498,703498,1
703502,703502,1
703678,703678,1
703701,703701,1
703708,703708,1
703712,703712,1
703772,703772,1
703881,703881,1
703911,703911,1
703918,703918,1
703922,703922,1
704008,704008,1
704102,704102,1
704109,704109,1
704128,704128,1
704132,704132,1
704134,704134,1
704229,704229,1
704338,704338,1
704342,704342,1
704432,704432,1
704458,704458,1
704518,704518,1
704546,704546,1
704548,704548,1
704552,704552,1
704619,704619,1
704668,704668,1
704739,704739,1
704758,704758,1
704762,704762,1
704842,704842,1
704968,704968,1
704972,704972,1
704998,704998,1
705092,705092,1
705142,705142,1
705178,705178,1
705182,705182,1
705184,705184,1
705279,705279,1
705328,705328,1
705351,705351,1
705388,705388,1
705392,705392,1
705399,705399,1
705422,705422,1
705598,705598,1
705602,705602,1
705658,705658,1
705692,705692,1
705722,705722,1
705752,705752,1
705759,705759,1
705808,705808,1
705812,705812,1
705921,705921,1
705988,705988,1
706011,706011,1
706018,706018,1
706022,706022,1
706024,706024,1
706059,706059,1
706082,706082,1
706131,706131,1
706202,706202,1
706228,706228,1
706232,706232,1
706318,706318,1
706389,706389,1
706412,706412,1
706438,706438,1
706442,706442,1
706449,706449,1
706568,706568,1
706648,706648,1
706652,706652,1
706742,706742,1
706780,706780,1
706858,706858,1
706862,706862,1
706892,706892,1
706978,706978,1
707061,707061,1
707068,707068,1
707072,707072,1
707128,707128,1
707278,707278,1
707282,707282,1
707308,707308,1
707362,707362,1
707402,707402,1
707488,707488,1
707492,707492,1
707638,707638,1
707698,707698,1
707702,707702,1
707709,707709,1
707732,707732,1
707799,707799,1
707908,707908,1
707912,707912,1
707968,707968,1
708009,708009,1
708039,708039,1
708062,708062,1
708081,708081,1
708118,708118,1
708122,708122,1
708298,708298,1
708321,708321,1
708328,708328,1
708332,708332,1
708392,708392,1
708441,708441,1
708452,708452,1
708538,708538,1
708542,708542,1
708628,708628,1
708722,708722,1
708748,708748,1
708752,708752,1
708808,708808,1
708861,708861,1
708958,708958,1
708962,708962,1
708981,708981,1
709048,709048,1
709052,709052,1
709076,709076,1
709168,709168,1
709172,709172,1
709288,709288,1
709298,709298,1
709378,709378,1
709382,709382,1
709491,709491,1
709551,709551,1
709588,709588,1
709592,709592,1
709618,709618,1
709641,709641,1
709645,709645,1
709712,709712,1
709798,709798,1
709802,709802,1
709839,709839,1
709948,709948,1
709971,709971,1
710008,710008,1
710012,710012,1
710019,710019,1
710031,710031,1
710042,710042,1
710218,710218,1
710222,710222,1
710278,710278,1
710282,710282,1
710319,710319,1
710349,710349,1
710372,710372,1
710384,710384,1
710428,710428,1
710432,710432,1
710602,710602,1
710608,710608,1
710631,710631,1
710638,710638,1
710642,710642,1
710702,710702,1
710728,710728,1
710739,710739,1
710811,710811,1
710848,710848,1
710852,710852,1
710938,710938,1
711032,711032,1
711058,711058,1
711062,711062,1
711088,711088,1
711268,711268,1
711272,711272,1
711274,711274,1
711362,711362,1
711369,711369,1
711381,711381,1
711478,711478,1
711482,711482,1
711562,711562,1
711579,711579,1
711591,711591,1
711598,711598,1
711688,711688,1
711692,711692,1
711812,711812,1
711898,711898,1
711902,711902,1
711928,711928,1
711962,711962,1
712022,712022,1
712108,712108,1
712112,712112,1
712114,712114,1
712258,712258,1
712318,712318,1
712322,712322,1
712329,712329,1
712352,712352,1
712528,712528,1
712532,712532,1
712574,712574,1
712588,712588,1
712592,712592,1
712611,712611,1
712618,712618,1
712682,712682,1
712738,712738,1
712742,712742,1
712832,712832,1
712918,712918,1
712941,712941,1
712948,712948,1
712952,712952,1
713012,713012,1
713061,713061,1
713128,713128,1
713132,713132,1
713158,713158,1
713162,713162,1
713169,713169,1
713248,713248,1
713342,713342,1
713368,713368,1
713372,713372,1
713469,713469,1
713488,713488,1
713578,713578,1
713582,713582,1
713638,713638,1
713672,713672,1
713788,713788,1
713792,713792,1
713799,713799,1
713908,713908,1
713931,713931,1
713998,713998,1
714002,714002,1
714148,714148,1
714208,714208,1
714212,714212,1
714238,714238,1
714272,714272,1
714321,714321,1
714332,714332,1
714418,714418,1
714422,714422,1
714424,714424,1
714568,714568,1
714591,714591,1
714628,714628,1
714632,714632,1
714639,714639,1
714662,714662,1
714711,714711,1
714718,714718,1
714838,714838,1
714842,714842,1
714898,714898,1
714939,714939,1
714958,714958,1
714992,714992,1
715029,715029,1
715048,715048,1
715052,715052,1
715228,715228,1
715251,715251,1
715258,715258,1
715262,715262,1
715322,715322,1
715419,715419,1
715468,715468,1
715472,715472,1
715558,715558,1
715652,715652,1
715676,715676,1
715678,715678,1
715682,715682,1
715809,715809,1
715888,715888,1
715892,715892,1
715959,715959,1
715982,715982,1
716098,716098,1
716102,716102,1
716199,716199,1
716218,716218,1
716308,716308,1
716312,716312,1
716518,716518,1
716522,716522,1
716548,716548,1
716631,716631,1
716642,716642,1
716728,716728,1
716732,716732,1
716854,716854,1
716878,716878,1
716902,716902,1
716938,716938,1
716942,716942,1
716949,716949,1
716972,716972,1
716998,716998,1
717051,717051,1
717148,717148,1
717152,717152,1
717208,717208,1
717302,717302,1
717358,717358,1
717362,717362,1
717369,717369,1
717422,717422,1
717538,717538,1
717561,717561,1
717568,717568,1
717572,717572,1
717632,717632,1
717681,717681,1
717778,717778,1
717782,717782,1
717868,717868,1
717891,717891,1
717962,717962,1
717988,717988,1
717992,717992,1
718198,718198,1
718202,718202,1
718221,718221,1
718228,718228,1
718292,718292,1
718408,718408,1
718412,718412,1
718509,718509,1
718528,718528,1
718580,718580,1
718618,718618,1
718622,718622,1
718802,718802,1
718828,718828,1
718832,718832,1
718858,718858,1
718929,718929,1
718952,718952,1
719019,719019,1
719038,719038,1
719042,719042,1
719044,719044,1
719188,719188,1
719248,719248,1
719252,719252,1
719259,719259,1
719278,719278,1
719282,719282,1
719402,719402,1
719458,719458,1
719462,719462,1
719518,719518,1
719541,719541,1
719612,719612,1
719668,719668,1
719672,719672,1
719781,719781,1
719848,719848,1
719871,719871,1
719878,719878,1
719882,719882,1
719884,719884,1
719937,719937,1
719942,719942,1
719972,719972,1
720088,720088,1
720092,720092,1
720178,720178,1
720201,720201,1
720272,720272,1
720296,720296,1
720298,720298,1
720302,720302,1
720399,720399,1
720508,720508,1
720512,720512,1
720542,720542,1
720602,720602,1
720718,720718,1
720722,720722,1
720838,720838,1
720898,720898,1
720928,720928,1
720932,720932,1
720992,720992,1
