k,new_prime,primorial,residue,residue_mod_previous,reflection_residue,previous_uncovered_interval_count,previous_prefix_uncovered_measure,previous_uncovered_intervals,new_prime_arc_intervals,uses_endpoint_touching
5,11,2310,118,118,2192,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,448,28,1862,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,542,122,1768,1,0.05,1/4-3/10,5/22-7/22,False
5,11,2310,778,148,1532,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,849,9,1461,1,0.047619047619047616,1/6-3/14,3/22-5/22,False
5,11,2310,872,32,1438,1,0.05,1/4-3/10,5/22-7/22,False
5,11,2310,1108,58,1202,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,1202,152,1108,1,0.05,1/4-3/10,5/22-7/22,False
5,11,2310,1438,178,872,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,1461,201,849,1,0.047619047619047616,11/14-5/6,17/22-19/22,False
5,11,2310,1532,62,778,1,0.05,1/4-3/10,5/22-7/22,False
5,11,2310,1768,88,542,1,0.05,7/10-3/4,15/22-17/22,False
5,11,2310,1862,182,448,1,0.05,1/4-3/10,5/22-7/22,False
5,11,2310,2192,92,118,1,0.05,1/4-3/10,5/22-7/22,False
