n,k_cert,p_cert,primorial_cert,residue_cert,checked_max_k,checked_max_prime,certificate_status,mod210,trivial_c4_certificate
118,5,11,2310,118,8,19,prefix_certificate,118,False
178,,,,,8,19,no_prefix_certificate_within_max_k,178,False
201,,,,,8,19,no_prefix_certificate_within_max_k,201,False
208,4,7,210,208,8,19,prefix_certificate,208,True
212,4,7,210,2,8,19,prefix_certificate,2,True
290,8,19,9699690,290,8,19,prefix_certificate,80,False
387,,,,,8,19,no_prefix_certificate_within_max_k,177,False
418,4,7,210,208,8,19,prefix_certificate,208,True
422,4,7,210,2,8,19,prefix_certificate,2,True
448,5,11,2310,448,8,19,prefix_certificate,28,False
502,,,,,8,19,no_prefix_certificate_within_max_k,82,False
542,5,11,2310,542,8,19,prefix_certificate,122,False
602,,,,,8,19,no_prefix_certificate_within_max_k,182,False
628,4,7,210,208,8,19,prefix_certificate,208,True
632,4,7,210,2,8,19,prefix_certificate,2,True
729,,,,,8,19,no_prefix_certificate_within_max_k,99,False
778,5,11,2310,778,8,19,prefix_certificate,148,False
836,,,,,8,19,no_prefix_certificate_within_max_k,206,False
838,4,7,210,208,8,19,prefix_certificate,208,True
842,4,7,210,2,8,19,prefix_certificate,2,True
844,,,,,8,19,no_prefix_certificate_within_max_k,4,False
849,5,11,2310,849,8,19,prefix_certificate,9,False
868,,,,,8,19,no_prefix_certificate_within_max_k,28,False
872,5,11,2310,872,8,19,prefix_certificate,32,False
939,6,13,30030,939,8,19,prefix_certificate,99,False
1048,4,7,210,208,8,19,prefix_certificate,208,True
1052,4,7,210,2,8,19,prefix_certificate,2,True
1108,5,11,2310,1108,8,19,prefix_certificate,58,False
1202,5,11,2310,1202,8,19,prefix_certificate,152,False
1245,7,17,510510,1245,8,19,prefix_certificate,195,False
1258,4,7,210,208,8,19,prefix_certificate,208,True
1262,4,7,210,2,8,19,prefix_certificate,2,True
1329,7,17,510510,1329,8,19,prefix_certificate,69,False
1438,5,11,2310,1438,8,19,prefix_certificate,178,False
1461,5,11,2310,1461,8,19,prefix_certificate,201,False
1468,4,7,210,208,8,19,prefix_certificate,208,True
1472,4,7,210,2,8,19,prefix_certificate,2,True
1532,5,11,2310,1532,8,19,prefix_certificate,62,False
