check_name,total,passed,failed,status
c4_positive_closed_arc_coverage,2,2,0,pass
c4_exclusion_residue_set_complete,208,208,0,pass
c4_exclusion_open_gap_witness,208,208,0,pass
c4_exclusion_rational_witness_point,208,208,0,pass
c4_exclusion_exact_fields,208,208,0,pass
c4_summary_partitions_witness_rows,36,36,0,pass
b5_ck_full_c5_rows_complete,36,36,0,pass
b5_birth_witness_residue_set_complete,14,14,0,pass
b5_birth_previous_uncovered_current_covered,14,14,0,pass
b5_birth_old_open_gap_strictly_inside_new_arc,14,14,0,pass
b5_birth_exact_witness_fields,14,14,0,pass
b5_birth_classification_matches_witnesses,14,14,0,pass
b5_reflection_pair_fields,7,7,0,pass
b5_pair_summary_matches_classification,7,7,0,pass
