k,new_prime,primorial,residue,residue_mod_previous,status,reflection_residue,previous_prefix_uncovered_measure
4,7,210,2,2,birth,208,0.05
4,7,210,208,28,birth,2,0.05
5,11,2310,2,2,inherited,2308,
5,11,2310,118,118,birth,2192,0.05
5,11,2310,208,208,inherited,2102,
5,11,2310,212,2,inherited,2098,
5,11,2310,418,208,inherited,1892,
5,11,2310,422,2,inherited,1888,
5,11,2310,448,28,birth,1862,0.05
5,11,2310,542,122,birth,1768,0.05
5,11,2310,628,208,inherited,1682,
5,11,2310,632,2,inherited,1678,
5,11,2310,778,148,birth,1532,0.05
5,11,2310,838,208,inherited,1472,
5,11,2310,842,2,inherited,1468,
5,11,2310,849,9,birth,1461,0.047619047619047616
5,11,2310,872,32,birth,1438,0.05
5,11,2310,1048,208,inherited,1262,
5,11,2310,1052,2,inherited,1258,
5,11,2310,1108,58,birth,1202,0.05
5,11,2310,1202,152,birth,1108,0.05
5,11,2310,1258,208,inherited,1052,
5,11,2310,1262,2,inherited,1048,
5,11,2310,1438,178,birth,872,0.05
5,11,2310,1461,201,birth,849,0.047619047619047616
5,11,2310,1468,208,inherited,842,
5,11,2310,1472,2,inherited,838,
5,11,2310,1532,62,birth,778,0.05
5,11,2310,1678,208,inherited,632,
5,11,2310,1682,2,inherited,628,
5,11,2310,1768,88,birth,542,0.05
5,11,2310,1862,182,birth,448,0.05
5,11,2310,1888,208,inherited,422,
5,11,2310,1892,2,inherited,418,
5,11,2310,2098,208,inherited,212,
5,11,2310,2102,2,inherited,208,
5,11,2310,2192,92,birth,118,0.05
5,11,2310,2308,208,inherited,2,
