checked_max_k,checked_max_prime,residue_modulus,source_max_k,target_mod210,nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,mod210_signed_delta,residue_count,share_within_target_mod210,nearest_shallow_distance_median,nearest_shallow_distance_p90,nearest_shallow_distance_max
8,19,9699690,5,111,4,7,208,-97,7296,0.18269230769230768,97.0,97,97
8,19,9699690,5,111,5,11,32,79,3648,0.09134615384615384,79.0,79,79
8,19,9699690,5,111,5,11,62,49,3456,0.08653846153846154,49.0,49,49
8,19,9699690,5,111,5,11,88,23,3648,0.09134615384615384,23.0,23,23
8,19,9699690,5,111,5,11,92,19,3648,0.09134615384615384,19.0,19,19
8,19,9699690,5,111,5,11,118,-7,3648,0.09134615384615384,7.0,7,7
8,19,9699690,5,111,5,11,122,-11,3648,0.09134615384615384,11.0,11,11
8,19,9699690,5,111,5,11,148,-37,3648,0.09134615384615384,37.0,37,37
8,19,9699690,5,111,5,11,152,-41,3648,0.09134615384615384,41.0,41,41
8,19,9699690,5,111,5,11,178,-67,3648,0.09134615384615384,67.0,67,67
8,19,9699690,5,4,4,7,2,2,44976,1.0,2.0,2,2
8,19,9699690,5,99,4,7,2,97,7296,0.18269230769230768,97.0,97,97
8,19,9699690,5,99,5,11,32,67,3648,0.09134615384615384,67.0,67,67
8,19,9699690,5,99,5,11,58,41,3648,0.09134615384615384,41.0,41,41
8,19,9699690,5,99,5,11,62,37,3648,0.09134615384615384,37.0,37,37
8,19,9699690,5,99,5,11,88,11,3648,0.09134615384615384,11.0,11,11
8,19,9699690,5,99,5,11,92,7,3648,0.09134615384615384,7.0,7,7
8,19,9699690,5,99,5,11,118,-19,3648,0.09134615384615384,19.0,19,19
8,19,9699690,5,99,5,11,122,-23,3648,0.09134615384615384,23.0,23,23
8,19,9699690,5,99,5,11,148,-49,3456,0.08653846153846154,49.0,49,49
8,19,9699690,5,99,5,11,178,-79,3648,0.09134615384615384,79.0,79,79
8,19,9699690,5,206,4,7,208,-2,44976,1.0,2.0,2,2
8,19,9699690,5,118,4,7,208,-90,8304,0.2,90.0,90,90
8,19,9699690,5,118,5,11,32,86,4152,0.1,86.0,86,86
8,19,9699690,5,118,5,11,62,56,4152,0.1,56.0,56,56
8,19,9699690,5,118,5,11,88,30,4152,0.1,30.0,30,30
8,19,9699690,5,118,5,11,92,26,4152,0.1,26.0,26,26
8,19,9699690,5,118,5,11,122,-4,4152,0.1,4.0,4,4
8,19,9699690,5,118,5,11,148,-30,4152,0.1,30.0,30,30
8,19,9699690,5,118,5,11,152,-34,4152,0.1,34.0,34,34
8,19,9699690,5,118,5,11,178,-60,4152,0.1,60.0,60,60
8,19,9699690,5,88,4,7,2,86,12456,0.3,86.0,86,86
8,19,9699690,5,88,5,11,32,56,4152,0.1,56.0,56,56
8,19,9699690,5,88,5,11,58,30,4152,0.1,30.0,30,30
8,19,9699690,5,88,5,11,62,26,4152,0.1,26.0,26,26
8,19,9699690,5,88,5,11,92,-4,4152,0.1,4.0,4,4
8,19,9699690,5,88,5,11,118,-30,4152,0.1,30.0,30,30
8,19,9699690,5,88,5,11,122,-34,4152,0.1,34.0,34,34
8,19,9699690,5,88,5,11,148,-60,4152,0.1,60.0,60,60
8,19,9699690,5,201,4,7,208,-7,41520,1.0,7.0,7,7
8,19,9699690,5,62,4,7,2,60,16608,0.4,60.0,60,60
8,19,9699690,5,62,5,11,28,34,4152,0.1,34.0,34,34
8,19,9699690,5,62,5,11,32,30,4152,0.1,30.0,30,30
8,19,9699690,5,62,5,11,58,4,4152,0.1,4.0,4,4
8,19,9699690,5,62,5,11,88,-26,4152,0.1,26.0,26,26
8,19,9699690,5,62,5,11,92,-30,4152,0.1,30.0,30,30
8,19,9699690,5,62,5,11,118,-56,4152,0.1,56.0,56,56
