control_role,seed_mod210,pair_count,complete_distance_median,control_distance_median,median_delta_complete_minus_control,complete_smaller_count,complete_larger_count,tie_count,complete_smaller_rate,complete_larger_rate,sample_seed_n
local_any_control,111,209,37,38,1,70,136,3,0.3349282296650718,0.6507177033492823,7881 17751 22581 26151 31611 32241 33921 39801 40851 51561
local_mod210_control,111,206,37.0,37.0,-12.0,119,85,2,0.5776699029126213,0.41262135922330095,7881 17751 22581 26151 31611 32241 33921 39801 40851 51561
local_any_control,4,204,2.0,1.0,1.0,0,204,0,0.0,1.0,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
local_mod210_control,4,204,2.0,2.0,0.0,0,0,204,0.0,0.0,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
local_any_control,99,197,37,36,-1,117,80,0,0.5939086294416244,0.40609137055837563,729 5559 16899 17739 24249 30549 30759 35379 51549 59109
local_mod210_control,99,193,37,23,6,84,106,3,0.43523316062176165,0.5492227979274611,729 5559 16899 17739 24249 30549 35379 51549 59109 59949
local_any_control,206,185,2,3,-1,185,0,0,1.0,0.0,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
local_mod210_control,206,185,2,2,0,0,0,185,0.0,0.0,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
local_any_control,118,162,26.0,25.0,1.0,70,92,0,0.43209876543209874,0.5679012345679012,9148 14608 17338 18808 26788 33298 36448 44638 46108 58078
local_mod210_control,118,160,26.0,30.0,0.0,77,78,5,0.48125,0.4875,9148 14608 17338 18808 26788 33298 36448 44638 46108 58078
local_any_control,122,155,30,31,1,76,79,0,0.49032258064516127,0.5096774193548387,5372 15032 17762 19232 19442 23432 28682 35402 37082 43382
local_mod210_control,122,154,30.0,30.0,3.5,72,80,2,0.4675324675324675,0.5194805194805194,5372 15032 17762 19442 23432 28682 35402 37082 43382 47162
local_any_control,88,153,30,29,-1,86,67,0,0.5620915032679739,0.43790849673202614,1558 4498 5758 12268 19198 25918 40198 44188 44398 45028
local_any_control,201,152,7.0,8.0,-1.0,152,0,0,1.0,0.0,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
local_mod210_control,201,152,7.0,7.0,0.0,4,3,145,0.02631578947368421,0.019736842105263157,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
local_any_control,9,151,7,6,1,0,151,0,0.0,1.0,10929 15759 26679 31929 36129 39069 41589 42639 44319 53349
local_any_control,62,151,34,33,1,60,91,0,0.3973509933774834,0.6026490066225165,2582 26732 27152 48572 59912 60542 71882 76082 81332 88052
local_mod210_control,88,151,30,30,0,72,75,4,0.4768211920529801,0.4966887417218543,1558 4498 5758 12268 19198 25918 40198 44188 44398 45028
local_mod210_control,62,150,34.0,34.0,-7.0,81,68,1,0.54,0.4533333333333333,2582 26732 27152 48572 59912 60542 71882 76082 81332 88052
local_any_control,152,149,34,33,-1,82,67,0,0.5503355704697986,0.44966442953020136,5402 11492 11912 25352 28292 41942 44672 45932 49082 57482
local_mod210_control,9,149,7,7,0,5,1,143,0.03355704697986577,0.006711409395973154,10929 15759 26679 31929 36129 39069 41589 42639 44319 53349
local_mod210_control,152,149,34,30,0,71,67,11,0.47651006711409394,0.44966442953020136,5402 11492 11912 25352 28292 41942 44672 45932 49082 57482
local_any_control,182,148,26.0,27.0,-1.0,120,28,0,0.8108108108108109,0.1891891891891892,602 10892 13622 18872 34622 36092 41552 58772 66752 67172
local_mod210_control,182,148,26.0,26.0,0.0,32,28,88,0.21621621621621623,0.1891891891891892,602 10892 13622 18872 34622 36092 41552 58772 66752 67172
local_any_control,92,145,26,27,-1,84,61,0,0.5793103448275863,0.4206896551724138,5342 9752 20252 45662 48182 48812 65612 77792 89552 93752
local_any_control,148,145,34,35,-1,85,60,0,0.5862068965517241,0.41379310344827586,3298 3928 19888 31858 36058 39838 45718 46558 56008 60628
local_mod210_control,92,145,26,30,-11,84,61,0,0.5793103448275863,0.4206896551724138,5342 9752 20252 45662 48182 48812 65612 77792 89552 93752
local_any_control,32,144,30.0,29.0,1.0,19,125,0,0.13194444444444445,0.8680555555555556,2342 2552 6332 24392 25862 33632 38462 42242 50222 51902
local_any_control,58,144,34.0,35.0,-0.5,72,71,1,0.5,0.4930555555555556,2788 3628 11608 18118 18748 22948 24628 28198 46048 53188
local_mod210_control,148,144,34.0,34.0,7.0,68,76,0,0.4722222222222222,0.5277777777777778,3298 3928 19888 31858 36058 39838 45718 46558 56008 60628
local_mod210_control,32,143,30,30,0,40,35,68,0.27972027972027974,0.24475524475524477,2342 2552 6332 24392 25862 33632 38462 42242 50222 51902
local_mod210_control,58,143,34,34,19,59,76,8,0.4125874125874126,0.5314685314685315,2788 3628 11608 18118 18748 22948 24628 28198 46048 53188
local_any_control,178,142,30.0,31.0,-1.0,106,36,0,0.7464788732394366,0.2535211267605634,178 2698 21598 34618 37138 37558 53308 62968 71158 76618
local_mod210_control,178,142,30.0,30.0,0.0,44,29,69,0.30985915492957744,0.20422535211267606,178 2698 21598 34618 37138 37558 53308 62968 71158 76618
local_any_control,28,139,26,25,1,29,110,0,0.20863309352517986,0.7913669064748201,868 22078 25018 29008 32998 48538 53998 56938 60928 61978
local_mod210_control,28,138,26.0,26.0,0.0,31,36,71,0.2246376811594203,0.2608695652173913,868 22078 25018 29008 32998 48538 53998 56938 60928 61978
