seed_n,control_role,complete_n,control_n,metric,complete_value,control_value,delta_complete_minus_control
178,local_any_control,178,177,circular_residue_distance,30.0,31.0,-1.0
178,local_any_control,178,177,normalized_residue_distance,3.092882349848294e-06,3.1959784281765704e-06,-1.0309607832827638e-07
178,local_mod210_control,178,388,circular_residue_distance,30.0,30.0,0.0
178,local_mod210_control,178,388,normalized_residue_distance,3.092882349848294e-06,3.092882349848294e-06,0.0
201,local_any_control,201,200,circular_residue_distance,7.0,8.0,-1.0
201,local_any_control,201,200,normalized_residue_distance,7.216725482979353e-07,8.247686266262118e-07,-1.0309607832827649e-07
201,local_mod210_control,201,411,circular_residue_distance,7.0,7.0,0.0
201,local_mod210_control,201,411,normalized_residue_distance,7.216725482979353e-07,7.216725482979353e-07,0.0
387,local_any_control,387,386,circular_residue_distance,31.0,32.0,-1.0
387,local_any_control,387,386,normalized_residue_distance,3.1959784281765704e-06,3.2990745065048473e-06,-1.0309607832827681e-07
387,local_mod210_control,387,177,circular_residue_distance,31.0,31.0,0.0
387,local_mod210_control,387,177,normalized_residue_distance,3.1959784281765704e-06,3.1959784281765704e-06,0.0
502,local_any_control,502,501,circular_residue_distance,40.0,41.0,-1.0
502,local_any_control,502,501,normalized_residue_distance,4.123843133131059e-06,4.226939211459335e-06,-1.0309607832827638e-07
502,local_mod210_control,502,292,circular_residue_distance,40.0,2.0,38.0
502,local_mod210_control,502,292,normalized_residue_distance,4.123843133131059e-06,2.0619215665655295e-07,3.917650976474506e-06
602,local_any_control,602,601,circular_residue_distance,26.0,27.0,-1.0
602,local_any_control,602,601,normalized_residue_distance,2.680498036535188e-06,2.783594114863465e-06,-1.0309607832827681e-07
602,local_mod210_control,602,392,circular_residue_distance,26.0,26.0,0.0
602,local_mod210_control,602,392,normalized_residue_distance,2.680498036535188e-06,2.680498036535188e-06,0.0
729,local_any_control,729,728,circular_residue_distance,49.0,50.0,-1.0
729,local_any_control,729,728,normalized_residue_distance,5.051707838085547e-06,5.1548039164138234e-06,-1.0309607832827638e-07
729,local_mod210_control,729,519,circular_residue_distance,49.0,23.0,26.0
729,local_mod210_control,729,519,normalized_residue_distance,5.051707838085547e-06,2.371209801550359e-06,2.680498036535188e-06
836,local_any_control,836,835,circular_residue_distance,2.0,3.0,-1.0
836,local_any_control,836,835,normalized_residue_distance,2.0619215665655295e-07,3.092882349848294e-07,-1.0309607832827646e-07
836,local_mod210_control,836,626,circular_residue_distance,2.0,2.0,0.0
836,local_mod210_control,836,626,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
844,local_any_control,844,843,circular_residue_distance,2.0,1.0,1.0
844,local_any_control,844,843,normalized_residue_distance,2.0619215665655295e-07,1.0309607832827648e-07,1.0309607832827648e-07
844,local_mod210_control,844,634,circular_residue_distance,2.0,2.0,0.0
844,local_mod210_control,844,634,normalized_residue_distance,2.0619215665655295e-07,2.0619215665655295e-07,0.0
868,local_any_control,868,867,circular_residue_distance,4.0,5.0,-1.0
868,local_any_control,868,867,normalized_residue_distance,4.123843133131059e-07,5.154803916413823e-07,-1.0309607832827644e-07
868,local_mod210_control,868,658,circular_residue_distance,4.0,26.0,-22.0
868,local_mod210_control,868,658,normalized_residue_distance,4.123843133131059e-07,2.680498036535188e-06,-2.268113723222082e-06
1558,local_any_control,1558,1557,circular_residue_distance,26.0,25.0,1.0
1558,local_any_control,1558,1557,normalized_residue_distance,2.680498036535188e-06,2.5774019582069117e-06,1.0309607832827638e-07
1558,local_mod210_control,1558,1348,circular_residue_distance,26.0,19.0,7.0
1558,local_mod210_control,1558,1348,normalized_residue_distance,2.680498036535188e-06,1.958825488237253e-06,7.216725482979351e-07
1765,local_any_control,1765,1764,circular_residue_distance,3.0,4.0,-1.0
1765,local_any_control,1765,1764,normalized_residue_distance,3.092882349848294e-07,4.123843133131059e-07,-1.0309607832827649e-07
1765,local_mod210_control,1765,1555,circular_residue_distance,3.0,23.0,-20.0
1765,local_mod210_control,1765,1555,normalized_residue_distance,3.092882349848294e-07,2.371209801550359e-06,-2.0619215665655294e-06
1959,local_any_control,1959,1958,circular_residue_distance,67.0,66.0,1.0
1959,local_any_control,1959,1958,normalized_residue_distance,6.907437247994524e-06,6.804341169666247e-06,1.0309607832827638e-07
1959,local_mod210_control,1959,1749,circular_residue_distance,67.0,19.0,48.0
1959,local_mod210_control,1959,1749,normalized_residue_distance,6.907437247994524e-06,1.958825488237253e-06,4.948611759757271e-06
2181,local_any_control,2181,2180,circular_residue_distance,11.0,12.0,-1.0
2181,local_any_control,2181,2180,normalized_residue_distance,1.1340568616110413e-06,1.2371529399393177e-06,-1.0309607832827638e-07
2181,local_mod210_control,2181,1971,circular_residue_distance,11.0,79.0,-68.0
2181,local_mod210_control,2181,1971,normalized_residue_distance,1.1340568616110413e-06,8.144590187933842e-06,-7.010533326322801e-06
2342,local_any_control,2342,2341,circular_residue_distance,30.0,29.0,1.0
2342,local_any_control,2342,2341,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
2342,local_mod210_control,2342,2132,circular_residue_distance,30.0,8.0,22.0
2342,local_mod210_control,2342,2132,normalized_residue_distance,3.092882349848294e-06,8.247686266262118e-07,2.268113723222082e-06
2552,local_any_control,2552,2551,circular_residue_distance,30.0,29.0,1.0
2552,local_any_control,2552,2551,normalized_residue_distance,3.092882349848294e-06,2.9897862715200177e-06,1.0309607832827638e-07
2552,local_mod210_control,2552,2762,circular_residue_distance,30.0,4.0,26.0
2552,local_mod210_control,2552,2762,normalized_residue_distance,3.092882349848294e-06,4.123843133131059e-07,2.680498036535188e-06
