seed_n,cohort_role,n,control_delta,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
178,complete_uncertified,178,0,8,19,9699690,178,178,178,208,4,7,30,3.092882349848294e-06
178,local_mod210_control,388,210,8,19,9699690,388,178,388,418,4,7,30,3.092882349848294e-06
178,local_any_control,177,-1,8,19,9699690,177,177,177,208,4,7,31,3.1959784281765704e-06
201,complete_uncertified,201,0,8,19,9699690,201,201,201,208,4,7,7,7.216725482979353e-07
201,local_mod210_control,411,210,8,19,9699690,411,201,411,418,4,7,7,7.216725482979353e-07
201,local_any_control,200,-1,8,19,9699690,200,200,200,208,4,7,8,8.247686266262118e-07
387,complete_uncertified,387,0,8,19,9699690,387,177,387,418,4,7,31,3.1959784281765704e-06
387,local_mod210_control,177,-210,8,19,9699690,177,177,177,208,4,7,31,3.1959784281765704e-06
387,local_any_control,386,-1,8,19,9699690,386,176,386,418,4,7,32,3.2990745065048473e-06
502,complete_uncertified,502,0,8,19,9699690,502,82,502,542,5,11,40,4.123843133131059e-06
502,local_mod210_control,292,-210,8,19,9699690,292,82,292,290,8,19,2,2.0619215665655295e-07
502,local_any_control,501,-1,8,19,9699690,501,81,501,542,5,11,41,4.226939211459335e-06
602,complete_uncertified,602,0,8,19,9699690,602,182,602,628,4,7,26,2.680498036535188e-06
602,local_mod210_control,392,-210,8,19,9699690,392,182,392,418,4,7,26,2.680498036535188e-06
602,local_any_control,601,-1,8,19,9699690,601,181,601,628,4,7,27,2.783594114863465e-06
729,complete_uncertified,729,0,8,19,9699690,729,99,729,778,5,11,49,5.051707838085547e-06
729,local_mod210_control,519,-210,8,19,9699690,519,99,519,542,5,11,23,2.371209801550359e-06
729,local_any_control,728,-1,8,19,9699690,728,98,728,778,5,11,50,5.1548039164138234e-06
836,complete_uncertified,836,0,8,19,9699690,836,206,836,838,4,7,2,2.0619215665655295e-07
836,local_mod210_control,626,-210,8,19,9699690,626,206,626,628,4,7,2,2.0619215665655295e-07
836,local_any_control,835,-1,8,19,9699690,835,205,835,838,4,7,3,3.092882349848294e-07
844,complete_uncertified,844,0,8,19,9699690,844,4,844,842,4,7,2,2.0619215665655295e-07
844,local_mod210_control,634,-210,8,19,9699690,634,4,634,632,4,7,2,2.0619215665655295e-07
844,local_any_control,843,-1,8,19,9699690,843,3,843,842,4,7,1,1.0309607832827648e-07
868,complete_uncertified,868,0,8,19,9699690,868,28,868,872,5,11,4,4.123843133131059e-07
868,local_mod210_control,658,-210,8,19,9699690,658,28,658,632,4,7,26,2.680498036535188e-06
868,local_any_control,867,-1,8,19,9699690,867,27,867,872,5,11,5,5.154803916413823e-07
1558,complete_uncertified,1558,0,8,19,9699690,1558,88,1558,1532,5,11,26,2.680498036535188e-06
1558,local_mod210_control,1348,-210,8,19,9699690,1348,88,1348,1329,7,17,19,1.958825488237253e-06
1558,local_any_control,1557,-1,8,19,9699690,1557,87,1557,1532,5,11,25,2.5774019582069117e-06
1765,complete_uncertified,1765,0,8,19,9699690,1765,85,1765,1768,5,11,3,3.092882349848294e-07
1765,local_mod210_control,1555,-210,8,19,9699690,1555,85,1555,1532,5,11,23,2.371209801550359e-06
1765,local_any_control,1764,-1,8,19,9699690,1764,84,1764,1768,5,11,4,4.123843133131059e-07
1959,complete_uncertified,1959,0,8,19,9699690,1959,69,1959,1892,4,7,67,6.907437247994524e-06
1959,local_mod210_control,1749,-210,8,19,9699690,1749,69,1749,1768,5,11,19,1.958825488237253e-06
1959,local_any_control,1958,-1,8,19,9699690,1958,68,1958,1892,4,7,66,6.804341169666247e-06
2181,complete_uncertified,2181,0,8,19,9699690,2181,81,2181,2192,5,11,11,1.1340568616110413e-06
2181,local_mod210_control,1971,-210,8,19,9699690,1971,81,1971,1892,4,7,79,8.144590187933842e-06
2181,local_any_control,2180,-1,8,19,9699690,2180,80,2180,2192,5,11,12,1.2371529399393177e-06
2342,complete_uncertified,2342,0,8,19,9699690,2342,32,32,2312,4,7,30,3.092882349848294e-06
2342,local_mod210_control,2132,-210,8,19,9699690,2132,32,2132,2140,6,13,8,8.247686266262118e-07
