seed_mod210,selected_rank,priority_label,direction_label,cohort_role,nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,row_count,share_within_class_role,mod210_signed_delta_median,mod210_signed_delta_min,mod210_signed_delta_max,circular_residue_distance_median,circular_residue_distance_p90,circular_residue_distance_max,distance_minus_complete_median
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,4,7,208,16,0.07655502392344497,-97.0,-97,-97,97.0,97,97,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,32,11,0.05263157894736842,79,79,79,79,79,79,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,62,49,0.23444976076555024,49,49,49,49,49,49,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,88,23,0.11004784688995216,23,23,23,23,23,23,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,92,10,0.04784688995215311,19.0,19,19,19.0,19,19,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,118,12,0.05741626794258373,-7.0,-7,-7,7.0,7,7,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,122,10,0.04784688995215311,-11.0,-11,-11,11.0,11,11,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,148,7,0.03349282296650718,-37,-37,-37,37,37,37,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,152,7,0.03349282296650718,-41,-41,-41,41,41,41,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,5,11,178,8,0.03827751196172249,-67.0,-67,-67,67.0,67,67,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,6,13,81,2,0.009569377990430622,30.0,30,30,30.0,30,30,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,6,13,86,6,0.028708133971291867,25.0,25,25,25.0,25,25,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,6,13,99,16,0.07655502392344497,12.0,12,12,12.0,12,12,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,51,2,0.009569377990430622,60.0,60,60,60.0,60,60,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,81,1,0.004784688995215311,30,30,30,30,30,30,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,92,1,0.004784688995215311,19,19,19,19,19,19,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,99,12,0.05741626794258373,12.0,12,12,12.0,12,12,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,118,1,0.004784688995215311,-7,-7,-7,7,7,7,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,129,2,0.009569377990430622,-18.0,-18,-18,18.0,18,18,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,152,2,0.009569377990430622,-41.0,-41,-41,41.0,41,41,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,159,1,0.004784688995215311,-48,-48,-48,48,48,48,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,7,17,189,1,0.004784688995215311,-78,-78,-78,78,78,78,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,58,1,0.004784688995215311,53,53,53,53,53,53,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,88,1,0.004784688995215311,23,23,23,23,23,23,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,99,1,0.004784688995215311,12,12,12,12,12,12,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,118,2,0.009569377990430622,-7.0,-7,-7,7.0,7,7,0.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,122,1,0.004784688995215311,-11,-11,-11,11,11,11,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,148,1,0.004784688995215311,-37,-37,-37,37,37,37,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,152,1,0.004784688995215311,-41,-41,-41,41,41,41,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,complete_uncertified,8,19,155,1,0.004784688995215311,-44,-44,-44,44,44,44,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,4,7,208,18,0.08737864077669903,-97.0,-97,-97,97.0,97,97,78.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,32,6,0.02912621359223301,79.0,79,79,79.0,79,79,55.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,62,14,0.06796116504854369,49.0,49,49,49.0,49,49,26.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,88,14,0.06796116504854369,23.0,23,23,23.0,23,23,-26.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,92,13,0.06310679611650485,19,19,19,19,19,19,12
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,118,13,0.06310679611650485,-7,-7,-7,7,7,7,-46
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,122,15,0.07281553398058252,-11,-11,-11,11,11,11,-26
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,148,8,0.038834951456310676,-37.0,-37,-37,37.0,37,37,-42.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,152,6,0.02912621359223301,-41.0,-41,-41,41.0,41,41,-26.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,5,11,178,44,0.21359223300970873,-67.0,-67,-67,67.0,67,67,18.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,81,1,0.0048543689320388345,30,30,30,30,30,30,-37
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,86,1,0.0048543689320388345,25,25,25,25,25,25,2
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,99,16,0.07766990291262135,12.0,12,12,12.0,12,12,-13.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,128,1,0.0048543689320388345,-17,-17,-17,17,17,17,-6
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,6,13,129,1,0.0048543689320388345,-18,-18,-18,18,18,18,-49
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,51,1,0.0048543689320388345,60,60,60,60,60,60,11
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,62,1,0.0048543689320388345,49,49,49,49,49,49,37
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,69,1,0.0048543689320388345,42,42,42,42,42,42,19
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,81,1,0.0048543689320388345,30,30,30,30,30,30,-11
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,88,1,0.0048543689320388345,23,23,23,23,23,23,4
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,99,9,0.043689320388349516,12,12,12,12,12,12,0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,122,1,0.0048543689320388345,-11,-11,-11,11,11,11,-8
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,129,1,0.0048543689320388345,-18,-18,-18,18,18,18,-79
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,141,2,0.009708737864077669,-30.0,-30,-30,30.0,30,30,-15.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,148,1,0.0048543689320388345,-37,-37,-37,37,37,37,14
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,152,1,0.0048543689320388345,-41,-41,-41,41,41,41,18
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,159,1,0.0048543689320388345,-48,-48,-48,48,48,48,29
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,166,1,0.0048543689320388345,-55,-55,-55,55,55,55,44
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,7,17,189,1,0.0048543689320388345,-78,-78,-78,78,78,78,67
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,46,1,0.0048543689320388345,65,65,65,65,65,65,16
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,58,1,0.0048543689320388345,53,53,53,53,53,53,4
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,62,2,0.009708737864077669,49.0,49,49,49.0,49,49,15.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,99,1,0.0048543689320388345,12,12,12,12,12,12,-67
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,122,3,0.014563106796116505,-11,-11,-11,11,11,11,-38
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,148,3,0.014563106796116505,-37,-37,-37,37,37,37,-12
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_mod210_control,8,19,152,1,0.0048543689320388345,-41,-41,-41,41,41,41,18
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,4,7,208,16,0.07655502392344497,-98.0,-98,-98,98.0,98,98,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,32,12,0.05741626794258373,78.0,78,78,78.0,78,78,-1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,62,49,0.23444976076555024,48,48,48,48,48,48,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,88,23,0.11004784688995216,22,22,22,22,22,22,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,92,10,0.04784688995215311,18.0,18,18,18.0,18,18,-1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,118,12,0.05741626794258373,-8.0,-8,-8,8.0,8,8,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,122,8,0.03827751196172249,-12.0,-12,-12,12.0,12,12,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,148,7,0.03349282296650718,-38,-38,-38,38,38,38,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,152,7,0.03349282296650718,-42,-42,-42,42,42,42,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,5,11,178,8,0.03827751196172249,-68.0,-68,-68,68.0,68,68,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,6,13,81,2,0.009569377990430622,29.0,29,29,29.0,29,29,-1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,6,13,86,6,0.028708133971291867,24.0,24,24,24.0,24,24,-1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,6,13,99,17,0.08133971291866028,11,11,11,11,11,11,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,51,2,0.009569377990430622,59.0,59,59,59.0,59,59,-1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,81,1,0.004784688995215311,29,29,29,29,29,29,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,92,1,0.004784688995215311,18,18,18,18,18,18,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,99,13,0.06220095693779904,11,11,11,11,11,11,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,118,1,0.004784688995215311,-8,-8,-8,8,8,8,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,129,2,0.009569377990430622,-19.0,-19,-19,19.0,19,19,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,152,2,0.009569377990430622,-42.0,-42,-42,42.0,42,42,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,7,17,159,1,0.004784688995215311,-49,-49,-49,49,49,49,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,58,1,0.004784688995215311,52,52,52,52,52,52,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,88,1,0.004784688995215311,22,22,22,22,22,22,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,99,1,0.004784688995215311,11,11,11,11,11,11,-1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,118,2,0.009569377990430622,-8.0,-8,-8,8.0,8,8,1.0
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,122,1,0.004784688995215311,-12,-12,-12,12,12,12,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,148,1,0.004784688995215311,-38,-38,-38,38,38,38,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,152,1,0.004784688995215311,-42,-42,-42,42,42,42,1
111,1,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,local_any_control,8,19,155,1,0.004784688995215311,-45,-45,-45,45,45,45,1
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,complete_uncertified,4,7,2,204,1.0,2.0,2,2,2.0,2,2,0.0
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,local_mod210_control,4,7,2,204,1.0,2.0,2,2,2.0,2,2,0.0
4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,local_any_control,4,7,2,204,1.0,1.0,1,1,1.0,1,1,-1.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,4,7,2,18,0.09137055837563451,97.0,97,97,97.0,97,97,0.0
99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,complete_uncertified,5,11,32,7,0.03553299492385787,67,67,67,67,67,67,0
