selected_rank,seed_mod210,priority_label,direction_label,seed_n,cohort_role,n,control_delta,row_mod210,residue,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,complete_circular_residue_distance,distance_minus_complete,normalized_residue_distance
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,7881,complete_uncertified,7881,0,111,7881,7959,7,17,78,78,0,8.041494109605565e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,7881,local_mod210_control,7671,-210,111,7671,7708,5,11,37,78,-41,3.8145548981462296e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,7881,local_any_control,7880,-1,110,7880,7802,5,11,78,78,0,8.041494109605565e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,17751,complete_uncertified,17751,0,111,17751,17702,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,17751,local_mod210_control,17541,-210,111,17541,17608,5,11,67,49,18,6.907437247994524e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,17751,local_any_control,17750,-1,110,17750,17702,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,22581,complete_uncertified,22581,0,111,22581,22558,5,11,23,23,0,2.371209801550359e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,22581,local_mod210_control,22371,-210,111,22371,22359,7,17,12,23,-11,1.2371529399393177e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,22581,local_any_control,22580,-1,110,22580,22558,5,11,22,23,-1,2.2681137232220826e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,26151,complete_uncertified,26151,0,111,26151,26158,8,19,7,7,0,7.216725482979353e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,26151,local_mod210_control,25941,-210,111,25941,25952,5,11,11,7,4,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,26151,local_any_control,26150,-1,110,26150,26158,8,19,8,7,1,8.247686266262118e-07
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,31611,complete_uncertified,31611,0,111,31611,31562,5,11,49,49,0,5.051707838085547e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,31611,local_mod210_control,31401,-210,111,31401,31412,8,19,11,49,-38,1.1340568616110413e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,31611,local_any_control,31610,-1,110,31610,31562,5,11,48,49,-1,4.948611759757271e-06
1,111,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,32241,complete_uncertified,32241,0,111,32241,32222,5,11,19,19,0,1.958825488237253e-06
