nearest_covered_source_k,nearest_covered_source_prime,nearest_covered_mod210,cohort_role,seed_mod210,selected_rank,priority_label,direction_label,mod210_signed_delta,row_count,share_within_anchor_role,share_within_class_role,circular_residue_distance_median,circular_residue_distance_max,distance_minus_complete_median,sample_seed_n
4,7,2,complete_uncertified,4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,2,204,0.7157894736842105,1.0,2.0,2,0.0,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
4,7,2,complete_uncertified,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,60,37,0.12982456140350876,0.33035714285714285,60,60,0,26732 88052 106952 118502 119762 149792 163652 186752 210902 251432
4,7,2,complete_uncertified,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,86,26,0.0912280701754386,0.24074074074074073,86.0,86,0.0,76528 170608 181528 260698 291358 323698 330628 366958 405598 421768
4,7,2,complete_uncertified,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,97,18,0.06315789473684211,0.1125,97.0,97,0.0,170619 207579 223749 339249 440889 463989 466929 487089 538539 610149
4,7,2,local_mod210_control,4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,2,204,0.6822742474916388,1.0,2.0,2,0.0,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
4,7,2,local_mod210_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,60,33,0.11036789297658862,0.2920353982300885,60,60,30,27152 60542 89522 123332 135722 243452 260462 275372 302042 332492
4,7,2,local_mod210_control,88,6,large_class_mixed_direction,mod210_tied__any_complete_smaller,86,31,0.10367892976588629,0.28703703703703703,86,86,63,4498 25918 85978 92278 96898 107818 189928 237808 266158 271828
4,7,2,local_mod210_control,99,3,large_class_mixed_direction,mod210_complete_larger__any_complete_smaller,97,31,0.10367892976588629,0.2246376811594203,97,97,78,30549 175449 186999 206109 219549 236139 266169 291579 320979 339669
4,7,2,local_any_control,4,2,large_class_mixed_direction,mod210_tied__any_complete_larger,1,204,0.7132867132867133,1.0,1.0,1,-1.0,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
4,7,2,local_any_control,62,8,large_class_mixed_direction,mod210_complete_smaller__any_complete_larger,59,37,0.12937062937062938,0.33035714285714285,59,59,-1,26732 88052 106952 118502 119762 149792 163652 186752 210902 251432
