mod210,uncertified_count,share_of_uncertified,nearest_distance_median,nearest_distance_max,sample_n
111,209,0.04649610678531702,37,97,7881 17751 22581 26151 31611 32241 33921 39801 40851 51561
4,204,0.04538375973303671,2.0,2,844 17854 18274 21634 21844 30034 32974 35284 37804 47464
99,197,0.04382647385984427,37,97,729 5559 16899 17739 24249 30549 30759 35379 51549 59109
206,185,0.041156840934371525,2,2,836 3986 13436 13646 15536 17216 22676 30866 31706 38636
118,162,0.03604004449388209,26.0,90,9148 14608 17338 18808 26788 33298 36448 44638 46108 58078
122,155,0.034482758620689655,30,86,5372 15032 17762 19232 19442 23432 28682 35402 37082 43382
88,153,0.03403781979977753,30,86,1558 4498 5758 12268 19198 25918 40198 44188 44398 45028
201,152,0.033815350389321465,7.0,7,201 3561 8811 10281 13851 15741 18051 20991 21621 28761
9,151,0.033592880978865404,7,7,10929 15759 26679 31929 36129 39069 41589 42639 44319 53349
62,151,0.033592880978865404,34,60,2582 26732 27152 48572 59912 60542 71882 76082 81332 88052
152,149,0.03314794215795328,34,56,5402 11492 11912 25352 28292 41942 44672 45932 49082 57482
182,148,0.03292547274749722,26.0,26,602 10892 13622 18872 34622 36092 41552 58772 66752 67172
92,145,0.03225806451612903,26,90,5342 9752 20252 45662 48182 48812 65612 77792 89552 93752
148,145,0.03225806451612903,34,60,3298 3928 19888 31858 36058 39838 45718 46558 56008 60628
32,144,0.03203559510567297,30.0,30,2342 2552 6332 24392 25862 33632 38462 42242 50222 51902
58,144,0.03203559510567297,34.0,56,2788 3628 11608 18118 18748 22948 24628 28198 46048 53188
178,142,0.03159065628476085,30.0,30,178 2698 21598 34618 37138 37558 53308 62968 71158 76618
28,139,0.03092324805339266,26,26,868 22078 25018 29008 32998 48538 53998 56938 60928 61978
51,90,0.020022246941045607,23.0,49,9501 12021 30501 35121 38061 60321 65361 76701 100851 108831
171,89,0.019799777530589546,23,37,20121 21591 40071 47421 49311 58551 63171 68421 75141 82911
129,87,0.01935483870967742,23,79,17349 17769 45069 45699 53679 60609 84339 112059 123399 145239
141,85,0.018909899888765295,23,67,20931 32481 56001 57471 69651 74061 87921 110601 118791 120261
39,83,0.01846496106785317,23,37,20199 26919 42669 49389 69969 80049 92229 93909 104199 138219
69,83,0.01846496106785317,23,67,1959 34089 34509 39129 42279 46059 69579 78399 90579 106119
21,80,0.017797552836484983,19.0,19,9051 11151 11361 48111 73941 78351 89901 92001 106701 136731
159,80,0.017797552836484983,23.0,49,18009 24729 36489 43839 64209 103479 123219 150309 154299 163539
81,78,0.017352614015572858,23.0,79,2181 14991 42711 49641 54051 60981 89961 103611 105081 114111
189,70,0.01557285873192436,19.0,19,18669 51639 53319 55629 81039 114429 140679 160839 161889 177219
130,60,0.013348164627363738,38.0,78,32260 32470 106180 110800 119830 125290 143140 154690 219160 220840
172,52,0.011568409343715239,36.0,36,16552 27892 46582 79972 104332 122812 148222 175942 187912 192112
164,50,0.011123470522803115,44.0,44,21584 47204 62534 67994 93404 126584 130784 188114 190424 199664
38,48,0.01067853170189099,36.0,36,22718 36578 52958 89288 113858 124778 138428 145148 163628 168458
80,44,0.00978865406006674,31.0,78,30320 34730 38510 46280 93110 120200 242630 254180 259850 262370
46,38,0.008453837597330366,44.0,44,17266 112186 156076 181486 245956 257086 260026 271366 271576 278506
86,29,0.0064516129032258064,24,84,36626 56996 91436 144566 224996 290096 300176 315086 315716 322646
128,26,0.005784204671857619,40.0,80,6638 50528 86858 94418 96518 98828 110588 138308 186608 244568
166,26,0.005784204671857619,14.0,42,19066 40906 47626 63586 116716 227806 234736 276106 343936 390346
170,25,0.0055617352614015575,38,38,53300 101600 108530 133730 189590 221720 228860 325460 377330 397280
44,24,0.005339265850945495,14.0,42,102524 158174 198074 259394 266534 273044 282704 331424 345074 361454
40,23,0.005116796440489433,38,38,41620 176860 265480 284590 397150 478000 524830 531130 552130 556540
82,22,0.00489432703003337,35.5,80,502 37252 90382 93322 128812 139732 339862 373042 388372 413992
55,20,0.004449388209121246,27.0,53,4885 48985 83425 198715 200605 244285 259195 260455 419845 454495
155,20,0.004449388209121246,33.0,53,46985 56015 69665 94235 98855 187055 226325 350015 419105 490295
49,16,0.003559510567296997,9.0,47,19579 59269 89299 227479 229789 289849 373219 476959 512029 749959
57,15,0.0033370411568409346,5,55,40797 52347 149367 160917 218667 248697 287967 395067 504897 537027
85,15,0.0033370411568409346,23,83,1765 51115 58255 233815 284425 404545 415885 552385 640165 655705
124,14,0.003114571746384872,24.0,84,65644 151744 210964 223984 305884 363214 473884 642934 666244 722314
183,13,0.0028921023359288096,25,25,53733 106233 425643 476463 513423 608553 617373 639213 677433 754923
15,12,0.0026696329254727474,13.0,13,128115 197415 299055 329085 359115 696375 763155 774075 858075 869625
117,12,0.0026696329254727474,5.0,61,24477 143757 181557 188697 203817 400167 414027 474927 557247 695847
153,11,0.002447163515016685,35,55,4773 19263 49293 530403 609573 661443 672363 776103 782823 818733
177,11,0.002447163515016685,29,31,387 39657 79557 118197 258267 336807 415347 482337 691077 728037
