n,checked_max_k,checked_max_prime,residue_modulus,residue,mod210,mod2310,nearest_covered_residue,nearest_covered_source_k,nearest_covered_source_prime,circular_residue_distance,normalized_residue_distance
178,8,19,9699690,178,178,178,208,4,7,30,3.092882349848294e-06
201,8,19,9699690,201,201,201,208,4,7,7,7.216725482979353e-07
387,8,19,9699690,387,177,387,418,4,7,31,3.1959784281765704e-06
502,8,19,9699690,502,82,502,542,5,11,40,4.123843133131059e-06
602,8,19,9699690,602,182,602,628,4,7,26,2.680498036535188e-06
729,8,19,9699690,729,99,729,778,5,11,49,5.051707838085547e-06
836,8,19,9699690,836,206,836,838,4,7,2,2.0619215665655295e-07
844,8,19,9699690,844,4,844,842,4,7,2,2.0619215665655295e-07
868,8,19,9699690,868,28,868,872,5,11,4,4.123843133131059e-07
1558,8,19,9699690,1558,88,1558,1532,5,11,26,2.680498036535188e-06
1765,8,19,9699690,1765,85,1765,1768,5,11,3,3.092882349848294e-07
1959,8,19,9699690,1959,69,1959,1892,4,7,67,6.907437247994524e-06
2181,8,19,9699690,2181,81,2181,2192,5,11,11,1.1340568616110413e-06
2342,8,19,9699690,2342,32,32,2312,4,7,30,3.092882349848294e-06
2552,8,19,9699690,2552,32,242,2522,4,7,30,3.092882349848294e-06
2582,8,19,9699690,2582,62,272,2631,7,17,49,5.051707838085547e-06
2698,8,19,9699690,2698,178,388,2728,4,7,30,3.092882349848294e-06
2788,8,19,9699690,2788,58,478,2758,5,11,30,3.092882349848294e-06
3298,8,19,9699690,3298,148,988,3358,4,7,60,6.185764699696588e-06
3561,8,19,9699690,3561,201,1251,3568,4,7,7,7.216725482979353e-07
3628,8,19,9699690,3628,58,1318,3669,6,13,41,4.226939211459335e-06
3928,8,19,9699690,3928,148,1618,3891,8,19,37,3.8145548981462296e-06
3986,8,19,9699690,3986,206,1676,3988,4,7,2,2.0619215665655295e-07
4498,8,19,9699690,4498,88,2188,4502,5,11,4,4.123843133131059e-07
4773,8,19,9699690,4773,153,153,4738,5,11,35,3.6083627414896764e-06
4885,8,19,9699690,4885,55,265,4832,4,7,53,5.464092151398653e-06
5342,8,19,9699690,5342,92,722,5301,7,17,41,4.226939211459335e-06
5372,8,19,9699690,5372,122,752,5398,5,11,26,2.680498036535188e-06
5402,8,19,9699690,5402,152,782,5398,5,11,4,4.123843133131059e-07
5559,8,19,9699690,5559,99,939,5492,5,11,67,6.907437247994524e-06
5758,8,19,9699690,5758,88,1138,5728,5,11,30,3.092882349848294e-06
6332,8,19,9699690,6332,32,1712,6302,4,7,30,3.092882349848294e-06
6638,8,19,9699690,6638,128,2018,6718,4,7,80,8.247686266262118e-06
7881,8,19,9699690,7881,111,951,7959,7,17,78,8.041494109605565e-06
8811,8,19,9699690,8811,201,1881,8818,4,7,7,7.216725482979353e-07
9051,8,19,9699690,9051,21,2121,9032,4,7,19,1.958825488237253e-06
9148,8,19,9699690,9148,118,2218,9129,6,13,19,1.958825488237253e-06
9501,8,19,9699690,9501,51,261,9452,4,7,49,5.051707838085547e-06
9752,8,19,9699690,9752,92,512,9771,7,17,19,1.958825488237253e-06
10281,8,19,9699690,10281,201,1041,10288,4,7,7,7.216725482979353e-07
10892,8,19,9699690,10892,182,1652,10918,4,7,26,2.680498036535188e-06
10929,8,19,9699690,10929,9,1689,10922,4,7,7,7.216725482979353e-07
11151,8,19,9699690,11151,21,1911,11132,4,7,19,1.958825488237253e-06
11361,8,19,9699690,11361,21,2121,11378,7,17,17,1.7526333315807e-06
11492,8,19,9699690,11492,152,2252,11548,4,7,56,5.773380386383483e-06
11576,8,19,9699690,11576,26,26,11552,4,7,24,2.4743058798786353e-06
11608,8,19,9699690,11608,58,58,11649,7,17,41,4.226939211459335e-06
11912,8,19,9699690,11912,152,362,11931,7,17,19,1.958825488237253e-06
12021,8,19,9699690,12021,51,471,11998,5,11,23,2.371209801550359e-06
12268,8,19,9699690,12268,88,718,12328,5,11,60,6.185764699696588e-06
13436,8,19,9699690,13436,206,1886,13438,4,7,2,2.0619215665655295e-07
13556,8,19,9699690,13556,116,2006,13648,4,7,92,9.484839206201436e-06
13622,8,19,9699690,13622,182,2072,13648,4,7,26,2.680498036535188e-06
13646,8,19,9699690,13646,206,2096,13648,4,7,2,2.0619215665655295e-07
