control_role,metric,eligible_pair_count,median_delta,complete_smaller_count,complete_larger_count,tie_count,complete_smaller_rate
local_mod6_control,residual_top_gap_share,33,-7.682186278256601e-05,19,14,0,0.5757575757575758
local_mod6_control,residual_gap_max,33,-3.8238723299111044e-05,20,13,0,0.6060606060606061
local_mod6_control,residual_gap_p90,33,-4.0539589207799764e-07,18,15,0,0.5454545454545454
local_mod6_control,residual_gap_entropy,33,-0.00021846831001215428,18,15,0,0.5454545454545454
local_mod6_control,residual_gap_count,33,-11.0,22,11,0,0.6666666666666666
local_mod6_control,residual_uncovered_measure,33,-0.0032261002746450385,19,14,0,0.5757575757575758
band_mod6_control,residual_top_gap_share,33,6.8178602056037955e-06,15,18,0,0.45454545454545453
band_mod6_control,residual_gap_max,33,-1.6184478945913128e-06,17,16,0,0.5151515151515151
band_mod6_control,residual_gap_p90,33,-2.8673231800002696e-07,17,16,0,0.5151515151515151
band_mod6_control,residual_gap_entropy,33,-0.0005444421824388757,24,9,0,0.7272727272727273
band_mod6_control,residual_gap_count,33,-9.0,19,12,2,0.5757575757575758
band_mod6_control,residual_uncovered_measure,33,0.0006276547561711032,16,17,0,0.48484848484848486
band_ordinary_control,residual_top_gap_share,33,1.2247364311687053e-05,16,17,0,0.48484848484848486
band_ordinary_control,residual_gap_max,33,-2.0981503742301122e-05,19,14,0,0.5757575757575758
band_ordinary_control,residual_gap_p90,33,5.886589810599752e-07,11,22,0,0.3333333333333333
band_ordinary_control,residual_gap_entropy,33,-0.00012739399981565036,18,15,0,0.5454545454545454
band_ordinary_control,residual_gap_count,33,-37.0,26,7,0,0.7878787878787878
band_ordinary_control,residual_uncovered_measure,33,-0.004287426301603892,23,10,0,0.696969696969697
