control_role,metric,pair_count,complete_smaller_count,complete_larger_count,tie_count,median_delta,complete_smaller_rate_all_pairs
local_mod6_control,residual_top_gap_share,33,19,14,0,-7.682186278256601e-05,0.5757575757575758
local_mod6_control,residual_gap_max,33,20,13,0,-3.8238723299111044e-05,0.6060606060606061
local_mod6_control,residual_gap_p90,33,18,15,0,-4.0539589207799764e-07,0.5454545454545454
local_mod6_control,residual_gap_entropy,33,18,15,0,-0.00021846831001215428,0.5454545454545454
local_mod6_control,residual_gap_count,33,22,11,0,-11.0,0.6666666666666666
local_mod6_control,residual_uncovered_measure,33,19,14,0,-0.0032261002746450385,0.5757575757575758
band_mod6_control,residual_top_gap_share,33,15,18,0,6.8178602056037955e-06,0.45454545454545453
band_mod6_control,residual_gap_max,33,17,16,0,-1.6184478945913128e-06,0.5151515151515151
band_mod6_control,residual_gap_p90,33,17,16,0,-2.8673231800002696e-07,0.5151515151515151
band_mod6_control,residual_gap_entropy,33,24,9,0,-0.0005444421824388757,0.7272727272727273
band_mod6_control,residual_gap_count,33,19,12,2,-9.0,0.5757575757575758
band_mod6_control,residual_uncovered_measure,33,16,17,0,0.0006276547561711032,0.48484848484848486
band_ordinary_control,residual_top_gap_share,33,16,17,0,1.2247364311687053e-05,0.48484848484848486
band_ordinary_control,residual_gap_max,33,19,14,0,-2.0981503742301122e-05,0.5757575757575758
band_ordinary_control,residual_gap_p90,33,11,22,0,5.886589810599752e-07,0.3333333333333333
band_ordinary_control,residual_gap_entropy,33,18,15,0,-0.00012739399981565036,0.5454545454545454
band_ordinary_control,residual_gap_count,33,26,7,0,-37.0,0.7878787878787878
band_ordinary_control,residual_uncovered_measure,33,23,10,0,-0.004287426301603892,0.696969696969697
