seed_n,bin_index,cluster_id,cluster_start_n,cluster_stop_n,cluster_size,cluster_radius,nearest_seed_distance,local_mod6_delta,band_mod6_delta,band_ordinary_delta
2312,1,bin1_cluster1,2312,2428,3,250,30,-7.0,-27.0,-12.0
2342,1,bin1_cluster1,2312,2428,3,250,30,-9.0,-27.0,-12.0
2428,1,bin1_cluster1,2312,2428,3,250,86,-14.0,-2.0,1.0
4172,2,bin2_cluster1,4172,4202,3,250,26,19.0,19.0,-4.0
4198,2,bin2_cluster1,4172,4202,3,250,4,65.0,15.0,-41.0
4202,2,bin2_cluster1,4172,4202,3,250,4,-11.0,3.0,-20.0
7472,3,bin3_cluster1,7472,7562,3,250,86,44.0,10.0,20.0
7558,3,bin3_cluster1,7472,7562,3,250,4,57.0,0.0,29.0
7562,3,bin3_cluster1,7472,7562,3,250,4,26.0,-7.0,3.0
13318,4,bin4_cluster1,13318,13412,3,250,23,-53.0,-50.0,-48.0
13341,4,bin4_cluster1,13318,13412,3,250,23,1.0,13.0,-2.0
13412,4,bin4_cluster1,13318,13412,3,250,71,-34.0,-42.0,-39.0
23728,5,bin5_cluster1,23728,23734,3,250,4,24.0,-111.0,-64.0
23732,5,bin5_cluster1,23728,23734,3,250,2,-98.0,-75.0,-96.0
23734,5,bin5_cluster1,23728,23734,3,250,2,-24.0,-48.0,-1.0
42122,6,bin6_cluster1,42122,42212,3,250,86,-65.0,26.0,-28.0
42208,6,bin6_cluster1,42122,42212,3,250,4,90.0,-20.0,49.0
42212,6,bin6_cluster1,42122,42212,3,250,4,-78.0,0.0,-54.0
74968,7,bin7_cluster1,74968,75028,3,250,4,-63.0,-42.0,-35.0
74972,7,bin7_cluster1,74968,75028,3,250,4,53.0,22.0,-7.0
75028,7,bin7_cluster1,74968,75028,3,250,56,-140.0,-58.0,-51.0
133292,8,bin8_cluster1,133292,133352,3,250,56,-29.0,-9.0,-208.0
133348,8,bin8_cluster1,133292,133352,3,250,4,-11.0,44.0,-171.0
133352,8,bin8_cluster1,133292,133352,3,250,4,158.0,37.0,-41.0
237088,9,bin9_cluster1,237088,237152,3,250,4,-2.0,-53.0,14.0
237092,9,bin9_cluster1,237088,237152,3,250,4,-35.0,-124.0,-171.0
237152,9,bin9_cluster1,237088,237152,3,250,60,-75.0,-76.0,-123.0
421665,10,bin10_cluster1,421665,421682,3,250,13,-8.0,102.0,80.0
421678,10,bin10_cluster1,421665,421682,3,250,4,-307.0,-231.0,-334.0
421682,10,bin10_cluster1,421665,421682,3,250,4,40.0,-230.0,-37.0
749878,11,bin11_cluster1,749878,749908,3,250,23,-39.0,87.0,-154.0
749901,11,bin11_cluster1,749878,749908,3,250,7,-238.0,-178.0,-290.0
749908,11,bin11_cluster1,749878,749908,3,250,7,-146.0,88.0,-153.0
