n,mod210,trivial_small_prime_stratum,certificate_prime,certificate_prime_index,certificate_prime_over_n
3748,178,False,11,5,0.002934898612593383
3771,201,False,11,5,0.002916998143728454
3778,208,True,7,4,0.0018528321863419798
3782,2,True,7,4,0.0018508725542041248
3842,62,False,11,5,0.0028630921395106715
3866,86,False,13,6,0.003362648732540093
3891,111,False,19,8,0.004883063479825238
3928,148,False,31,11,0.007892057026476579
3986,206,False,23,9,0.00577019568489714
3988,208,True,7,4,0.0017552657973921766
3992,2,True,7,4,0.0017535070140280561
4078,88,False,11,5,0.002697400686611084
4172,182,False,11,5,0.0026366251198465963
4198,208,True,7,4,0.0016674606955693187
4202,2,True,7,4,0.0016658733936220848
5638,178,False,19,8,0.0033699893579283435
5668,208,True,7,4,0.0012350035285815103
5672,2,True,7,4,0.001234132581100141
5728,58,False,11,5,0.001920391061452514
5758,88,False,31,11,0.00538381382424453
5822,152,False,11,5,0.0018893850910340088
5878,208,True,7,4,0.0011908812521265737
5882,2,True,7,4,0.0011900714042842571
6058,178,False,11,5,0.0018157807857378673
6081,201,False,11,5,0.001808913007728992
6088,208,True,7,4,0.0011498028909329829
6092,2,True,7,4,0.001149047931713723
6130,40,False,19,8,0.003099510603588907
11338,208,True,7,4,0.0006173928382430764
11342,2,True,7,4,0.0006171751013930523
11361,21,False,29,10,0.0025525922013907225
11378,38,False,17,7,0.0014941114431358763
11432,92,False,11,5,0.0009622113365990203
11492,152,False,43,14,0.0037417333797424295
11548,208,True,7,4,0.0006061655697956356
11552,2,True,7,4,0.0006059556786703601
11576,26,False,31,11,0.002677954388389772
11608,58,False,59,17,0.005082701585113715
11649,99,False,17,7,0.0014593527341402695
11668,118,False,11,5,0.0009427494000685636
12178,208,True,7,4,0.0005748070290688127
12182,2,True,7,4,0.0005746182892792644
12184,4,False,17,7,0.0013952724885095207
12268,88,False,31,11,0.0025268992500815128
12328,148,False,11,5,0.0008922777417261519
12388,208,True,7,4,0.0005650629641588634
12392,2,True,7,4,0.0005648805681084571
12399,9,False,11,5,0.0008871683200258085
12422,32,False,11,5,0.000885525680244727
12434,44,False,17,7,0.0013672189158758243
12598,208,True,7,4,0.000555643752976663
