source,c0_n,c0_mod210,trivial_small_prime_stratum,direction,neighbor_n,neighbor_uncovered_measure,neighbor_component_count,neighbor_max_uncovered_gap
data/summaries/prc_broad_candidate_windows_r250.csv,3748,178,False,prev,3747,0.038789363177541,26,0.005852139520733046
data/summaries/prc_broad_candidate_windows_r250.csv,3748,178,False,next,3749,0.1177804069649026,79,0.010510773542881435
data/summaries/prc_broad_candidate_windows_r250.csv,3771,201,False,prev,3770,0.10491044922373488,54,0.006987028778504545
data/summaries/prc_broad_candidate_windows_r250.csv,3771,201,False,next,3772,0.06325337529853237,36,0.00619759141845555
data/summaries/prc_broad_candidate_windows_r250.csv,3778,208,True,prev,3777,0.013395995325827803,5,0.005507463184323824
data/summaries/prc_broad_candidate_windows_r250.csv,3778,208,True,next,3779,0.12769034518772673,75,0.0071332116616091845
data/summaries/prc_broad_candidate_windows_r250.csv,3782,2,True,prev,3781,0.055725883389517505,39,0.008781429854750833
data/summaries/prc_broad_candidate_windows_r250.csv,3782,2,True,next,3783,0.07319371035570704,36,0.007733622836663012
data/summaries/prc_broad_candidate_windows_r250.csv,3842,62,False,prev,3841,0.08691742906367594,51,0.008282226987662566
data/summaries/prc_broad_candidate_windows_r250.csv,3842,62,False,next,3843,0.0665325884810627,40,0.0046036446389984
data/summaries/prc_broad_candidate_windows_r250.csv,3866,86,False,prev,3865,0.08318102576951547,27,0.011100030257710447
data/summaries/prc_broad_candidate_windows_r250.csv,3866,86,False,next,3867,0.08479752171005464,48,0.006611775006482662
data/summaries/prc_broad_candidate_windows_r250.csv,3891,111,False,prev,3890,0.07913340594482537,50,0.005898058647438531
data/summaries/prc_broad_candidate_windows_r250.csv,3891,111,False,next,3892,0.111351005906555,58,0.007354117955392092
data/summaries/prc_broad_candidate_windows_r250.csv,3928,148,False,prev,3927,0.08543406863568759,44,0.00804572464947606
data/summaries/prc_broad_candidate_windows_r250.csv,3928,148,False,next,3929,0.09362045921941463,57,0.012651493633522803
data/summaries/prc_broad_candidate_windows_r250.csv,3986,206,False,prev,3985,0.09433431609920072,43,0.009659305153209896
data/summaries/prc_broad_candidate_windows_r250.csv,3986,206,False,next,3987,0.060421080304776886,28,0.007089220058825396
data/summaries/prc_broad_candidate_windows_r250.csv,3988,208,True,prev,3987,0.060421080304776886,28,0.007089220058825396
data/summaries/prc_broad_candidate_windows_r250.csv,3988,208,True,next,3989,0.13485695722300722,101,0.006015047842958171
data/summaries/prc_broad_candidate_windows_r250.csv,3992,2,True,prev,3991,0.038149294029591885,13,0.009149461265274161
data/summaries/prc_broad_candidate_windows_r250.csv,3992,2,True,next,3993,0.053295157844134744,34,0.005109802238951633
data/summaries/prc_broad_candidate_windows_r250.csv,4078,88,False,prev,4077,0.05098350958486261,33,0.0058516257312603015
data/summaries/prc_broad_candidate_windows_r250.csv,4078,88,False,next,4079,0.1230149057888597,94,0.007521063988439436
data/summaries/prc_broad_candidate_windows_r250.csv,4172,182,False,prev,4171,0.09706077637177933,69,0.005171812727737146
data/summaries/prc_broad_candidate_windows_r250.csv,4172,182,False,next,4173,0.046854587034774964,29,0.005233868563678246
data/summaries/prc_broad_candidate_windows_r250.csv,4198,208,True,prev,4197,0.052648842016631725,44,0.005144814402888553
data/summaries/prc_broad_candidate_windows_r250.csv,4198,208,True,next,4199,0.08350345980423851,69,0.007503331694141524
data/summaries/prc_broad_candidate_windows_r250.csv,4202,2,True,prev,4201,0.10245953520427822,68,0.006029792252294719
data/summaries/prc_broad_candidate_windows_r250.csv,4202,2,True,next,4203,0.036814835436451726,24,0.003835345782987498
data/summaries/prc_broad_candidate_windows_r250.csv,5638,178,False,prev,5637,0.055772765821041154,41,0.005733911652237911
data/summaries/prc_broad_candidate_windows_r250.csv,5638,178,False,next,5639,0.11907970452013825,115,0.005417250648386274
data/summaries/prc_broad_candidate_windows_r250.csv,5668,208,True,prev,5667,0.019780185244917037,15,0.0030463924072099413
data/summaries/prc_broad_candidate_windows_r250.csv,5668,208,True,next,5669,0.07861183963866218,89,0.003527125212222093
data/summaries/prc_broad_candidate_windows_r250.csv,5672,2,True,prev,5671,0.1071862209466272,79,0.007266441524352074
data/summaries/prc_broad_candidate_windows_r250.csv,5672,2,True,next,5673,0.064251014170879,53,0.004491142696224526
data/summaries/prc_broad_candidate_windows_r250.csv,5728,58,False,prev,5727,0.03971710340642398,29,0.006754072308303494
data/summaries/prc_broad_candidate_windows_r250.csv,5728,58,False,next,5729,0.10123656136018114,99,0.0046083929470319696
data/summaries/prc_broad_candidate_windows_r250.csv,5758,88,False,prev,5757,0.08515528132782696,65,0.004886623099765508
data/summaries/prc_broad_candidate_windows_r250.csv,5758,88,False,next,5759,0.0897446697828184,100,0.004560447728750167
data/summaries/prc_broad_candidate_windows_r250.csv,5822,152,False,prev,5821,0.10459425059830513,84,0.008056926765080297
data/summaries/prc_broad_candidate_windows_r250.csv,5822,152,False,next,5823,0.03754309099496736,38,0.0032958721412344183
data/summaries/prc_broad_candidate_windows_r250.csv,5878,208,True,prev,5877,0.0600792804986606,46,0.00912746399334552
data/summaries/prc_broad_candidate_windows_r250.csv,5878,208,True,next,5879,0.11892476183551996,116,0.005234971729080717
data/summaries/prc_broad_candidate_windows_r250.csv,5882,2,True,prev,5881,0.08974868278119355,87,0.006442498161146837
data/summaries/prc_broad_candidate_windows_r250.csv,5882,2,True,next,5883,0.042531966651220776,40,0.003604640320574226
data/summaries/prc_broad_candidate_windows_r250.csv,6058,178,False,prev,6057,0.04854223946978012,43,0.004051501624651538
data/summaries/prc_broad_candidate_windows_r250.csv,6058,178,False,next,6059,0.10688729875549534,112,0.004544633275593343
data/summaries/prc_broad_candidate_windows_r250.csv,6081,201,False,prev,6080,0.06343732942728214,57,0.006318850321273217
data/summaries/prc_broad_candidate_windows_r250.csv,6081,201,False,next,6082,0.09976534670623793,74,0.007897231225377555
data/summaries/prc_broad_candidate_windows_r250.csv,6088,208,True,prev,6087,0.03510810679343604,25,0.005433864088706719
data/summaries/prc_broad_candidate_windows_r250.csv,6088,208,True,next,6089,0.10926502945268507,120,0.006935585947027145
data/summaries/prc_broad_candidate_windows_r250.csv,6092,2,True,prev,6091,0.08112514650160457,65,0.0053325085720075105
data/summaries/prc_broad_candidate_windows_r250.csv,6092,2,True,next,6093,0.09423663716216257,70,0.007411088046365255
data/summaries/prc_broad_candidate_windows_r250.csv,6130,40,False,prev,6129,0.004130570854917109,5,0.0022310282566815054
data/summaries/prc_broad_candidate_windows_r250.csv,6130,40,False,next,6131,0.09205608286070548,80,0.006090816031410484
data/summaries/prc_broad_candidate_windows_r250.csv,11338,208,True,prev,11337,0.07602848239992094,127,0.0027135961765580863
data/summaries/prc_broad_candidate_windows_r250.csv,11338,208,True,next,11339,0.07554393321461877,137,0.0030558035204490963
data/summaries/prc_broad_candidate_windows_r250.csv,11342,2,True,prev,11341,0.051446008522024314,64,0.0028995247903479404
data/summaries/prc_broad_candidate_windows_r250.csv,11342,2,True,next,11343,0.025609596061854534,30,0.0018443437661126438
data/summaries/prc_broad_candidate_windows_r250.csv,11361,21,False,prev,11360,0.09338898371251086,146,0.0037425898839282823
data/summaries/prc_broad_candidate_windows_r250.csv,11361,21,False,next,11362,0.06772467938049986,76,0.0029972092983334697
data/summaries/prc_broad_candidate_windows_r250.csv,11378,38,False,prev,11377,0.1208382616362697,155,0.0038877494615997543
data/summaries/prc_broad_candidate_windows_r250.csv,11378,38,False,next,11379,0.040704030301225685,75,0.0018624749385555417
data/summaries/prc_broad_candidate_windows_r250.csv,11432,92,False,prev,11431,0.0706984328245694,96,0.0031294884883535934
data/summaries/prc_broad_candidate_windows_r250.csv,11432,92,False,next,11433,0.02703564954367671,44,0.002765028668131886
data/summaries/prc_broad_candidate_windows_r250.csv,11492,152,False,prev,11491,0.09779912648825614,166,0.004246805482516769
data/summaries/prc_broad_candidate_windows_r250.csv,11492,152,False,next,11493,0.0465455613206574,78,0.0020318446332257545
data/summaries/prc_broad_candidate_windows_r250.csv,11548,208,True,prev,11547,0.030464180133213448,40,0.0034107963072445013
data/summaries/prc_broad_candidate_windows_r250.csv,11548,208,True,next,11549,0.0868479746869832,152,0.0032653252223020512
data/summaries/prc_broad_candidate_windows_r250.csv,11552,2,True,prev,11551,0.1116176289141274,133,0.0034940608351985425
data/summaries/prc_broad_candidate_windows_r250.csv,11552,2,True,next,11553,0.037969929460225454,66,0.0025021687429552797
data/summaries/prc_broad_candidate_windows_r250.csv,11576,26,False,prev,11575,0.04637879876096253,63,0.003726222298099491
data/summaries/prc_broad_candidate_windows_r250.csv,11576,26,False,next,11577,0.022000470589373433,38,0.002011694931154273
data/summaries/prc_broad_candidate_windows_r250.csv,11608,58,False,prev,11607,0.0048074139345298805,8,0.001799861544286241
data/summaries/prc_broad_candidate_windows_r250.csv,11608,58,False,next,11609,0.09951372956220929,181,0.002027032526196071
data/summaries/prc_broad_candidate_windows_r250.csv,11649,99,False,prev,11648,0.08655749469307228,142,0.00260480114224515
data/summaries/prc_broad_candidate_windows_r250.csv,11649,99,False,next,11650,0.09858008577313981,114,0.0030249110601124896
data/summaries/prc_broad_candidate_windows_r250.csv,11668,118,False,prev,11667,0.04775107828186134,68,0.004062087477377574
data/summaries/prc_broad_candidate_windows_r250.csv,11668,118,False,next,11669,0.06437057656525239,107,0.002723178283320804
data/summaries/prc_broad_candidate_windows_r250.csv,12178,208,True,prev,12177,0.048424694884183744,80,0.0030484355153883036
data/summaries/prc_broad_candidate_windows_r250.csv,12178,208,True,next,12179,0.041113657549433705,83,0.0030017439922809253
data/summaries/prc_broad_candidate_windows_r250.csv,12182,2,True,prev,12181,0.06986786925679009,86,0.004203487672391093
data/summaries/prc_broad_candidate_windows_r250.csv,12182,2,True,next,12183,0.033364983895990546,48,0.0026759375992507772
data/summaries/prc_broad_candidate_windows_r250.csv,12184,4,False,prev,12183,0.033364983895990546,48,0.0026759375992507772
data/summaries/prc_broad_candidate_windows_r250.csv,12184,4,False,next,12185,0.052448029125929815,88,0.0037730757489436995
data/summaries/prc_broad_candidate_windows_r250.csv,12268,88,False,prev,12267,0.03943549272161487,56,0.0024622474494430113
data/summaries/prc_broad_candidate_windows_r250.csv,12268,88,False,next,12269,0.12213238626054711,216,0.0025964688286531645
data/summaries/prc_broad_candidate_windows_r250.csv,12328,148,False,prev,12327,0.025626792533153336,40,0.002853599148877173
data/summaries/prc_broad_candidate_windows_r250.csv,12328,148,False,next,12329,0.06880271669102836,110,0.0029019969412671376
data/summaries/prc_broad_candidate_windows_r250.csv,12388,208,True,prev,12387,0.03403494630216641,54,0.0018491454837017696
data/summaries/prc_broad_candidate_windows_r250.csv,12388,208,True,next,12389,0.040986611336804424,60,0.002916886357941628
data/summaries/prc_broad_candidate_windows_r250.csv,12392,2,True,prev,12391,0.10801615551074258,142,0.0036178818231784593
data/summaries/prc_broad_candidate_windows_r250.csv,12392,2,True,next,12393,0.024139743561265498,44,0.0021586018448082056
data/summaries/prc_broad_candidate_windows_r250.csv,12399,9,False,prev,12398,0.06952174337465095,112,0.0025835484446032897
data/summaries/prc_broad_candidate_windows_r250.csv,12399,9,False,next,12400,0.0822458561642706,117,0.0036060785415200636
data/summaries/prc_broad_candidate_windows_r250.csv,12422,32,False,prev,12421,0.11669453872686428,157,0.005160324828488494
data/summaries/prc_broad_candidate_windows_r250.csv,12422,32,False,next,12423,0.03870581179307078,73,0.002146642252914277
data/summaries/prc_broad_candidate_windows_r250.csv,12434,44,False,prev,12433,0.11741115517052032,151,0.003726698248322058
data/summaries/prc_broad_candidate_windows_r250.csv,12434,44,False,next,12435,0.03599210078556919,62,0.002743341328980492
data/summaries/prc_broad_candidate_windows_r250.csv,12598,208,True,prev,12597,0.04178659464961146,57,0.002309563157276706
data/summaries/prc_broad_candidate_windows_r250.csv,12598,208,True,next,12599,0.06697527233732463,114,0.003742047321426467
data/summaries/prc_broad_candidate_windows_r250.csv,12602,2,True,prev,12601,0.1039095424765695,150,0.0035839418730996275
data/summaries/prc_broad_candidate_windows_r250.csv,12602,2,True,next,12603,0.059218782879342485,107,0.0025958193591795187
data/summaries/prc_broad_candidate_windows_r250.csv,12658,58,False,prev,12657,0.043569684843177775,64,0.0024804525265329502
data/summaries/prc_broad_candidate_windows_r250.csv,12658,58,False,next,12659,0.14860045497309193,269,0.00395825727369381
data/summaries/prc_broad_candidate_windows_r250.csv,17848,208,True,prev,17847,0.06532167191344473,132,0.004934190284670348
data/summaries/prc_broad_candidate_windows_r250.csv,17848,208,True,next,17849,0.08110785436154114,222,0.00228339165634725
data/summaries/prc_broad_candidate_windows_r250.csv,17852,2,True,prev,17851,0.0812423896607604,155,0.0029950049171244553
data/summaries/prc_broad_candidate_windows_r250.csv,17852,2,True,next,17853,0.04083957975997515,87,0.0020072425755469636
data/summaries/prc_broad_candidate_windows_r250.csv,17854,4,False,prev,17853,0.04083957975997515,87,0.0020072425755469636
data/summaries/prc_broad_candidate_windows_r250.csv,17854,4,False,next,17855,0.033768821716974706,62,0.0015701144197059341
data/summaries/prc_broad_candidate_windows_r250.csv,17938,88,False,prev,17937,0.04187435383287677,109,0.0021051386830208685
data/summaries/prc_broad_candidate_windows_r250.csv,17938,88,False,next,17939,0.054162601741644195,142,0.0026796255979514294
data/summaries/prc_broad_candidate_windows_r250.csv,18009,159,False,prev,18008,0.060841014190580966,141,0.0020107871988837567
data/summaries/prc_broad_candidate_windows_r250.csv,18009,159,False,next,18010,0.1039871020220966,195,0.002349385698490969
data/summaries/prc_broad_candidate_windows_r250.csv,18032,182,False,prev,18031,0.027811248186501936,90,0.0012552556212296617
data/summaries/prc_broad_candidate_windows_r250.csv,18032,182,False,next,18033,0.019662324357191674,44,0.0022069260522152856
data/summaries/prc_broad_candidate_windows_r250.csv,18051,201,False,prev,18050,0.06980290081869056,156,0.002199964192104553
data/summaries/prc_broad_candidate_windows_r250.csv,18051,201,False,next,18052,0.058547731587617724,108,0.003537254521070343
data/summaries/prc_broad_candidate_windows_r250.csv,18058,208,True,prev,18057,0.055095882230815046,122,0.0021050246157658936
data/summaries/prc_broad_candidate_windows_r250.csv,18058,208,True,next,18059,0.07617379915006173,184,0.0023380104336968577
data/summaries/prc_broad_candidate_windows_r250.csv,18062,2,True,prev,18061,0.07438716605904966,168,0.0023038290947156037
data/summaries/prc_broad_candidate_windows_r250.csv,18062,2,True,next,18063,0.05486978750159621,115,0.0032814133378603616
data/summaries/prc_broad_candidate_windows_r250.csv,18118,58,False,prev,18117,0.04765256141152788,90,0.003048334063442071
data/summaries/prc_broad_candidate_windows_r250.csv,18118,58,False,next,18119,0.09549708854977051,226,0.002442220135584483
data/summaries/prc_broad_candidate_windows_r250.csv,18171,111,False,prev,18170,0.09211530852892968,196,0.0024992693840497626
data/summaries/prc_broad_candidate_windows_r250.csv,18171,111,False,next,18172,0.10269767307578803,173,0.0028378868814482594
data/summaries/prc_broad_candidate_windows_r250.csv,18268,208,True,prev,18267,0.025781774440335636,46,0.0023907673031724475
data/summaries/prc_broad_candidate_windows_r250.csv,18268,208,True,next,18269,0.1326380703331622,373,0.0028127294802012814
data/summaries/prc_broad_candidate_windows_r250.csv,18272,2,True,prev,18271,0.06451560411772705,122,0.004722600414605926
data/summaries/prc_broad_candidate_windows_r250.csv,18272,2,True,next,18273,0.026609590311494735,52,0.004927974818510261
data/summaries/prc_broad_candidate_windows_r250.csv,18274,4,False,prev,18273,0.026609590311494735,52,0.004927974818510261
data/summaries/prc_broad_candidate_windows_r250.csv,18274,4,False,next,18275,0.07239923851568635,184,0.0025701823864213713
data/summaries/prc_broad_candidate_windows_r250.csv,19659,129,False,prev,19658,0.034171166441019585,88,0.0011099154765096264
data/summaries/prc_broad_candidate_windows_r250.csv,19659,129,False,next,19660,0.02397013571161588,45,0.002277699194384919
data/summaries/prc_broad_candidate_windows_r250.csv,19682,152,False,prev,19681,0.07596501036023884,161,0.002769692479571817
data/summaries/prc_broad_candidate_windows_r250.csv,19682,152,False,next,19683,0.030942060978258495,88,0.002002623166546702
data/summaries/prc_broad_candidate_windows_r250.csv,19696,166,False,prev,19695,0.06041177906880127,162,0.001704726865902173
data/summaries/prc_broad_candidate_windows_r250.csv,19696,166,False,next,19697,0.06271064265939275,162,0.00241129541739582
data/summaries/prc_broad_candidate_windows_r250.csv,19738,208,True,prev,19737,0.024101631251628897,54,0.0014078295411918962
data/summaries/prc_broad_candidate_windows_r250.csv,19738,208,True,next,19739,0.07109377289788833,210,0.0023346772033550067
data/summaries/prc_broad_candidate_windows_r250.csv,19742,2,True,prev,19741,0.10361038661649831,184,0.0025854314549773605
data/summaries/prc_broad_candidate_windows_r250.csv,19742,2,True,next,19743,0.05093594120268616,129,0.0028223257265033164
data/summaries/prc_broad_candidate_windows_r250.csv,19888,148,False,prev,19887,0.030251870750246462,86,0.0019523127689204944
data/summaries/prc_broad_candidate_windows_r250.csv,19888,148,False,next,19889,0.055221024524076345,168,0.0022845455623590194
data/summaries/prc_broad_candidate_windows_r250.csv,19918,178,False,prev,19917,0.015259639004871178,37,0.0021177030488709336
data/summaries/prc_broad_candidate_windows_r250.csv,19918,178,False,next,19919,0.10699318872327737,281,0.002510994436609515
data/summaries/prc_broad_candidate_windows_r250.csv,19941,201,False,prev,19940,0.05934075876656275,165,0.0017878248674682573
data/summaries/prc_broad_candidate_windows_r250.csv,19941,201,False,next,19942,0.08330538653814512,156,0.0028443758781898643
data/summaries/prc_broad_candidate_windows_r250.csv,19948,208,True,prev,19947,0.07062179585895079,168,0.002229438437815201
data/summaries/prc_broad_candidate_windows_r250.csv,19948,208,True,next,19949,0.09172224770965706,287,0.0015766419749457111
data/summaries/prc_broad_candidate_windows_r250.csv,19952,2,True,prev,19951,0.10770821966912382,190,0.0025742857027049038
data/summaries/prc_broad_candidate_windows_r250.csv,19952,2,True,next,19953,0.051068517159335636,116,0.0019175028295201901
data/summaries/prc_broad_candidate_windows_r250.csv,20012,62,False,prev,20011,0.11409790172274267,207,0.00287380874740506
data/summaries/prc_broad_candidate_windows_r250.csv,20012,62,False,next,20013,0.0418324617971812,82,0.0023003331619476652
data/summaries/prc_broad_candidate_windows_r250.csv,20049,99,False,prev,20048,0.06600143537359471,156,0.0019686235397753937
data/summaries/prc_broad_candidate_windows_r250.csv,20049,99,False,next,20050,0.06132334500345871,124,0.0020182345825475734
data/summaries/prc_broad_candidate_windows_r250.csv,20121,171,False,prev,20120,0.04316018764589702,109,0.0014360630483045145
data/summaries/prc_broad_candidate_windows_r250.csv,20121,171,False,next,20122,0.03144319374973725,55,0.0024220161145338537
data/summaries/prc_broad_candidate_windows_r250.csv,51448,208,True,prev,51447,0.04623558457273641,285,0.0015101549091012245
data/summaries/prc_broad_candidate_windows_r250.csv,51448,208,True,next,51449,0.08191761086523588,493,0.0011903134314577013
data/summaries/prc_broad_candidate_windows_r250.csv,51452,2,True,prev,51451,0.043075866732211976,217,0.0016279818487331399
data/summaries/prc_broad_candidate_windows_r250.csv,51452,2,True,next,51453,0.030481471745707478,198,0.000660168864040217
data/summaries/prc_broad_candidate_windows_r250.csv,51454,4,False,prev,51453,0.030481471745707478,198,0.000660168864040217
data/summaries/prc_broad_candidate_windows_r250.csv,51454,4,False,next,51455,0.03911663560576875,226,0.0015528462737419702
data/summaries/prc_broad_candidate_windows_r250.csv,51549,99,False,prev,51548,0.08801396830453267,496,0.0010056763203554753
data/summaries/prc_broad_candidate_windows_r250.csv,51549,99,False,next,51550,0.06967603806257616,325,0.0011508766617841504
data/summaries/prc_broad_candidate_windows_r250.csv,51561,111,False,prev,51560,0.06865242503987562,382,0.0008952696446464792
