n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
38569,4064,0.07586678783395515,0.8011687657572476,0.07287904802977511,0.0013233930123122128,False,False,False,0.9321104057922341,0.005151194121355562,0.0051511941213553125,0.25690994770042863,0.0038278011090433495,444,0.00012362517620954222,0.00037227165283882193,0.000784681937851597
38570,4064,0.0509950779573598,0.5385197547087136,0.07287904802977511,0.0013875134254616173,False,False,False,0.9321104057922343,0.005151328999720817,0.0051513289997209,0.2693505744899647,0.0037638155742591994,220,0.00017807889860099735,0.0004886250866912411,0.0008663046488587795
38571,4064,0.02704755974474915,0.2856291544781013,0.07287904802977511,0.0014788262239819883,False,False,False,0.9321104057922341,0.005151463878086182,0.005151463878086265,0.2870691242294775,0.003672637654104194,94,0.00019372906355058506,0.0006245479089207919,0.0014320722636628222
38572,4064,0.04924484667075768,0.5200394631442499,0.07287904802977511,0.0017284844765790286,False,False,False,0.9321104057922341,0.0051515987564515475,0.005151598756451631,0.3355238942890069,0.003423114279872519,171,0.00022130531738351333,0.0006341666666128676,0.001230957961521706
38573,4064,0.09375366208864835,0.9900675317368035,0.07287904802977511,0.0015309326543216928,False,False,False,0.9321104057922341,0.005151733634817024,0.005151733634816996,0.29716844131365255,0.003620800980495331,360,0.0001935051956997863,0.0005754000067741405,0.0012170939703415457
38574,4064,0.07762032342227232,0.8196965213836983,0.07287904802977511,0.0010520625733168032,False,False,False,0.9321104057922341,0.005151868513182278,0.005151868513182362,0.20420990377080692,0.004099805939865475,342,0.00016501212987726777,0.0005053304258336613,0.0009311618800877427
38575,4064,0.015289714644418084,0.16146488600728656,0.07287904802977511,0.0011407133432763672,False,False,False,0.9321104057922341,0.005152003391547644,0.005152003391547505,0.22141160565767812,0.0040112900482712766,61,0.0002014272470950429,0.000518363373663705,0.0009257072729685007
38576,4064,0.029776020496485756,0.3144462580889273,0.07287904802977511,0.0009024953864140151,False,False,False,0.932110405792234,0.005152138269913009,0.00515213826991287,0.1751690927404503,0.004249642883498994,124,0.00022029381191124298,0.0005132478639568672,0.0007153511806481907
38577,4064,0.04219320847636676,0.44557764498357194,0.07287904802977511,0.0015843459861810683,False,False,False,0.9321104057922339,0.0051522731482782635,0.005152273148278236,0.30750426861792246,0.0035679271620971953,185,0.00014341827097255622,0.0005447431277681491,0.0012837983843158437
38578,4064,0.019298252053997822,0.2037979836099219,0.07287904802977511,0.0016447033257227517,False,False,False,0.9321622488115714,0.00515240802664374,0.005152408026643601,0.31921061321575994,0.0035077047009209883,58,0.00025311471152772436,0.000644348918953075,0.0013095173226112386
38579,4064,0.0753304161728857,0.7955241003361218,0.07287904802977511,0.0015635283861273885,False,False,False,0.9321622488115714,0.005152542905009105,0.005152542905008967,0.3034479120217293,0.003589014518881717,420,0.00013533498381661235,0.00039683393701886015,0.0006673726888478338
38580,4064,0.05186235387813032,0.547691832500578,0.07287904802977511,0.001526104574661069,False,False,False,0.9321622488115715,0.00515267778337436,0.005152677783374554,0.29617698579662816,0.0036265732087132907,200,0.00021429415614526715,0.0005700813212352273,0.0009564499283906552
38581,4064,0.08385994829014712,0.8856042591167655,0.07287904802977511,0.001571831257924039,False,False,False,0.9321622488115716,0.005152812661739725,0.0051528126617399195,0.30504335420440987,0.003580981403815686,372,0.00013871559983879775,0.0005166693565250874,0.0012206867653222506
38582,4064,0.016997347092877313,0.17950118299784204,0.07287904802977511,0.0007272957239989886,False,False,False,0.9321622488115716,0.005152947540105091,0.005152947540105063,0.14114168994318074,0.004425651816106102,80,0.0001894464981171684,0.0004110415075053942,0.000702918852311639
38583,4064,0.04306239525093228,0.4547633121198638,0.07287904802977511,0.0010933641958158213,False,False,False,0.9321622488115716,0.005153082418470567,0.005153082418470428,0.2121767336568879,0.004059718222654746,202,0.00016407355142535052,0.0004741452251876888,0.0008081085245666199
38584,4064,0.023162295673223587,0.2446075766645899,0.07287904802977511,0.001571552069729254,False,False,False,0.9321622488115716,0.005153217296835821,0.005153217296835794,0.3049652244810671,0.0035816652271065674,74,0.000260861057460704,0.0006688282182286343,0.0011889434560705193
38585,4064,0.028855862532332383,0.30473576662565316,0.07287904802977511,0.0014344617539184812,False,False,False,0.9321622488115715,0.005153352175201187,0.005153352175201159,0.27835507940275395,0.0037188904212827056,123,0.0001799383981506142,0.0005533922126722989,0.001083152634463818
38586,4064,0.10205199491647876,1.0777348689711144,0.07287904802977511,0.001571636907054863,False,False,False,0.9321622488115715,0.005153487053566552,0.0051534870535665245,0.3049657233478809,0.003581850146511689,406,0.00019487685482799666,0.0005336475155839349,0.0009994772290763758
