n,prime_count,uncovered_measure,uncovered_measure_times_log_n,random_arc_baseline,poisson_arc_baseline,product_arc_baseline,max_uncovered_gap,complete_scale_1_over_n,complete_scale_1_over_pi_n,complete_numeric_1e_9,branch1_uncovered_measure,branch1_max_uncovered_gap,branch1_exposed_gap_estimate,gap_fill_ratio,gap_fill_drop,uncovered_component_count,gap_p50,gap_p90,gap_p99
1000,168,0.114647282149409,0.7919553684885345,0.11101609067106057,0.11101609067106057,0.08096526350684251,0.015877683034401624,False,False,False,0.8986294256635812,0.061736816249209236,0.06173681624920902,0.25718337936814156,0.04585913321480761,19,0.004102387488224779,0.011876133473946358,0.01519821748609133
1151,190,0.12556375120501162,0.8850218374215398,0.10875531676000234,0.10875531676000234,0.07931569142172819,0.027612898591068746,False,False,False,0.8965958683763889,0.03376183149039014,0.03376183149039026,0.8178732424195766,0.006148932899321391,17,0.004727790910530327,0.014492808201660391,0.02567858869184667
1326,216,0.0607893341234505,0.43707058115907144,0.1065041704695795,0.1065041704695795,0.07767326637733728,0.014722236932690813,False,False,False,0.901458195851749,0.03238125018981297,0.032381250189812985,0.45465313557666087,0.017659013257122158,21,0.0015620497732752314,0.005267223821897593,0.013378842293164401
1526,241,0.021864229043520866,0.1602736585335851,0.10466958865647107,0.10466958865647107,0.0763348480151048,0.0056508581529362,False,False,False,0.9035902228699942,0.036821216418958524,0.036821216418958705,0.15346744900113304,0.031170358266022324,8,0.0020336294800132326,0.005075943071903399,0.0055933666448329195
1758,273,0.11765465463818442,0.8791075881459014,0.10264217010386763,0.10264217010386763,0.07485581650352613,0.009950232771832268,False,False,False,0.9034618048344408,0.04258870938671899,0.04258870938671917,0.23363546149006295,0.032638476614886724,35,0.0030799281210235896,0.006541205197546774,0.009620476754243105
2024,306,0.106041031277534,0.807272453406008,0.10086817688810644,0.10086817688810644,0.07356172309556701,0.00812585105558572,False,False,False,0.9051304134976509,0.03735893916382027,0.03735893916382025,0.21750754270493536,0.02923308810823455,34,0.0032836008591499155,0.005647394346471424,0.007519811487687343
2330,344,0.07781762129726322,0.6033685408277293,0.09911556559880941,0.09911556559880941,0.0722832758966005,0.01038259844610584,False,False,False,0.908913088012049,0.04311958658883186,0.04311958658883184,0.24078613148844458,0.03273698814272602,29,0.002122725693254335,0.006137301616485136,0.010183779864124816
2683,389,0.08947881369797618,0.7064075718083516,0.09734251152384629,0.09734251152384629,0.0709899604969758,0.008333585329821647,False,False,False,0.9108052414134994,0.028101664958265826,0.028101664958265857,0.2965513019316816,0.01976807962844418,48,0.0011194044299771971,0.0046358650951694395,0.008181670720885837
3089,442,0.16085640138943208,1.2925781321781127,0.09556119591900478,0.09556119591900478,0.06969065767122454,0.009703380329549066,False,False,False,0.9102594792822731,0.025642187175402675,0.025642187175402686,0.37841469072720346,0.01593880684585361,95,0.0013173726791022716,0.00368845929892691,0.009349719183698087
3556,497,0.022062627072068075,0.1803926785917227,0.093997478767968,0.093997478767968,0.06855010355517367,0.004442649434571844,False,False,False,0.9131503483758304,0.019813873764295664,0.019813873764295695,0.2242191248123039,0.01537122432972382,11,0.0013959586438876403,0.0034212297200246766,0.0043405074631171275
4095,564,0.0537596364739126,0.44714695888417005,0.09236131005131155,0.09236131005131155,0.0673567297181709,0.005752350149796026,False,False,False,0.9133703135654901,0.02001713629688906,0.020017136296889313,0.28737128350822194,0.014264786147093034,34,0.0011538717499436635,0.003441029159321543,0.0052638652187433025
4715,635,0.0832307562601789,0.7040077009853686,0.09088165165165599,0.09088165165165599,0.06627753091870536,0.007364182083234527,False,False,False,0.915830658741229,0.01937118332445953,0.01937118332445964,0.38016170514146913,0.012007001241225002,46,0.0010806245733232245,0.004790428214745943,0.007197439834190061
5429,716,0.11801828122879854,1.0148994172149848,0.08943762840991877,0.08943762840991877,0.06522434034944716,0.005103665954264813,False,False,False,0.9178984516977775,0.01672575925398223,0.01672575925398237,0.3051380733612845,0.011622093299717418,101,0.0009578677817016906,0.002436945409215213,0.004809610178577728
6251,812,0.030821922131158197,0.2693989095976012,0.0879734132869336,0.0879734132869336,0.06415643833701853,0.00635083428661587,False,False,False,0.9182304824008524,0.016062354702740755,0.016062354702740804,0.3953862558851482,0.009711520416124886,24,0.0009375707152188412,0.002981770796617766,0.005628940764757506
7197,919,0.026804170038105424,0.2380590798383692,0.0865793498245191,0.0865793498245191,0.06313971319635388,0.004538523747116385,False,False,False,0.9194721856428144,0.011380446712571435,0.01138044671257154,0.39880014042883705,0.0068419229654550495,22,0.0009978740748459863,0.0019893491899475205,0.004247056019826307
8286,1038,0.09214646223768813,0.8313751108430917,0.08525585706293196,0.08525585706293196,0.062174467674382304,0.0036370101978852043,False,False,False,0.9214039169441309,0.013137548358615914,0.013137548358615797,0.27684086091298515,0.00950053816073071,95,0.0007627017407365599,0.001905114324980663,0.0034901608414302857
9541,1181,0.029331134735707295,0.2687715585079583,0.08389861444748639,0.08389861444748639,0.0611846172951204,0.0026370143282108405,False,False,False,0.9213178734385353,0.011982204860427337,0.01198220486042734,0.22007755324897635,0.009345190532216496,37,0.0005894750442106966,0.0016562241176020726,0.0025463137078112342
10985,1333,0.0400504886386128,0.37264120012538604,0.08266257998690232,0.08266257998690232,0.06028317253325721,0.003092913486868132,False,False,False,0.9228748731585618,0.01100295427284892,0.011002954272848876,0.281098458665802,0.007910040785980788,67,0.0004154677137394591,0.0013765349272878312,0.0025857851191772334
12649,1511,0.017359888073430987,0.16396993132851623,0.08142775599104399,0.08142775599104399,0.05938261708242801,0.001925692069562751,False,False,False,0.9244307583873776,0.008811322654979747,0.008811322654979548,0.21854744684379931,0.006885630585416996,36,0.00038238141060942255,0.0010843968830454853,0.0017558810430880803
14563,1708,0.1153197582003405,1.1054828032563218,0.08025537708345805,0.08025537708345805,0.05852760793559864,0.0026932446387286646,False,False,False,0.9253974613672128,0.007100472540256586,0.0071004725402567396,0.37930498617650316,0.004407227901527921,234,0.000351995360026682,0.0011007064240464268,0.0024467547190021605
16768,1938,0.024611716804248118,0.2394037706646861,0.07908246054192694,0.07908246054192694,0.057672211243308055,0.0030673246495640516,False,False,False,0.9261554622223636,0.007802776646914755,0.007802776646914647,0.3931068116344048,0.004735451997350704,38,0.000441132607970518,0.0013008647568840035,0.0026927485637427352
19307,2188,0.07341679341969562,0.7244932896627356,0.07799050832217627,0.07799050832217627,0.056875864739634796,0.002695702303893044,False,False,False,0.9281228704406015,0.00647744713664844,0.006477447136648423,0.4161673954297764,0.003781744832755396,167,0.00029089832544726413,0.0010723003228698014,0.0021371997385710387
22230,2490,0.1315721766161349,1.3169319679573752,0.07686258308045685,0.07686258308045685,0.05605328692130872,0.0020654402986481357,False,False,False,0.9284283369465623,0.0053801479914529216,0.005380147991453182,0.3839002759644087,0.003314707692804786,322,0.0003118043740936438,0.0008933831298867269,0.0015088651773428195
25595,2818,0.0515604465466773,0.5233463850476383,0.07581258417490741,0.07581258417490741,0.05528754219610352,0.0013360055527793513,False,False,False,0.9296487406567762,0.005484343189525731,0.005484343189525545,0.24360356502323205,0.00414833763674638,193,0.0001879515147027444,0.0005928562263984806,0.0010274143529542049
