k,new_prime,primorial,residue,parent_residue_mod_previous,reflection_residue,birth_type,previous_open_gap_count,previous_uncovered_measure_fraction,previous_open_gap_boundary_endpoints,new_prime_remainder,new_prime_closed_arc_boundary_endpoints,containment_margin_fraction,uses_endpoint_touching
5,11,2310,118,118,2192,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,448,28,1862,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,542,122,1768,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
5,11,2310,778,148,1532,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,849,9,1461,strict_single_gap_birth,1,1/21,1/6-3/14,2,3/22-5/22,1/77,False
5,11,2310,872,32,1438,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
5,11,2310,1108,58,1202,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,1202,152,1108,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
5,11,2310,1438,178,872,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,1461,201,849,strict_single_gap_birth,1,1/21,11/14-5/6,9,17/22-19/22,1/77,False
5,11,2310,1532,62,778,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
5,11,2310,1768,88,542,strict_single_gap_birth,1,1/20,7/10-3/4,8,15/22-17/22,1/55,False
5,11,2310,1862,182,448,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
5,11,2310,2192,92,118,strict_single_gap_birth,1,1/20,1/4-3/10,3,5/22-7/22,1/55,False
6,13,30030,939,939,29091,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,1791,1791,28239,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,2140,2140,27890,strict_single_gap_birth,1,4/77,13/22-9/14,8,15/26-17/26,1/91,False
6,13,30030,2499,189,27531,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
6,13,30030,3669,1359,26361,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,3866,1556,26164,strict_single_gap_birth,1,4/77,5/14-9/22,5,9/26-11/26,1/91,False
6,13,30030,4521,2211,25509,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,6296,1676,23734,strict_single_gap_birth,1,1/55,3/10-7/22,4,7/26-9/26,4/143,False
6,13,30030,6399,1779,23631,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,6789,2169,23241,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
6,13,30030,7251,321,22779,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,8146,1216,21884,strict_single_gap_birth,1,4/77,13/22-9/14,8,15/26-17/26,1/91,False
6,13,30030,9129,2199,20901,strict_single_gap_birth,1,1/28,3/14-1/4,3,5/26-7/26,1/52,False
6,13,30030,9981,741,20049,strict_single_gap_birth,1,1/28,3/4-11/14,10,19/26-21/26,1/52,False
6,13,30030,10371,1131,19659,strict_single_gap_birth,1,1/44,3/4-17/22,10,19/26-21/26,1/52,False
6,13,30030,11079,1839,18951,strict_single_gap_birth,1,1/44,5/22-1/4,3,5/26-7/26,1/52,False
