k,primorial,near_miss_rank,residue,reflection_residue,lambda_fraction,lambda_minus_half_fraction,bottleneck_point,active_primes,active_centers
4,210,1,99,111,5/9,1/18,2/9,2 7,1/2 1/7
4,210,2,111,99,5/9,1/18,7/9,2 7,1/2 6/7
4,210,3,28,182,4/7,1/14,5/7,2 5,0 3/5
4,210,4,32,178,4/7,1/14,2/7,2 5,0 2/5
4,210,5,58,152,4/7,1/14,5/7,2 5,0 3/5
4,210,6,62,148,4/7,1/14,2/7,2 5,0 2/5
4,210,7,88,122,4/7,1/14,5/7,2 5,0 3/5
4,210,8,92,118,4/7,1/14,2/7,2 5,0 2/5
4,210,9,118,92,4/7,1/14,5/7,2 5,0 3/5
4,210,10,122,88,4/7,1/14,2/7,2 5,0 2/5
4,210,11,148,62,4/7,1/14,5/7,2 5,0 3/5
4,210,12,152,58,4/7,1/14,2/7,2 5,0 2/5
4,210,13,178,32,4/7,1/14,5/7,2 5,0 3/5
4,210,14,182,28,4/7,1/14,2/7,2 5,0 2/5
4,210,15,3,207,3/5,1/10,1/5,2 3,1/2 0
4,210,16,9,201,3/5,1/10,1/5,2 3 7,1/2 0 2/7
4,210,17,15,195,3/5,1/10,4/5,2 3,1/2 0
4,210,18,21,189,3/5,1/10,4/5,2 3,1/2 0
4,210,19,27,183,3/5,1/10,1/5,2 3,1/2 0
4,210,20,33,177,3/5,1/10,1/5,2 3,1/2 0
5,2310,1,141,2169,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,2,189,2121,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,3,471,1839,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,4,519,1791,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,5,801,1509,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,6,1131,1179,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,7,1179,1131,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,8,1509,801,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,9,1791,519,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,10,1839,471,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,11,2121,189,7/13,1/26,10/13,2 11,1/2 9/11
5,2310,12,2169,141,7/13,1/26,3/13,2 11,1/2 2/11
5,2310,13,99,2211,5/9,1/18,2/9,2 7,1/2 1/7
5,2310,14,111,2199,5/9,1/18,7/9,2 7,1/2 6/7
5,2310,15,309,2001,5/9,1/18,2/9,2 7,1/2 1/7
5,2310,16,321,1989,5/9,1/18,7/9,2 7,1/2 6/7
5,2310,17,531,1779,5/9,1/18,7/9,2 7,1/2 6/7
5,2310,18,603,1707,5/9,1/18,2/9,2 7,1/2 1/7
5,2310,19,729,1581,5/9,1/18,2/9,2 7 11,1/2 1/7 3/11
5,2310,20,741,1569,5/9,1/18,7/9,2 7,1/2 6/7
