k,primorial,near_miss_rank,residue,lambda_fraction,next_k,new_prime,previous_open_gap_count,previous_uncovered_measure_fraction,max_previous_open_gap_length_fraction,previous_open_gap_boundary_endpoints,containing_remainder_count,containing_remainders,containment_margins,best_containment_margin_fraction
4,210,1,99,5/9,5,11,1,1/28,1/28,3/14-1/4,0,,,
4,210,2,111,5/9,5,11,1,1/28,1/28,3/4-11/14,0,,,
4,210,3,28,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,4,32,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,5,58,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,6,62,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,7,88,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,8,92,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,9,118,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,10,122,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,11,148,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,12,152,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,13,178,4/7,5,11,1,1/20,1/20,7/10-3/4,1,8,1/55,1/55
4,210,14,182,4/7,5,11,1,1/20,1/20,1/4-3/10,1,3,1/55,1/55
4,210,15,3,3/5,5,11,2,1/6,1/12,1/6-1/4;3/4-5/6,0,,,
4,210,16,9,3/5,5,11,1,1/21,1/21,1/6-3/14,1,2,1/77,1/77
4,210,17,15,3/5,5,11,2,5/42,1/12,3/14-1/4;3/4-5/6,0,,,
4,210,18,21,3/5,5,11,1,1/12,1/12,3/4-5/6,0,,,
4,210,19,27,3/5,5,11,2,5/42,1/12,1/6-1/4;3/4-11/14,0,,,
4,210,20,33,3/5,5,11,2,11/84,1/12,1/6-1/4;11/14-5/6,0,,,
5,2310,1,141,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,2,189,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,3,471,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,4,519,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,5,801,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,6,1131,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,7,1179,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,8,1509,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,9,1791,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,10,1839,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,11,2121,7/13,6,13,1,1/44,1/44,3/4-17/22,1,10,1/52,1/52
5,2310,12,2169,7/13,6,13,1,1/44,1/44,5/22-1/4,1,3,1/52,1/52
5,2310,13,99,5/9,6,13,1,1/28,1/28,3/14-1/4,1,3,1/52,1/52
5,2310,14,111,5/9,6,13,1,1/28,1/28,3/4-11/14,1,10,1/52,1/52
5,2310,15,309,5/9,6,13,1,1/28,1/28,3/14-1/4,1,3,1/52,1/52
5,2310,16,321,5/9,6,13,1,1/28,1/28,3/4-11/14,1,10,1/52,1/52
5,2310,17,531,5/9,6,13,1,1/28,1/28,3/4-11/14,1,10,1/52,1/52
5,2310,18,603,5/9,6,13,2,9/154,1/28,3/14-1/4;3/4-17/22,0,,,
5,2310,19,729,5/9,6,13,1,1/77,1/77,3/14-5/22,1,3,2/91,2/91
5,2310,20,741,5/9,6,13,1,1/28,1/28,3/4-11/14,1,10,1/52,1/52
