diagnostic,scope,population,stratum_kind,stratum,family_count,lift_count,close_count,birth_count,close_rate,birth_rate,observed_share,note
close_child_gcd_by_scope,B4_to_B5_full,close,child_gcd,gcd=2,10,10,10,10,1,1,5/7,final child gcd among close/birth lifts
close_child_gcd_by_scope,B4_to_B5_full,close,child_gcd,gcd=3,2,2,2,2,1,1,1/7,final child gcd among close/birth lifts
close_child_gcd_by_scope,B4_to_B5_full,close,child_gcd,gcd=14,2,2,2,2,1,1,1/7,final child gcd among close/birth lifts
close_child_gcd_by_scope,B5_to_B6_full,close,child_gcd,gcd=2,8,8,8,8,1,1,4/21,final child gcd among close/birth lifts
close_child_gcd_by_scope,B5_to_B6_full,close,child_gcd,gcd=3,28,28,28,28,1,1,2/3,final child gcd among close/birth lifts
close_child_gcd_by_scope,B5_to_B6_full,close,child_gcd,gcd=10,2,2,2,2,1,1,1/21,final child gcd among close/birth lifts
close_child_gcd_by_scope,B5_to_B6_full,close,child_gcd,gcd=21,2,2,2,2,1,1,1/21,final child gcd among close/birth lifts
close_child_gcd_by_scope,B5_to_B6_full,close,child_gcd,gcd=33,2,2,2,2,1,1,1/21,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=2,144,144,144,144,1,1,24/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=3,410,410,410,410,1,1,205/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=5,6,6,6,6,1,1,1/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=10,6,6,6,6,1,1,1/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=11,2,2,2,2,1,1,1/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=14,18,18,18,18,1,1,3/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=15,6,6,6,6,1,1,1/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=21,40,40,40,40,1,1,20/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=22,12,12,12,12,1,1,2/119,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=26,2,2,2,2,1,1,1/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=33,32,32,32,32,1,1,16/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=39,28,28,28,28,1,1,2/51,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=154,2,2,2,2,1,1,1/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=231,2,2,2,2,1,1,1/357,final child gcd among close/birth lifts
close_child_gcd_by_scope,B6_to_B7_full,close,child_gcd,gcd=273,2,2,2,2,1,1,1/357,final child gcd among close/birth lifts
