parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
4,5,210,2310,0,0,11,0,1,1/4-3/4,0-1/22;21/22-1,0,1,1/4-3/4,not_close,False
4,5,210,2310,0,210,11,1,1,1/4-3/4,1/22-3/22,0,1,1/4-3/4,not_close,False
4,5,210,2310,0,420,11,2,1,1/4-3/4,3/22-5/22,0,1,1/4-3/4,not_close,False
4,5,210,2310,0,630,11,3,1,1/4-3/4,5/22-7/22,0,1,7/22-3/4,not_close,False
4,5,210,2310,0,840,11,4,1,1/4-3/4,7/22-9/22,0,2,1/4-7/22;9/22-3/4,not_close,False
4,5,210,2310,0,1050,11,5,1,1/4-3/4,9/22-1/2,0,2,1/4-9/22;1/2-3/4,not_close,False
4,5,210,2310,0,1260,11,6,1,1/4-3/4,1/2-13/22,0,2,1/4-1/2;13/22-3/4,not_close,False
4,5,210,2310,0,1470,11,7,1,1/4-3/4,13/22-15/22,0,2,1/4-13/22;15/22-3/4,not_close,False
4,5,210,2310,0,1680,11,8,1,1/4-3/4,15/22-17/22,0,1,1/4-15/22,not_close,False
4,5,210,2310,0,1890,11,9,1,1/4-3/4,17/22-19/22,0,1,1/4-3/4,not_close,False
4,5,210,2310,0,2100,11,10,1,1/4-3/4,19/22-21/22,0,1,1/4-3/4,not_close,False
4,5,210,2310,1,1,11,1,1,3/4-1/14,1/22-3/22,0,2,3/4-1;0-1/22,not_close,False
4,5,210,2310,1,211,11,2,1,3/4-1/14,3/22-5/22,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,421,11,3,1,3/4-1/14,5/22-7/22,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,631,11,4,1,3/4-1/14,7/22-9/22,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,841,11,5,1,3/4-1/14,9/22-1/2,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,1051,11,6,1,3/4-1/14,1/2-13/22,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,1261,11,7,1,3/4-1/14,13/22-15/22,0,2,3/4-1;0-1/14,not_close,False
4,5,210,2310,1,1471,11,8,1,3/4-1/14,15/22-17/22,0,2,17/22-1;0-1/14,not_close,False
4,5,210,2310,1,1681,11,9,1,3/4-1/14,17/22-19/22,0,3,3/4-17/22;19/22-1;0-1/14,not_close,False
4,5,210,2310,1,1891,11,10,1,3/4-1/14,19/22-21/22,0,3,3/4-19/22;21/22-1;0-1/14,not_close,False
