parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
5,6,2310,30030,0,0,13,0,1,1/4-3/4,0-1/26;25/26-1,0,1,1/4-3/4,not_close,False
5,6,2310,30030,0,2310,13,9,1,1/4-3/4,17/26-19/26,0,2,1/4-17/26;19/26-3/4,not_close,False
5,6,2310,30030,0,4620,13,5,1,1/4-3/4,9/26-11/26,0,2,1/4-9/26;11/26-3/4,not_close,False
5,6,2310,30030,0,6930,13,1,1,1/4-3/4,1/26-3/26,0,1,1/4-3/4,not_close,False
5,6,2310,30030,0,9240,13,10,1,1/4-3/4,19/26-21/26,0,1,1/4-19/26,not_close,False
5,6,2310,30030,0,11550,13,6,1,1/4-3/4,11/26-1/2,0,2,1/4-11/26;1/2-3/4,not_close,False
5,6,2310,30030,0,13860,13,2,1,1/4-3/4,3/26-5/26,0,1,1/4-3/4,not_close,False
5,6,2310,30030,0,16170,13,11,1,1/4-3/4,21/26-23/26,0,1,1/4-3/4,not_close,False
5,6,2310,30030,0,18480,13,7,1,1/4-3/4,1/2-15/26,0,2,1/4-1/2;15/26-3/4,not_close,False
5,6,2310,30030,0,20790,13,3,1,1/4-3/4,5/26-7/26,0,1,7/26-3/4,not_close,False
5,6,2310,30030,0,23100,13,12,1,1/4-3/4,23/26-25/26,0,1,1/4-3/4,not_close,False
5,6,2310,30030,0,25410,13,8,1,1/4-3/4,15/26-17/26,0,2,1/4-15/26;17/26-3/4,not_close,False
5,6,2310,30030,0,27720,13,4,1,1/4-3/4,7/26-9/26,0,2,1/4-7/26;9/26-3/4,not_close,False
5,6,2310,30030,1,1,13,1,1,3/4-1/22,1/26-3/26,0,2,0-1/26;3/4-1,not_close,False
5,6,2310,30030,1,2311,13,10,1,3/4-1/22,19/26-21/26,0,2,0-1/22;21/26-1,not_close,False
5,6,2310,30030,1,4621,13,6,1,3/4-1/22,11/26-1/2,0,2,0-1/22;3/4-1,not_close,False
5,6,2310,30030,1,6931,13,2,1,3/4-1/22,3/26-5/26,0,2,0-1/22;3/4-1,not_close,False
5,6,2310,30030,1,9241,13,11,1,3/4-1/22,21/26-23/26,0,3,0-1/22;3/4-21/26;23/26-1,not_close,False
5,6,2310,30030,1,11551,13,7,1,3/4-1/22,1/2-15/26,0,2,0-1/22;3/4-1,not_close,False
5,6,2310,30030,1,13861,13,3,1,3/4-1/22,5/26-7/26,0,2,0-1/22;3/4-1,not_close,False
5,6,2310,30030,1,16171,13,12,1,3/4-1/22,23/26-25/26,0,3,0-1/22;3/4-23/26;25/26-1,not_close,False
