parent_k,child_k,parent_modulus,child_modulus,parent_residue,child_residue,new_prime,new_prime_remainder,old_gap_count,old_gap_boundary_endpoints,new_prime_closed_arc_boundary_endpoints,closed_gap_count,remaining_gap_count,remaining_gap_boundary_endpoints,transition_type,is_b5_birth
6,7,30030,510510,88,88,17,3,1,7/10-19/26,5/34-7/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,30118,17,11,1,7/10-19/26,21/34-23/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,60148,17,2,1,7/10-19/26,3/34-5/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,90178,17,10,1,7/10-19/26,19/34-21/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,120208,17,1,1,7/10-19/26,1/34-3/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,150238,17,9,1,7/10-19/26,1/2-19/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,180268,17,0,1,7/10-19/26,0-1/34;33/34-1,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,210298,17,8,1,7/10-19/26,15/34-1/2,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,240328,17,16,1,7/10-19/26,31/34-33/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,270358,17,7,1,7/10-19/26,13/34-15/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,300388,17,15,1,7/10-19/26,29/34-31/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,330418,17,6,1,7/10-19/26,11/34-13/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,360448,17,14,1,7/10-19/26,27/34-29/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,390478,17,5,1,7/10-19/26,9/34-11/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,420508,17,13,1,7/10-19/26,25/34-27/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,450538,17,4,1,7/10-19/26,7/34-9/34,0,1,7/10-19/26,not_close,False
6,7,30030,510510,88,480568,17,12,1,7/10-19/26,23/34-25/34,1,0,,close,True
6,7,30030,510510,99,99,17,14,1,3/14-1/4,27/34-29/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,30129,17,5,1,3/14-1/4,9/34-11/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,60159,17,13,1,3/14-1/4,25/34-27/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,90189,17,4,1,3/14-1/4,7/34-9/34,1,0,,close,True
6,7,30030,510510,99,120219,17,12,1,3/14-1/4,23/34-25/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,150249,17,3,1,3/14-1/4,5/34-7/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,180279,17,11,1,3/14-1/4,21/34-23/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,210309,17,2,1,3/14-1/4,3/34-5/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,240339,17,10,1,3/14-1/4,19/34-21/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,270369,17,1,1,3/14-1/4,1/34-3/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,300399,17,9,1,3/14-1/4,1/2-19/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,330429,17,0,1,3/14-1/4,0-1/34;33/34-1,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,360459,17,8,1,3/14-1/4,15/34-1/2,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,390489,17,16,1,3/14-1/4,31/34-33/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,420519,17,7,1,3/14-1/4,13/34-15/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,450549,17,15,1,3/14-1/4,29/34-31/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,99,480579,17,6,1,3/14-1/4,11/34-13/34,0,1,3/14-1/4,not_close,False
6,7,30030,510510,111,111,17,9,1,3/4-11/14,1/2-19/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,30141,17,0,1,3/4-11/14,0-1/34;33/34-1,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,60171,17,8,1,3/4-11/14,15/34-1/2,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,90201,17,16,1,3/4-11/14,31/34-33/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,120231,17,7,1,3/4-11/14,13/34-15/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,150261,17,15,1,3/4-11/14,29/34-31/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,180291,17,6,1,3/4-11/14,11/34-13/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,210321,17,14,1,3/4-11/14,27/34-29/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,240351,17,5,1,3/4-11/14,9/34-11/34,0,1,3/4-11/14,not_close,False
6,7,30030,510510,111,270381,17,13,1,3/4-11/14,25/34-27/34,1,0,,close,True
