birth_k,birth_residue,birth_parent_residue,birth_new_prime,birth_new_prime_remainder,layer_k,layer_prime,layer_modulus,layer_residue,residue_gcd_with_modulus,zero_center_available,origin_component_present,residual_component_count,uncovered_measure_fraction,residual_component_endpoints,transition_label,transition_component_delta,transition_touched_component_count,transition_closed_component_count,is_final_birth_layer,is_zero_residual_state
5,118,118,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,118,118,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,118,118,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
5,118,118,11,8,4,7,210,118,2,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,118,118,11,8,5,11,2310,118,2,True,False,0,0,,close,-1,1,1,True,True
5,448,28,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,448,28,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,448,28,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
5,448,28,11,8,4,7,210,28,14,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,448,28,11,8,5,11,2310,448,14,True,False,0,0,,close,-1,1,1,True,True
5,542,122,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,542,122,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,542,122,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,542,122,11,3,4,7,210,122,2,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,542,122,11,3,5,11,2310,542,2,True,False,0,0,,close,-1,1,1,True,True
5,778,148,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,778,148,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,778,148,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
5,778,148,11,8,4,7,210,148,2,True,False,1,1/20,7/10-3/4,miss,0,0,0,False,False
5,778,148,11,8,5,11,2310,778,2,True,False,0,0,,close,-1,1,1,True,True
5,849,9,11,2,1,2,2,1,1,False,True,1,1/2,3/4-1/4,start,0,0,0,False,False
5,849,9,11,2,2,3,6,3,3,True,False,2,1/6,1/6-1/4;3/4-5/6,split,1,1,0,False,False
5,849,9,11,2,3,5,30,9,3,True,False,1,1/12,1/6-1/4,partial_close,-1,1,1,False,False
5,849,9,11,2,4,7,210,9,3,True,False,1,1/21,1/6-3/14,trim,0,1,0,False,False
5,849,9,11,2,5,11,2310,849,3,True,False,0,0,,close,-1,1,1,True,True
5,872,32,11,3,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,872,32,11,3,2,3,6,2,2,True,False,1,1/4,1/4-1/2,trim,0,1,0,False,False
5,872,32,11,3,3,5,30,2,2,True,False,1,1/20,1/4-3/10,trim,0,1,0,False,False
5,872,32,11,3,4,7,210,32,2,True,False,1,1/20,1/4-3/10,miss,0,0,0,False,False
5,872,32,11,3,5,11,2310,872,2,True,False,0,0,,close,-1,1,1,True,True
5,1108,58,11,8,1,2,2,0,2,True,False,1,1/2,1/4-3/4,start,0,0,0,False,False
5,1108,58,11,8,2,3,6,4,2,True,False,1,1/4,1/2-3/4,trim,0,1,0,False,False
5,1108,58,11,8,3,5,30,28,2,True,False,1,1/20,7/10-3/4,trim,0,1,0,False,False
