birth_k,birth_residue,parent_residue,new_prime,new_prime_remainder,prefinal_gap_count,prefinal_gap_endpoints,prefinal_gap_width,new_arc_width,aperture_margin,containment_margin
5,118,118,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,448,28,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,542,122,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
5,778,148,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,849,9,11,2,1,1/6-3/14,1/21,1/11,10/231,1/77
5,872,32,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
5,1108,58,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,1202,152,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
5,1438,178,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,1461,201,11,9,1,11/14-5/6,1/21,1/11,10/231,1/77
5,1532,62,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
5,1768,88,11,8,1,7/10-3/4,1/20,1/11,9/220,1/55
5,1862,182,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
5,2192,92,11,3,1,1/4-3/10,1/20,1/11,9/220,1/55
6,939,939,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,1791,1791,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,2140,2140,13,8,1,13/22-9/14,4/77,1/13,25/1001,1/91
6,2499,189,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,3669,1359,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,3866,1556,13,5,1,5/14-9/22,4/77,1/13,25/1001,1/91
6,4521,2211,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,6296,1676,13,4,1,3/10-7/22,1/55,1/13,42/715,4/143
6,6399,1779,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,6789,2169,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,7251,321,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,8146,1216,13,8,1,13/22-9/14,4/77,1/13,25/1001,1/91
6,9129,2199,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,9981,741,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,10371,1131,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,11079,1839,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,11859,309,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,12711,1161,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,14152,292,13,8,1,13/22-9/14,4/77,1/13,25/1001,1/91
6,14589,729,13,3,1,3/14-5/22,1/77,1/13,64/1001,2/91
6,14661,801,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,15369,1509,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,15441,1581,13,10,1,17/22-11/14,1/77,1/13,64/1001,2/91
6,15878,2018,13,5,1,5/14-9/22,4/77,1/13,25/1001,1/91
6,17319,1149,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,18171,2001,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,18951,471,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,19659,1179,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,20049,1569,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,20901,111,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,21884,1094,13,5,1,5/14-9/22,4/77,1/13,25/1001,1/91
6,22779,1989,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,23241,141,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,23631,531,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,23734,634,13,9,1,15/22-7/10,1/55,1/13,42/715,4/143
6,25509,99,13,3,1,3/14-1/4,1/28,1/13,15/364,1/52
6,26164,754,13,8,1,13/22-9/14,4/77,1/13,25/1001,1/91
6,26361,951,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
6,27531,2121,13,10,1,3/4-17/22,1/44,1/13,31/572,1/52
6,27890,170,13,5,1,5/14-9/22,4/77,1/13,25/1001,1/91
6,28239,519,13,3,1,5/22-1/4,1/44,1/13,31/572,1/52
6,29091,1371,13,10,1,3/4-11/14,1/28,1/13,15/364,1/52
7,1245,1245,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,1329,1329,17,3,1,1/6-5/26,1/39,1/17,22/663,3/221
7,2121,2121,17,13,1,3/4-17/22,1/44,1/17,27/748,1/68
7,2631,2631,17,13,1,3/4-11/14,1/28,1/17,11/476,1/119
7,3208,3208,17,12,1,7/10-19/26,2/65,1/17,31/1105,1/221
7,3422,3422,17,5,1,7/26-3/10,2/65,1/17,31/1105,1/221
7,3489,3489,17,4,1,5/22-1/4,1/44,1/17,27/748,1/68
7,4509,4509,17,4,1,3/14-1/4,1/28,1/17,11/476,1/119
