birth_k,layer_k,new_prime,new_prime_remainder,center_fraction,center_degrees,transition_label,row_count,reflected_remainder,reflected_row_count,reflection_pair_count
5,1,2,0,0,0,start,12,0,12,24
5,1,2,1,1/2,180,start,2,1,2,4
5,2,3,0,0,0,split,2,0,2,4
5,2,3,1,1/3,120,trim,6,2,6,12
5,2,3,2,2/3,240,trim,6,1,6,12
5,3,5,1,1/5,72,partial_close,1,4,1,2
5,3,5,2,2/5,144,trim,6,3,6,12
5,3,5,3,3/5,216,trim,6,2,6,12
5,3,5,4,4/5,288,partial_close,1,1,1,2
5,4,7,0,0,0,miss,2,0,2,4
5,4,7,1,1/7,360/7,miss,2,6,2,4
5,4,7,2,2/7,720/7,miss,1,5,1,2
5,4,7,2,2/7,720/7,trim,1,5,1,2
5,4,7,3,3/7,1080/7,miss,2,4,2,4
5,4,7,4,4/7,1440/7,miss,2,3,2,4
5,4,7,5,5/7,1800/7,miss,1,2,1,2
5,4,7,5,5/7,1800/7,trim,1,2,1,2
5,4,7,6,6/7,2160/7,miss,2,1,2,4
5,5,11,2,2/11,720/11,close,1,9,1,2
5,5,11,3,3/11,1080/11,close,6,8,6,12
5,5,11,8,8/11,2880/11,close,6,3,6,12
5,5,11,9,9/11,3240/11,close,1,2,1,2
6,1,2,0,0,0,start,10,0,10,20
6,1,2,1,1/2,180,start,32,1,32,64
6,2,3,0,0,0,split,32,0,32,64
6,2,3,1,1/3,120,trim,5,2,5,10
6,2,3,2,2/3,240,trim,5,1,5,10
6,3,5,0,0,0,miss,2,0,2,4
6,3,5,1,1/5,72,miss,1,4,1,2
6,3,5,1,1/5,72,partial_close,16,4,16,32
6,3,5,1,1/5,72,trim,2,4,2,4
6,3,5,2,2/5,144,miss,1,3,1,2
6,3,5,3,3/5,216,miss,1,2,1,2
6,3,5,4,4/5,288,miss,1,1,1,2
6,3,5,4,4/5,288,partial_close,16,1,16,32
6,3,5,4,4/5,288,trim,2,1,2,4
6,4,7,0,0,0,miss,2,0,2,4
6,4,7,1,1/7,360/7,miss,1,6,1,2
6,4,7,1,1/7,360/7,trim,11,6,11,22
6,4,7,2,2/7,720/7,miss,1,5,1,2
6,4,7,2,2/7,720/7,trim,4,5,4,8
6,4,7,3,3/7,1080/7,miss,2,4,2,4
6,4,7,3,3/7,1080/7,trim,1,4,1,2
6,4,7,4,4/7,1440/7,miss,2,3,2,4
6,4,7,4,4/7,1440/7,trim,1,3,1,2
6,4,7,5,5/7,1800/7,miss,1,2,1,2
6,4,7,5,5/7,1800/7,trim,4,2,4,8
6,4,7,6,6/7,2160/7,miss,1,1,1,2
6,4,7,6,6/7,2160/7,trim,11,1,11,22
6,5,11,0,0,0,miss,2,0,2,4
6,5,11,1,1/11,360/11,miss,2,10,2,4
6,5,11,2,2/11,720/11,miss,1,9,1,2
6,5,11,2,2/11,720/11,trim,6,9,6,12
6,5,11,3,3/11,1080/11,miss,1,8,1,2
6,5,11,3,3/11,1080/11,trim,1,8,1,2
6,5,11,4,4/11,1440/11,miss,2,7,2,4
6,5,11,4,4/11,1440/11,trim,1,7,1,2
6,5,11,5,5/11,1800/11,miss,2,6,2,4
6,5,11,5,5/11,1800/11,trim,4,6,4,8
6,5,11,6,6/11,2160/11,miss,2,5,2,4
6,5,11,6,6/11,2160/11,trim,4,5,4,8
6,5,11,7,7/11,2520/11,miss,2,4,2,4
6,5,11,7,7/11,2520/11,trim,1,4,1,2
6,5,11,8,8/11,2880/11,miss,1,3,1,2
6,5,11,8,8/11,2880/11,trim,1,3,1,2
6,5,11,9,9/11,3240/11,miss,1,2,1,2
6,5,11,9,9/11,3240/11,trim,6,2,6,12
6,5,11,10,10/11,3600/11,miss,2,1,2,4
6,6,13,3,3/13,1080/13,close,16,10,16,32
6,6,13,4,4/13,1440/13,close,1,9,1,2
6,6,13,5,5/13,1800/13,close,4,8,4,8
6,6,13,8,8/13,2880/13,close,4,5,4,8
6,6,13,9,9/13,3240/13,close,1,4,1,2
6,6,13,10,10/13,3600/13,close,16,3,16,32
7,1,2,0,0,0,start,184,0,184,368
7,1,2,1,1/2,180,start,530,1,530,1060
7,2,3,0,0,0,split,522,0,522,1044
7,2,3,1,1/3,120,trim,96,2,96,192
7,2,3,2,2/3,240,trim,96,1,96,192
7,3,5,0,0,0,miss,12,0,12,24
7,3,5,0,0,0,split,6,0,6,12
7,3,5,1,1/5,72,miss,3,4,3,6
7,3,5,1,1/5,72,partial_close,252,4,252,504
7,3,5,1,1/5,72,trim,24,4,24,48
7,3,5,2,2/5,144,miss,9,3,9,18
7,3,5,2,2/5,144,trim,60,3,60,120
7,3,5,3,3/5,216,miss,9,2,9,18
7,3,5,3,3/5,216,trim,60,2,60,120
7,3,5,4,4/5,288,miss,3,1,3,6
7,3,5,4,4/5,288,partial_close,252,1,252,504
7,3,5,4,4/5,288,trim,24,1,24,48
7,4,7,0,0,0,miss,64,0,64,128
7,4,7,1,1/7,360/7,miss,42,6,42,84
7,4,7,1,1/7,360/7,partial_close,1,6,1,2
7,4,7,1,1/7,360/7,trim,141,6,141,282
7,4,7,2,2/7,720/7,miss,32,5,32,64
7,4,7,2,2/7,720/7,trim,17,5,17,34
7,4,7,3,3/7,1080/7,miss,64,4,64,128
7,4,7,3,3/7,1080/7,trim,28,4,28,56
7,4,7,4,4/7,1440/7,miss,64,3,64,128
7,4,7,4,4/7,1440/7,trim,28,3,28,56
7,4,7,5,5/7,1800/7,miss,32,2,32,64
7,4,7,5,5/7,1800/7,trim,17,2,17,34
7,4,7,6,6/7,2160/7,miss,42,1,42,84
7,4,7,6,6/7,2160/7,partial_close,1,1,1,2
7,4,7,6,6/7,2160/7,trim,141,1,141,282
7,5,11,0,0,0,miss,50,0,50,100
7,5,11,0,0,0,split,2,0,2,4
7,5,11,1,1/11,360/11,miss,50,10,50,100
7,5,11,1,1/11,360/11,trim,1,10,1,2
7,5,11,2,2/11,720/11,miss,32,9,32,64
7,5,11,2,2/11,720/11,partial_close,3,9,3,6
