scope,birth_parent_residue,child_residue,new_prime_remainder,is_birth,is_close,final_transition_label,transition_sequence,component_delta_sequence,phase_remainder_sequence
B5_birth_parent_siblings,9,9,9,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>9
B5_birth_parent_siblings,9,219,10,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>10
B5_birth_parent_siblings,9,429,0,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>0
B5_birth_parent_siblings,9,639,1,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>1
B5_birth_parent_siblings,9,849,2,True,True,close,start>split>partial_close>trim>close,0>1>-1>0>-1,1>0>4>2>2
B5_birth_parent_siblings,9,1059,3,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>3
B5_birth_parent_siblings,9,1269,4,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>4
B5_birth_parent_siblings,9,1479,5,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>5
B5_birth_parent_siblings,9,1689,6,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>6
B5_birth_parent_siblings,9,1899,7,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>7
B5_birth_parent_siblings,9,2109,8,False,False,miss,start>split>partial_close>trim>miss,0>1>-1>0>0,1>0>4>2>8
B5_birth_parent_siblings,28,28,6,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>6
B5_birth_parent_siblings,28,238,7,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>7
B5_birth_parent_siblings,28,448,8,True,True,close,start>trim>trim>miss>close,0>0>0>0>-1,0>1>3>0>8
B5_birth_parent_siblings,28,658,9,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>9
B5_birth_parent_siblings,28,868,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>10
B5_birth_parent_siblings,28,1078,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>0
B5_birth_parent_siblings,28,1288,1,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>1
B5_birth_parent_siblings,28,1498,2,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>2
B5_birth_parent_siblings,28,1708,3,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>3
B5_birth_parent_siblings,28,1918,4,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>4
B5_birth_parent_siblings,28,2128,5,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>1>3>0>5
B5_birth_parent_siblings,32,32,10,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>4>10
B5_birth_parent_siblings,32,242,0,False,False,miss,start>trim>trim>miss>miss,0>0>0>0>0,0>2>2>4>0
