sample_residue,sample_previous_prefix_uncovered_measure,in_aperture_orbit_32,matching_parent_residue,matching_lift_remainder,calibration_role
290,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
1772,0.004524886877828055,False,-1,-1,sample_overlap_only_not_recall
2912,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
3891,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
5638,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
6130,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
6778,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
6939,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
9182,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
9874,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
13048,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
13075,0.0196078431372549,False,-1,-1,sample_overlap_only_not_recall
14864,0.0053475935828877,False,-1,-1,sample_overlap_only_not_recall
19696,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
20458,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
21581,0.030303030303030304,False,-1,-1,sample_overlap_only_not_recall
22292,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
22835,0.030303030303030304,False,-1,-1,sample_overlap_only_not_recall
24002,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
25834,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
26158,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
27868,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
29239,0.011764705882352941,False,-1,-1,sample_overlap_only_not_recall
30832,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
31412,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
31982,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
34016,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
35241,0.03496503496503497,False,-1,-1,sample_overlap_only_not_recall
35848,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
38768,0.03208556149732621,False,-1,-1,sample_overlap_only_not_recall
38859,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
39999,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
41511,0.0213903743315508,False,-1,-1,sample_overlap_only_not_recall
41672,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
41996,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
43600,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
45538,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
45574,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
46232,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
46269,0.03496503496503497,False,-1,-1,sample_overlap_only_not_recall
47781,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
50061,0.013574660633484163,False,-1,-1,sample_overlap_only_not_recall
50098,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
53642,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
57508,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
58166,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
60891,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
61052,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
64881,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
64918,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
64945,0.030303030303030304,False,-1,-1,sample_overlap_only_not_recall
65079,0.0213903743315508,False,-1,-1,sample_overlap_only_not_recall
65576,0.03619909502262444,False,-1,-1,sample_overlap_only_not_recall
70742,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
72328,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
74608,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
75872,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
77906,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
79738,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
83282,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
83889,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
84298,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
90122,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
90692,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
90729,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
91671,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
93664,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
93988,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
94558,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
97444,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
97654,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
98102,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
99812,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
101680,0.013986013986013986,False,-1,-1,sample_overlap_only_not_recall
101968,0.019230769230769232,True,101968,14,sample_overlap_only_not_recall
103678,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
105512,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
105965,0.015384615384615385,False,-1,-1,sample_overlap_only_not_recall
107715,0.0213903743315508,False,-1,-1,sample_overlap_only_not_recall
109378,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
109826,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
110036,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
112922,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
113368,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
114404,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
116751,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
116788,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
118192,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
119192,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
120164,0.01809954751131222,False,-1,-1,sample_overlap_only_not_recall
121796,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
126548,0.013986013986013986,False,-1,-1,sample_overlap_only_not_recall
127742,0.004524886877828055,False,-1,-1,sample_overlap_only_not_recall
127779,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
128721,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
128882,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
129530,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
131608,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
132748,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
134362,0.0053475935828877,False,-1,-1,sample_overlap_only_not_recall
135152,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
138572,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
141544,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
142562,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
142599,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
146428,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
148101,0.0213903743315508,False,-1,-1,sample_overlap_only_not_recall
149314,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
149972,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
152128,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
153838,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
157382,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
161248,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
161494,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
161906,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
164792,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
165686,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
167642,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
168621,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
168658,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
168922,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
170228,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
171508,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
171669,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
176068,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
177332,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
177656,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
179451,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
179612,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
181198,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
183478,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
185434,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
187022,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
187994,0.03208556149732621,False,-1,-1,sample_overlap_only_not_recall
194432,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
194469,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
196551,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
196712,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
198261,0.03496503496503497,False,-1,-1,sample_overlap_only_not_recall
198298,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
200578,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
201184,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
201879,0.013574660633484163,False,-1,-1,sample_overlap_only_not_recall
206402,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
207190,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
209252,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
209289,0.03496503496503497,False,-1,-1,sample_overlap_only_not_recall
209576,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
210268,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
210429,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
213118,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
213776,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
215559,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
215794,0.013986013986013986,False,-1,-1,sample_overlap_only_not_recall
216662,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
219958,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
220491,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
220528,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
223341,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
224150,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
225782,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
227938,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
228518,0.004524886877828055,False,-1,-1,sample_overlap_only_not_recall
229324,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
229648,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
231482,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
232306,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
232552,0.01809954751131222,False,-1,-1,sample_overlap_only_not_recall
235348,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
238892,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
239338,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
245162,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
245486,0.023529411764705882,False,-1,-1,sample_overlap_only_not_recall
246302,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
246339,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
249028,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
250168,0.004524886877828055,False,-1,-1,sample_overlap_only_not_recall
253054,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
253466,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
253712,0.004524886877828055,False,-1,-1,sample_overlap_only_not_recall
254691,0.0213903743315508,False,-1,-1,sample_overlap_only_not_recall
254852,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
257578,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
259449,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
259684,0.03208556149732621,False,-1,-1,sample_overlap_only_not_recall
261122,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
264381,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
264988,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
265646,0.01098901098901099,False,-1,-1,sample_overlap_only_not_recall
267231,0.012987012987012988,False,-1,-1,sample_overlap_only_not_recall
268532,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
272361,0.02197802197802198,False,-1,-1,sample_overlap_only_not_recall
272398,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
273214,0.01818181818181818,False,-1,-1,sample_overlap_only_not_recall
274232,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
278098,0.014705882352941176,False,-1,-1,sample_overlap_only_not_recall
278259,0.008403361344537815,False,-1,-1,sample_overlap_only_not_recall
278756,0.025210084033613446,False,-1,-1,sample_overlap_only_not_recall
279771,0.03496503496503497,False,-1,-1,sample_overlap_only_not_recall
279808,0.019230769230769232,False,-1,-1,sample_overlap_only_not_recall
