selection_group,parent_residue,lift_remainder,child_residue,transition_label,phase_margin,phase_rank,aperture_tension,obstruction_bucket
capacity_top_200,170,0,9189350,miss,-80/209,15,80/209,pure_miss
capacity_top_200,170,1,8678840,miss,-69/209,13,69/209,pure_miss
capacity_top_200,170,2,8168330,miss,-58/209,11,58/209,pure_miss
capacity_top_200,170,3,7657820,miss,-47/209,9,47/209,pure_miss
capacity_top_200,170,4,7147310,miss,-36/209,7,36/209,pure_miss
capacity_top_200,170,5,6636800,miss,-25/209,5,25/209,pure_miss
capacity_top_200,170,6,6126290,miss,-14/209,3,14/209,pure_miss
capacity_top_200,170,7,5615780,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,170,8,5105270,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,170,9,4594760,miss,-12/133,4,12/133,pure_miss
capacity_top_200,170,10,4084250,miss,-1/7,6,1/7,pure_miss
capacity_top_200,170,11,3573740,miss,-26/133,8,26/133,pure_miss
capacity_top_200,170,12,3063230,miss,-33/133,10,33/133,pure_miss
capacity_top_200,170,13,2552720,miss,-40/133,12,40/133,pure_miss
capacity_top_200,170,14,2042210,miss,-47/133,14,47/133,pure_miss
capacity_top_200,170,15,1531700,miss,-54/133,16,54/133,pure_miss
capacity_top_200,170,16,1021190,miss,-61/133,18,61/133,pure_miss
capacity_top_200,170,17,510680,miss,-102/209,19,102/209,pure_miss
capacity_top_200,170,18,170,miss,-91/209,17,91/209,pure_miss
capacity_top_200,292,0,3573862,miss,-80/209,15,80/209,pure_miss
capacity_top_200,292,1,3063352,miss,-91/209,17,91/209,pure_miss
capacity_top_200,292,2,2552842,miss,-102/209,19,102/209,pure_miss
capacity_top_200,292,3,2042332,miss,-61/133,18,61/133,pure_miss
capacity_top_200,292,4,1531822,miss,-54/133,16,54/133,pure_miss
capacity_top_200,292,5,1021312,miss,-47/133,14,47/133,pure_miss
capacity_top_200,292,6,510802,miss,-40/133,12,40/133,pure_miss
capacity_top_200,292,7,292,miss,-33/133,10,33/133,pure_miss
capacity_top_200,292,8,9189472,miss,-26/133,8,26/133,pure_miss
capacity_top_200,292,9,8678962,miss,-1/7,6,1/7,pure_miss
capacity_top_200,292,10,8168452,miss,-12/133,4,12/133,pure_miss
capacity_top_200,292,11,7657942,trim,-5/133,2,5/133,wrong_side_trim
capacity_top_200,292,12,7147432,trim,-3/209,1,3/209,wrong_side_trim
capacity_top_200,292,13,6636922,miss,-14/209,3,14/209,pure_miss
capacity_top_200,292,14,6126412,miss,-25/209,5,25/209,pure_miss
capacity_top_200,292,15,5615902,miss,-36/209,7,36/209,pure_miss
capacity_top_200,292,16,5105392,miss,-47/209,9,47/209,pure_miss
capacity_top_200,292,17,4594882,miss,-58/209,11,58/209,pure_miss
capacity_top_200,292,18,4084372,miss,-69/209,13,69/209,pure_miss
capacity_top_200,754,0,6637384,miss,-80/209,15,80/209,pure_miss
capacity_top_200,754,1,6126874,miss,-91/209,17,91/209,pure_miss
capacity_top_200,754,2,5616364,miss,-102/209,19,102/209,pure_miss
capacity_top_200,754,3,5105854,miss,-61/133,18,61/133,pure_miss
capacity_top_200,754,4,4595344,miss,-54/133,16,54/133,pure_miss
