parent_rank,source_lineage_id,source_lineage_role,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,lift_remainder,child_residue,transition_label,component_delta,phase_margin,phase_rank,is_close
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,0,9189350,miss,0,-80/209,15,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,1,8678840,miss,0,-69/209,13,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,2,8168330,miss,0,-58/209,11,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,3,7657820,miss,0,-47/209,9,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,4,7147310,miss,0,-36/209,7,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,5,6636800,miss,0,-25/209,5,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,6,6126290,miss,0,-14/209,3,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,7,5615780,trim,0,-3/209,1,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,8,5105270,trim,0,-5/133,2,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,9,4594760,miss,0,-12/133,4,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,10,4084250,miss,0,-1/7,6,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,11,3573740,miss,0,-26/133,8,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,12,3063230,miss,0,-33/133,10,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,13,2552720,miss,0,-40/133,12,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,14,2042210,miss,0,-47/133,14,False
1,B7_birth_parent_siblings:capacity_nonclose_control:170:170,capacity_nonclose,170,1,4/77,4/77,15,1531700,miss,0,-54/133,16,False
