selection_groups,parent_rank,parent_residue,parent_component_count,parent_residual_measure,parent_max_component_width,best_lift_remainder,best_phase_margin,best_aperture_tension,best_transition_label,trim_lift_count,miss_lift_count,close_lift_count,positive_margin_lift_count,selection_failure_reason
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,1,375224,1,4/143,4/143,6,-1/247,1/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,2,137121,1,1/39,1/39,16,-2/247,2/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,3,168771,1,1/44,1/44,14,-2/209,2/209,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,4,182428,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,5,292982,1,3/85,3/85,5,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;near_zero_margin_200;orbit_diversity_400,6,504868,1,1/20,1/20,14,-1/95,1/95,trim,2,17,0,0,trim_but_margin_negative
aperture_frontier_top_400;hash_control_200;orbit_diversity_400,7,330040,1,1/52,1/52,14,1/76,-1/76,close,0,18,1,1,has_close_geometry
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,8,8156,1,3/65,3/65,6,-1/247,1/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,9,212045,1,2/55,2/55,17,-1/209,1/209,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,10,495299,1,5/77,5/77,2,-1/133,1/133,split,2,16,0,0,best_lift_miss
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,11,52101,1,1/39,1/39,16,-2/247,2/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,12,226821,1,1/39,1/39,16,-2/247,2/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,13,236961,1,1/39,1/39,16,-2/247,2/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,14,357789,1,1/39,1/39,3,-2/247,2/247,trim,2,17,0,0,near_underreach
aperture_frontier_top_400;near_zero_margin_200;orbit_diversity_400,15,461211,1,1/39,1/39,16,-2/247,2/247,trim,2,17,0,0,near_underreach
