parent_residue,child_residue,lift_remainder,sibling_role,phase_margin,aperture_tension,phase_rank,transition_label,component_delta,parent_uncovered_exact,child_covered_exact,child_projects_to_parent,parent_gap_count_exact,child_gap_count_exact,exact_b8_birth
12268,6648898,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
12268,6138388,1,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
12268,5627878,2,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
12268,5117368,3,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
12268,4606858,4,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
12268,4096348,5,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
12268,3585838,6,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
12268,3075328,7,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
12268,2564818,8,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
12268,2054308,9,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
12268,1543798,10,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
12268,1033288,11,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
12268,522778,12,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
12268,12268,13,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
12268,9201448,14,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
12268,8690938,15,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
12268,8180428,16,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
12268,7669918,17,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
12268,7159408,18,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
29462,6155582,0,sibling_nonbirth,-60/247,60/247,10,miss,0,True,False,True,1,1,False
29462,5645072,1,sibling_nonbirth,-47/247,47/247,8,miss,0,True,False,True,1,1,False
29462,5134562,2,sibling_nonbirth,-34/247,34/247,6,miss,0,True,False,True,1,1,False
29462,4624052,3,sibling_nonbirth,-21/247,21/247,4,miss,0,True,False,True,1,1,False
29462,4113542,4,sibling_nonbirth,-8/247,8/247,2,miss,0,True,False,True,1,1,False
29462,3603032,5,birth_close,1/76,-1/76,1,close,-1,True,True,True,1,0,True
29462,3092522,6,sibling_nonbirth,-3/76,3/76,3,miss,0,True,False,True,1,1,False
29462,2582012,7,sibling_nonbirth,-7/76,7/76,5,miss,0,True,False,True,1,1,False
29462,2071502,8,sibling_nonbirth,-11/76,11/76,7,miss,0,True,False,True,1,1,False
29462,1560992,9,sibling_nonbirth,-15/76,15/76,9,miss,0,True,False,True,1,1,False
29462,1050482,10,sibling_nonbirth,-1/4,1/4,11,miss,0,True,False,True,1,1,False
29462,539972,11,sibling_nonbirth,-23/76,23/76,13,miss,0,True,False,True,1,1,False
29462,29462,12,sibling_nonbirth,-27/76,27/76,15,miss,0,True,False,True,1,1,False
29462,9218642,13,sibling_nonbirth,-31/76,31/76,17,miss,0,True,False,True,1,1,False
29462,8708132,14,sibling_nonbirth,-35/76,35/76,19,miss,0,True,False,True,1,1,False
29462,8197622,15,sibling_nonbirth,-112/247,112/247,18,miss,0,True,False,True,1,1,False
29462,7687112,16,sibling_nonbirth,-99/247,99/247,16,miss,0,True,False,True,1,1,False
29462,7176602,17,sibling_nonbirth,-86/247,86/247,14,miss,0,True,False,True,1,1,False
29462,6666092,18,sibling_nonbirth,-73/247,73/247,12,miss,0,True,False,True,1,1,False
41620,5146720,0,sibling_nonbirth,-98/247,98/247,16,miss,0,True,False,True,1,1,False
