scope,parent_residue,close_child_residue,near_miss_child_residue,close_remainder,near_miss_remainder,close_margin,near_miss_margin,margin_gap,close_rank,near_miss_rank,prefix_sequence_match,prefix_component_delta_match,close_prefinal_width,near_miss_prefinal_width,width_delta,reflection_pair_match
B5_birth_parent_siblings,9,849,1059,2,3,1/77,-2/33,17/231,1,2,True,True,1/21,1/21,0,False
B5_birth_parent_siblings,28,448,238,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,32,872,1082,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,58,1108,898,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,62,1532,1742,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,88,1768,1558,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,92,2192,92,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,118,118,2218,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,122,542,752,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,148,778,568,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,152,1202,1412,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,178,1438,1228,8,7,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,182,1862,2072,3,4,1/55,-3/44,19/220,1,2,True,True,1/20,1/20,0,False
B5_birth_parent_siblings,201,1461,1251,9,8,1/77,-2/33,17/231,1,2,True,True,1/21,1/21,0,False
B6_birth_parent_siblings,99,25509,2409,3,4,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,111,20901,13971,10,9,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,141,23241,16311,10,9,1/52,-6/143,35/572,1,2,True,True,1/44,1/44,0,False
B6_birth_parent_siblings,170,27890,20960,5,4,1/91,-9/143,74/1001,1,2,True,True,4/77,4/77,0,False
B6_birth_parent_siblings,189,2499,9429,3,4,1/52,-6/143,35/572,1,2,True,True,1/44,1/44,0,False
B6_birth_parent_siblings,292,14152,21082,8,9,1/91,-9/143,74/1001,1,2,True,True,4/77,4/77,0,False
B6_birth_parent_siblings,309,11859,18789,3,4,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,321,7251,321,10,9,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,471,18951,12021,10,9,1/52,-6/143,35/572,1,2,True,True,1/44,1/44,0,False
B6_birth_parent_siblings,519,28239,5139,3,4,1/52,-6/143,35/572,1,2,True,True,1/44,1/44,0,False
B6_birth_parent_siblings,531,23631,16701,10,9,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,634,23734,16804,9,8,4/143,-3/65,53/715,1,2,True,True,1/55,1/55,0,False
B6_birth_parent_siblings,729,14589,7659,3,2,2/91,-5/143,57/1001,1,2,True,True,1/77,1/77,0,False
B6_birth_parent_siblings,741,9981,3051,10,9,1/52,-5/91,27/364,1,2,True,True,1/28,1/28,0,False
B6_birth_parent_siblings,754,26164,3064,8,9,1/91,-9/143,74/1001,1,2,True,True,4/77,4/77,0,False
B6_birth_parent_siblings,801,14661,7731,10,9,1/52,-6/143,35/572,1,2,True,True,1/44,1/44,0,False
