section,scope,metric,value,note
historical_separator,B4_to_B5_full,family_count,208,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B4_to_B5_full,lift_count,2288,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B4_to_B5_full,close_count,14,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B4_to_B5_full,capacity_nonclose_families,14,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B4_to_B5_full,nonclose_positive_margin_count,0,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B5_to_B6_full,family_count,2274,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B5_to_B6_full,lift_count,29562,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B5_to_B6_full,close_count,42,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B5_to_B6_full,capacity_nonclose_families,182,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B5_to_B6_full,nonclose_positive_margin_count,0,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B6_to_B7_full,family_count,29520,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B6_to_B7_full,lift_count,501840,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B6_to_B7_full,close_count,714,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B6_to_B7_full,capacity_nonclose_families,2234,compact Gate P summary from aperture-orbit backtest scope table
historical_separator,B6_to_B7_full,nonclose_positive_margin_count,0,compact Gate P summary from aperture-orbit backtest scope table
historical_totals,all,close_or_birth_rows,770,checked historical B5/B6/B7 close or birth rows
historical_totals,all,capacity_nonclose_families,2430,checked capacity false-positive families
historical_totals,all,nonclose_positive_margin_rows,0,checked historical non-close positive-margin rows
exact_hull,B4_to_B5_full,hull_obstructed_multi_component_families,65,all checked multi-component parent residual sets are hull-obstructed
exact_hull,B5_to_B6_full,hull_obstructed_multi_component_families,913,all checked multi-component parent residual sets are hull-obstructed
exact_hull,B6_to_B7_full,hull_obstructed_multi_component_families,13785,all checked multi-component parent residual sets are hull-obstructed
obstruction_bucket,all,sibling_dominated,12068,finite diagnostic bucket count only
obstruction_bucket,all,split_history,6812,finite diagnostic bucket count only
obstruction_bucket,all,underreach,4036,finite diagnostic bucket count only
obstruction_bucket,all,wrong_side,29650,finite diagnostic bucket count only
B8_stress_control,selected_panel,selected_close_rows,32,selected stress-control sample only
B8_stress_control,selected_panel,sibling_nonbirth_controls,576,selected stress-control sample only
B8_stress_control,selected_panel,matched_nonbirth_controls,64,selected stress-control sample only
B8_stress_control,selected_panel,k8_sample_overlap,1,sample calibration only; not recall or coverage
