scope,lineage_role,transition_sequence,component_delta_sequence,lineage_count,close_count,nonclose_count,example_lineage_id,diagnostic_role
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>miss,0>1>-1>0>0,90,0,90,B5_birth_parent_siblings:capacity_nonclose_control:129:129,dominant
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>trim,0>1>-1>0>0,20,0,20,B5_birth_parent_siblings:capacity_nonclose_control:129:1179,dominant
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim>miss,0>1>-1>0>0,18,0,18,B5_birth_parent_siblings:capacity_nonclose_control:111:111,dominant
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim>trim,0>1>-1>0>0,4,0,4,B5_birth_parent_siblings:capacity_nonclose_control:111:1581,rare
B5_birth_parent_siblings,capacity_nonclose,start>trim>trim>trim>miss,0>0>0>0>0,18,0,18,B5_birth_parent_siblings:capacity_nonclose_control:206:1046,dominant
B5_birth_parent_siblings,capacity_nonclose,start>trim>trim>trim>trim,0>0>0>0>0,4,0,4,B5_birth_parent_siblings:capacity_nonclose_control:206:1466,rare
B5_birth_parent_siblings,close,start>split>partial_close>trim>close,0>1>-1>0>-1,2,2,0,B5_birth_parent_siblings:birth_parent_sibling:201:1461,dominant
B5_birth_parent_siblings,close,start>trim>trim>miss>close,0>0>0>0>-1,12,12,0,B5_birth_parent_siblings:birth_parent_sibling:118:118,dominant
B5_birth_parent_siblings,near_miss,start>split>partial_close>trim>miss,0>1>-1>0>0,2,0,2,B5_birth_parent_siblings:birth_parent_sibling:201:1251,dominant
B5_birth_parent_siblings,near_miss,start>trim>trim>miss>miss,0>0>0>0>0,12,0,12,B5_birth_parent_siblings:birth_parent_sibling:118:2218,dominant
B5_birth_parent_siblings,nonclose,start>split>partial_close>trim>miss,0>1>-1>0>0,18,0,18,B5_birth_parent_siblings:birth_parent_sibling:201:1041,dominant
B5_birth_parent_siblings,nonclose,start>trim>trim>miss>miss,0>0>0>0>0,108,0,108,B5_birth_parent_siblings:birth_parent_sibling:118:1168,dominant
B6_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>trim>miss,0>1>-1>0>0>0,110,0,110,B6_birth_parent_siblings:capacity_nonclose_control:1389:10629,rare
