scope,refined_obstruction,row_count,share_of_nonclose,note
all,none,770,0,refined source-only obstruction bucket
all,sibling_dominated,12068,6034/26283,refined source-only obstruction bucket
all,split_history,6812,3406/26283,refined source-only obstruction bucket
all,underreach,4036,2018/26283,refined source-only obstruction bucket
all,wrong_side,29650,14825/26283,refined source-only obstruction bucket
B5_birth_parent_siblings,none,14,0,refined source-only obstruction bucket
B5_birth_parent_siblings,sibling_dominated,140,10/21,refined source-only obstruction bucket
B5_birth_parent_siblings,split_history,132,22/49,refined source-only obstruction bucket
B5_birth_parent_siblings,underreach,4,2/147,refined source-only obstruction bucket
B5_birth_parent_siblings,wrong_side,18,3/49,refined source-only obstruction bucket
B6_birth_parent_siblings,none,42,0,refined source-only obstruction bucket
B6_birth_parent_siblings,sibling_dominated,504,36/205,refined source-only obstruction bucket
B6_birth_parent_siblings,split_history,390,39/287,refined source-only obstruction bucket
B6_birth_parent_siblings,underreach,304,152/1435,refined source-only obstruction bucket
B6_birth_parent_siblings,wrong_side,1672,836/1435,refined source-only obstruction bucket
B7_birth_parent_siblings,none,714,0,refined source-only obstruction bucket
B7_birth_parent_siblings,sibling_dominated,11424,336/1453,refined source-only obstruction bucket
B7_birth_parent_siblings,split_history,6290,185/1453,refined source-only obstruction bucket
B7_birth_parent_siblings,underreach,3728,1864/24701,refined source-only obstruction bucket
B7_birth_parent_siblings,wrong_side,27960,13980/24701,refined source-only obstruction bucket
