scope,prefix_transition_sequence,lineage_count,close_count,baseline_close_rate,prefix_close_rate,enrichment_ratio,dominant_role
B5_birth_parent_siblings,start>split>partial_close>miss,110,0,1/22,0,0,capacity_nonclose
B5_birth_parent_siblings,start>split>partial_close>trim,44,2,1/22,1/22,1,capacity_nonclose
B5_birth_parent_siblings,start>trim>trim>miss,132,12,1/22,1/11,2,nonclose
B5_birth_parent_siblings,start>trim>trim>trim,22,0,1/22,0,0,capacity_nonclose
B6_birth_parent_siblings,start>split>partial_close>miss>trim,260,10,3/208,1/26,8/3,capacity_nonclose
B6_birth_parent_siblings,start>split>partial_close>trim>miss,494,18,3/208,9/247,48/19,capacity_nonclose
B6_birth_parent_siblings,start>split>partial_close>trim>trim,52,4,3/208,1/13,16/3,nonclose
B6_birth_parent_siblings,start>trim>miss>trim>trim,234,6,3/208,1/39,16/9,capacity_nonclose
B6_birth_parent_siblings,start>trim>trim>miss>miss,1560,0,3/208,0,0,capacity_nonclose
B6_birth_parent_siblings,start>trim>trim>trim>miss,234,0,3/208,0,0,capacity_nonclose
B6_birth_parent_siblings,start>trim>trim>trim>trim,78,4,3/208,2/39,32/9,nonclose
B7_birth_parent_siblings,start>miss>split>trim>trim>partial_close,34,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>split>miss>trim>partial_close>trim,204,6,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>split>miss>trim>trim>partial_close,306,12,21/1474,2/51,2948/1071,nonclose
B7_birth_parent_siblings,start>split>partial_close>miss>miss>trim,3060,90,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>split>partial_close>miss>trim>miss,2040,120,21/1474,1/17,1474/357,nonclose
B7_birth_parent_siblings,start>split>partial_close>miss>trim>trim,340,10,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>split>partial_close>trim>miss>miss,7412,216,21/1474,54/1853,26532/12971,capacity_nonclose
B7_birth_parent_siblings,start>split>partial_close>trim>miss>trim,680,20,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>split>partial_close>trim>trim>miss,816,48,21/1474,1/17,1474/357,nonclose
B7_birth_parent_siblings,start>trim>miss>trim>trim>miss,2346,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>miss>trim>trim>trim,510,18,21/1474,3/85,1474/595,nonclose
B7_birth_parent_siblings,start>trim>split>partial_close>split>partial_close,34,2,21/1474,1/17,1474/357,nonclose
B7_birth_parent_siblings,start>trim>split>partial_close>trim>trim,68,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>split>trim>trim>partial_close,102,4,21/1474,2/51,2948/1071,nonclose
B7_birth_parent_siblings,start>trim>trim>miss>miss>miss,22440,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>miss>miss>trim,4080,120,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>miss>trim>trim,170,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>split>partial_close>trim,68,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>split>trim>partial_close,68,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>trim>miss>miss,3366,0,21/1474,0,0,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>trim>miss>trim,612,18,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>trim>split>partial_close,68,2,21/1474,1/34,737/357,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>trim>trim>miss,1190,24,21/1474,12/595,5896/4165,capacity_nonclose
B7_birth_parent_siblings,start>trim>trim>trim>trim>trim,102,4,21/1474,2/51,2948/1071,nonclose
