scope,lineage_role,prefix_transition_sequence,prefix_component_delta_sequence,lineage_count,close_count,near_miss_count,capacity_nonclose_count,close_rate,diagnostic_role
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss,0>1>-1>0,110,0,0,110,0,dominant
B5_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim,0>1>-1>0,22,0,0,22,0,dominant
B5_birth_parent_siblings,capacity_nonclose,start>trim>trim>trim,0>0>0>0,22,0,0,22,0,dominant
B5_birth_parent_siblings,close,start>split>partial_close>trim,0>1>-1>0,2,2,0,0,1,dominant
B5_birth_parent_siblings,close,start>trim>trim>miss,0>0>0>0,12,12,0,0,1,dominant
B5_birth_parent_siblings,near_miss,start>split>partial_close>trim,0>1>-1>0,2,0,2,0,0,dominant
B5_birth_parent_siblings,near_miss,start>trim>trim>miss,0>0>0>0,12,0,12,0,0,dominant
B5_birth_parent_siblings,nonclose,start>split>partial_close>trim,0>1>-1>0,18,0,0,0,0,dominant
B5_birth_parent_siblings,nonclose,start>trim>trim>miss,0>0>0>0,108,0,0,0,0,dominant
B6_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>trim,0>1>-1>0>0,130,0,0,130,0,rare
B6_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim>miss,0>1>-1>0>0,260,0,0,260,0,dominant
B6_birth_parent_siblings,capacity_nonclose,start>trim>miss>trim>trim,0>0>0>0>0,156,0,0,156,0,rare
B6_birth_parent_siblings,capacity_nonclose,start>trim>trim>miss>miss,0>0>0>0>0,1560,0,0,1560,0,dominant
B6_birth_parent_siblings,capacity_nonclose,start>trim>trim>trim>miss,0>0>0>0>0,234,0,0,234,0,rare
B6_birth_parent_siblings,capacity_nonclose,start>trim>trim>trim>trim,0>0>0>0>0,26,0,0,26,0,rare
B6_birth_parent_siblings,close,start>split>partial_close>miss>trim,0>1>-1>0>0,10,10,0,0,1,dominant
B6_birth_parent_siblings,close,start>split>partial_close>trim>miss,0>1>-1>0>0,18,18,0,0,1,dominant
B6_birth_parent_siblings,close,start>split>partial_close>trim>trim,0>1>-1>0>0,4,4,0,0,1,rare
B6_birth_parent_siblings,close,start>trim>miss>trim>trim,0>0>0>0>0,6,6,0,0,1,dominant
B6_birth_parent_siblings,close,start>trim>trim>trim>trim,0>0>0>0>0,4,4,0,0,1,rare
B6_birth_parent_siblings,near_miss,start>split>partial_close>miss>trim,0>1>-1>0>0,10,0,10,0,0,dominant
B6_birth_parent_siblings,near_miss,start>split>partial_close>trim>miss,0>1>-1>0>0,18,0,18,0,0,dominant
B6_birth_parent_siblings,near_miss,start>split>partial_close>trim>trim,0>1>-1>0>0,4,0,4,0,0,rare
B6_birth_parent_siblings,near_miss,start>trim>miss>trim>trim,0>0>0>0>0,6,0,6,0,0,dominant
B6_birth_parent_siblings,near_miss,start>trim>trim>trim>trim,0>0>0>0>0,4,0,4,0,0,rare
B6_birth_parent_siblings,nonclose,start>split>partial_close>miss>trim,0>1>-1>0>0,110,0,0,0,0,dominant
B6_birth_parent_siblings,nonclose,start>split>partial_close>trim>miss,0>1>-1>0>0,198,0,0,0,0,dominant
B6_birth_parent_siblings,nonclose,start>split>partial_close>trim>trim,0>1>-1>0>0,44,0,0,0,0,rare
B6_birth_parent_siblings,nonclose,start>trim>miss>trim>trim,0>0>0>0>0,66,0,0,0,0,dominant
B6_birth_parent_siblings,nonclose,start>trim>trim>trim>trim,0>0>0>0>0,44,0,0,0,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>miss>split>trim>trim>partial_close,0>0>1>0>0>-1,34,0,0,34,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>miss>trim>partial_close>trim,0>1>0>0>-1>0,102,0,0,102,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>miss>trim>trim>partial_close,0>1>0>0>0>-1,102,0,0,102,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>miss>trim,0>1>-1>0>0>0,1530,0,0,1530,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>partial_close>miss>trim>trim,0>1>-1>0>0>0,170,0,0,170,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim>miss>miss,0>1>-1>0>0>0,3740,0,0,3740,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>split>partial_close>trim>miss>trim,0>1>-1>0>0>0,340,0,0,340,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>trim>miss>trim>trim>miss,0>0>0>0>0>0,2346,0,0,2346,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>trim>miss>trim>trim>trim,0>0>0>0>0>0,204,0,0,204,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>trim>split>partial_close>trim>trim,0>0>1>-1>0>0,68,0,0,68,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>trim>split>trim>trim>partial_close,0>0>1>0>0>-1,34,0,0,34,0,rare
B7_birth_parent_siblings,capacity_nonclose,start>trim>trim>miss>miss>miss,0>0>0>0>0>0,22440,0,0,22440,0,dominant
B7_birth_parent_siblings,capacity_nonclose,start>trim>trim>miss>miss>trim,0>0>0>0>0>0,2040,0,0,2040,0,rare
