section,scope,metric,value,note
historical_separator,B4_to_B5_full,family_count,208,public theorem review compact table
historical_separator,B4_to_B5_full,lift_count,2288,public theorem review compact table
historical_separator,B4_to_B5_full,close_count,14,public theorem review compact table
historical_separator,B4_to_B5_full,capacity_nonclose_families,14,public theorem review compact table
historical_separator,B4_to_B5_full,nonclose_positive_margin_count,0,public theorem review compact table
historical_separator,B5_to_B6_full,family_count,2274,public theorem review compact table
historical_separator,B5_to_B6_full,lift_count,29562,public theorem review compact table
historical_separator,B5_to_B6_full,close_count,42,public theorem review compact table
historical_separator,B5_to_B6_full,capacity_nonclose_families,182,public theorem review compact table
historical_separator,B5_to_B6_full,nonclose_positive_margin_count,0,public theorem review compact table
historical_separator,B6_to_B7_full,family_count,29520,public theorem review compact table
historical_separator,B6_to_B7_full,lift_count,501840,public theorem review compact table
historical_separator,B6_to_B7_full,close_count,714,public theorem review compact table
historical_separator,B6_to_B7_full,capacity_nonclose_families,2234,public theorem review compact table
historical_separator,B6_to_B7_full,nonclose_positive_margin_count,0,public theorem review compact table
historical_totals,all,close_or_birth_rows,770,checked close or birth rows in recorded complete scopes
historical_totals,all,capacity_nonclose_families,2430,checked capacity-admissible non-close controls
historical_totals,all,nonclose_positive_margin_rows,0,checked non-close rows with positive margin
exact_hull,B4_to_B5_full,hull_obstructed_multi_component_families,65,checked multi-component parent residual sets
exact_hull,B5_to_B6_full,hull_obstructed_multi_component_families,913,checked multi-component parent residual sets
exact_hull,B6_to_B7_full,hull_obstructed_multi_component_families,13785,checked multi-component parent residual sets
