scope,parent_mod6_proxy,families,single_gap_families,multi_gap_families,close_rows,close_rate_all,close_rate_given_single_gap,decision
B4_to_B5_full,0,35,17,18,0,0/35,0/17,nonproductive_mod6_control
B4_to_B5_full,1,35,22,13,0,0/35,0/22,nonproductive_mod6_control
B4_to_B5_full,2,34,34,0,6,6/34,6/34,single_gap_sibling_control
B4_to_B5_full,3,35,14,21,2,2/35,2/14,weak_due_to_multigap_dilution_candidate
B4_to_B5_full,4,34,34,0,6,6/34,6/34,single_gap_sibling_control
B4_to_B5_full,5,35,22,13,0,0/35,0/22,nonproductive_mod6_control
B5_to_B6_full,0,385,143,242,0,0/385,0/143,nonproductive_mod6_control
B5_to_B6_full,1,385,182,203,0,0/385,0/182,nonproductive_mod6_control
B5_to_B6_full,2,368,348,20,5,5/368,5/348,single_gap_sibling_control
B5_to_B6_full,3,383,158,225,32,32/383,32/158,single_gap_conditioned_enrichment_candidate
B5_to_B6_full,4,368,348,20,5,5/368,5/348,single_gap_sibling_control
B5_to_B6_full,5,385,182,203,0,0/385,0/182,nonproductive_mod6_control
B6_to_B7_full,0,5005,1327,3678,0,0/5005,0/1327,nonproductive_mod6_control
B6_to_B7_full,1,5005,1963,3042,4,4/5005,4/1963,nonproductive_mod6_control
B6_to_B7_full,2,4779,4182,597,92,92/4779,92/4182,single_gap_sibling_control
B6_to_B7_full,3,4947,2118,2829,522,522/4947,522/2118,single_gap_conditioned_enrichment_candidate
B6_to_B7_full,4,4779,4182,597,92,92/4779,92/4182,single_gap_sibling_control
B6_to_B7_full,5,5005,1963,3042,4,4/5005,4/1963,nonproductive_mod6_control
