item,kind,status,decision,next_action
forbidden_special_remainder,lemma_candidate,continue,proof_candidate,resolve_nearest_endpoint_lower_bounds_without_finite_audit
central_endpoint_obstruction,lemma_candidate,continue,proof_candidate,resolve_endpoint_centralization_and_central_arc_shortness
nearest_endpoint_lower_bounds,proof_obligation,continue,needs_standalone_argument,prove_0_and_1_2_endpoint_distance_bounds
circle_cut_convention,proof_obligation,ready,cut_representation_recorded,carry_into_theorem_note_if_promoted
p_equals_2_boundary,proof_obligation,continue,separate_from_odd_prime_endpoint_lattice,write_boundary_convention_explicitly
finite_audit_support,evidence,ready,supports_route_continue,keep_as_source_only_audit_support
public_theorem,gate_decision,defer,public_theorem_defer,do_not_publish_from_gate_r_review
mod6_theorem,gate_decision,defer,mod6_theorem_defer,keep_mod6_as_diagnostic_only
b8_theorem,gate_decision,blocked,b8_theorem=reject_for_v2_6_gate_r,do_not_add_b8_theorem_or_full_graph
general_predictor,gate_decision,blocked,reject_for_v2_6_gate_r,do_not_claim_general_prediction
